model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,fft tiling,224,features.conv0,3,64,"(7, 7)",1.5438559651374817,0.018703997135162354,1.7884826715247186
densenet121,fft tiling,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",0.8397440016269684,0.03151997923851013,0.9728029229027952
densenet121,fft tiling,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",0.7824000120162964,0.01344001293182373,0.9063726767848245
densenet121,fft tiling,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",0.8336799740791321,0.028367996215820312,0.9657780394720485
densenet121,fft tiling,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",0.7457440197467804,0.006191998720169067,0.8639084777520244
densenet121,fft tiling,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",0.8635999858379364,0.007472008466720581,1.0004389299766054
densenet121,fft tiling,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",0.7583840191364288,0.0007520020008087158,0.8785513073857177
densenet121,fft tiling,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",0.8856320083141327,0.00476798415184021,1.0259619653549812
densenet121,fft tiling,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",0.7382720112800598,0.0023040175437927246,0.8552525163372394
densenet121,fft tiling,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",0.9524799883365631,0.00806400179862976,1.1034021259634228
densenet121,fft tiling,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",0.7468159794807434,0.007456004619598389,0.8651502914004852
densenet121,fft tiling,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",1.0219200253486633,0.012767970561981201,1.1838450595729173
densenet121,fft tiling,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",0.7582720220088959,0.005600005388259888,0.8784215641153762
densenet121,fft tiling,224,features.transition1.conv,256,128,"(1, 1)",1.0050080120563507,0.005935996770858765,1.164253307883048
densenet121,fft tiling,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.5272000133991241,0.006303995847702026,0.6107357873297254
densenet121,fft tiling,224,features.denseblock2.denselayer1.conv2,128,32,"(3, 3)",0.5049439966678619,0.003984004259109497,0.5849532654106667
densenet121,fft tiling,224,features.denseblock2.denselayer2.conv1,160,128,"(1, 1)",0.5134079903364182,0.01452799141407013,0.5947583938358173
densenet121,fft tiling,224,features.denseblock2.denselayer2.conv2,128,32,"(3, 3)",0.49052800238132477,0.0014720112085342407,0.5682530313496641
densenet121,fft tiling,224,features.denseblock2.denselayer3.conv1,192,128,"(1, 1)",0.529664009809494,0.0011520087718963623,0.6135902083263456
densenet121,fft tiling,224,features.denseblock2.denselayer3.conv2,128,32,"(3, 3)",0.4965759962797165,0.006144002079963684,0.5752593405708728
densenet121,fft tiling,224,features.denseblock2.denselayer4.conv1,224,128,"(1, 1)",0.5342399775981903,0.004864007234573364,0.6188912462990231
densenet121,fft tiling,224,features.denseblock2.denselayer4.conv2,128,32,"(3, 3)",0.491440013051033,0.010384008288383484,0.5693095517219344
densenet121,fft tiling,224,features.denseblock2.denselayer5.conv1,256,128,"(1, 1)",0.560943990945816,0.009167999029159546,0.649826557759986
densenet121,fft tiling,224,features.denseblock2.denselayer5.conv2,128,32,"(3, 3)",0.4920960068702698,0.007200002670288086,0.5700694889212753
densenet121,fft tiling,224,features.denseblock2.denselayer6.conv1,288,128,"(1, 1)",0.55103999376297,0.000576019287109375,0.6383532547185508
densenet121,fft tiling,224,features.denseblock2.denselayer6.conv2,128,32,"(3, 3)",0.49326400458812714,0.009040012955665588,0.5714225579419221
densenet121,fft tiling,224,features.denseblock2.denselayer7.conv1,320,128,"(1, 1)",0.5905919969081879,0.003551989793777466,0.684172342668905
densenet121,fft tiling,224,features.denseblock2.denselayer7.conv2,128,32,"(3, 3)",0.4963199943304062,0.00028799474239349365,0.5749627746602198
densenet121,fft tiling,224,features.denseblock2.denselayer8.conv1,352,128,"(1, 1)",0.5779359936714172,0.00033599138259887695,0.6695109733502268
