model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,fft tiling,224,features.conv0,3,64,"(7, 7)",1.387008011341095,0.004607975482940674,0.5517805942896943
densenet121,fft tiling,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",0.9559039771556854,0.0046080052852630615,0.3802784557018218
densenet121,fft tiling,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",1.139680027961731,0.007200002670288086,0.45338838563793327
densenet121,fft tiling,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",0.9410080015659332,0.0009759962558746338,0.3743525272311628
densenet121,fft tiling,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",1.1345280408859253,0.004032015800476074,0.4513388181752968
densenet121,fft tiling,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",1.0101280212402344,0.01188802719116211,0.40184990664162823
densenet121,fft tiling,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",1.1371520161628723,0.012800037860870361,0.45238269003896064
densenet121,fft tiling,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",1.0676639676094055,0.008719980716705322,0.4247389010966098
densenet121,fft tiling,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",1.1283679604530334,0.009296000003814697,0.44888821023767794
densenet121,fft tiling,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",1.153551995754242,0.02920001745223999,0.4589069425387822
densenet121,fft tiling,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",1.1499840021133423,0.008224010467529297,0.45748752056320635
densenet121,fft tiling,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",1.1796640157699585,0.028656005859375,0.46929484643303976
densenet121,fft tiling,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",1.1228159666061401,0.013823986053466797,0.4466795117735866
densenet121,fft tiling,224,features.transition1.conv,256,128,"(1, 1)",1.3107360005378723,0.07988804578781128,0.5214380042653008
densenet121,fft tiling,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.5299200117588043,0.010751992464065552,0.21081318681898192
densenet121,fft tiling,224,features.denseblock2.denselayer1.conv2,128,32,"(3, 3)",0.5078400075435638,0.00931200385093689,0.2020293025528598
densenet121,fft tiling,224,features.denseblock2.denselayer2.conv1,160,128,"(1, 1)",0.5243200063705444,0.007200002670288086,0.20858538836656215
densenet121,fft tiling,224,features.denseblock2.denselayer2.conv2,128,32,"(3, 3)",0.5073919892311096,0.0005120038986206055,0.20185107156307655
densenet121,fft tiling,224,features.denseblock2.denselayer3.conv1,192,128,"(1, 1)",0.5212160050868988,0.0010239779949188232,0.20735055218756276
densenet121,fft tiling,224,features.denseblock2.denselayer3.conv2,128,32,"(3, 3)",0.489887997508049,0.003680005669593811,0.19488762010755567
densenet121,fft tiling,224,features.denseblock2.denselayer4.conv1,224,128,"(1, 1)",0.5483520030975342,0.0025600194931030273,0.21814581579564737
densenet121,fft tiling,224,features.denseblock2.denselayer4.conv2,128,32,"(3, 3)",0.49612800776958466,0.0076800137758255005,0.19737002579110668
densenet121,fft tiling,224,features.denseblock2.denselayer5.conv1,256,128,"(1, 1)",0.5535680055618286,0.005728006362915039,0.2202208499093884
densenet121,fft tiling,224,features.denseblock2.denselayer5.conv2,128,32,"(3, 3)",0.493024006485939,0.0035520046949386597,0.19613518961210727
densenet121,fft tiling,224,features.denseblock2.denselayer6.conv1,288,128,"(1, 1)",0.5990400016307831,0.011263996362686157,0.23831055437346454
densenet121,fft tiling,224,features.denseblock2.denselayer6.conv2,128,32,"(3, 3)",0.49825601279735565,0.005552008748054504,0.19821659038862446
densenet121,fft tiling,224,features.denseblock2.denselayer7.conv1,320,128,"(1, 1)",0.6097919940948486,0.008704006671905518,0.24258792028852083
densenet121,fft tiling,224,features.denseblock2.denselayer7.conv2,128,32,"(3, 3)",0.49062401056289673,0.010240018367767334,0.19518042138735228
densenet121,fft tiling,224,features.denseblock2.denselayer8.conv1,352,128,"(1, 1)",0.6631520092487335,0.006768018007278442,0.26381564257431306
densenet121,fft tiling,224,features.denseblock2.denselayer8.conv2,128,32,"(3, 3)",0.5023040026426315,0.006688013672828674,0.19982696482355317
densenet121,fft tiling,224,features.denseblock2.denselayer9.conv1,384,128,"(1, 1)",0.6573440134525299,0.0008960068225860596,0.26150510121776915
densenet121,fft tiling,224,features.denseblock2.denselayer9.conv2,128,32,"(3, 3)",0.5001440048217773,0.009808003902435303,0.19896767282847452
densenet121,fft tiling,224,features.denseblock2.denselayer10.conv1,416,128,"(1, 1)",0.6646239757537842,0.018480002880096436,0.2644012214219406
densenet121,fft tiling,224,features.denseblock2.denselayer10.conv2,128,32,"(3, 3)",0.48998400568962097,0.0046080052852630615,0.19492581415622104
densenet121,fft tiling,224,features.denseblock2.denselayer11.conv1,448,128,"(1, 1)",0.6604800224304199,0.007167994976043701,0.26275267072232084
densenet121,fft tiling,224,features.denseblock2.denselayer11.conv2,128,32,"(3, 3)",0.48895999789237976,0.0015360116958618164,0.19451844258641107
densenet121,fft tiling,224,features.denseblock2.denselayer12.conv1,480,128,"(1, 1)",0.9948800206184387,0.009663999080657959,0.39578393530186
densenet121,fft tiling,224,features.denseblock2.denselayer12.conv2,128,32,"(3, 3)",0.49300798773765564,0.0014880001544952393,0.19612881702133975
densenet121,fft tiling,224,features.transition2.conv,512,256,"(1, 1)",1.2487680315971375,0.004607975482940674,0.49678585918072904
densenet121,fft tiling,224,features.denseblock3.denselayer1.conv1,256,128,"(1, 1)",0.46478399634361267,0.00011199712753295898,0.18490072704832342
densenet121,fft tiling,224,features.denseblock3.denselayer1.conv2,128,32,"(3, 3)",0.44651199877262115,0.006192013621330261,0.17763174691544506
densenet121,fft tiling,224,features.denseblock3.denselayer2.conv1,288,128,"(1, 1)",0.45871999859809875,0.004128009080886841,0.18248834279932707
densenet121,fft tiling,224,features.denseblock3.denselayer2.conv2,128,32,"(3, 3)",0.4281279891729355,0.0009279996156692505,0.1703182060711252
densenet121,fft tiling,224,features.denseblock3.denselayer3.conv1,320,128,"(1, 1)",0.4827520102262497,0.0004480034112930298,0.19204877615640373
densenet121,fft tiling,224,features.denseblock3.denselayer3.conv2,128,32,"(3, 3)",0.43059200048446655,0.0046080052852630615,0.17129844094698474
densenet121,fft tiling,224,features.denseblock3.denselayer4.conv1,352,128,"(1, 1)",0.507455974817276,0.0015999972820281982,0.20187652635819828
densenet121,fft tiling,224,features.denseblock3.denselayer4.conv2,128,32,"(3, 3)",0.4347359985113144,0.005680009722709656,0.1729470094305788
densenet121,fft tiling,224,features.denseblock3.denselayer5.conv1,384,128,"(1, 1)",0.50313600897789,0.005664020776748657,0.20015795422402377
densenet121,fft tiling,224,features.denseblock3.denselayer5.conv2,128,32,"(3, 3)",0.42742399871349335,0.0023679882287979126,0.17003814404487225
densenet121,fft tiling,224,features.denseblock3.denselayer6.conv1,416,128,"(1, 1)",0.5187039971351624,0.0015839934349060059,0.2063512232513662
densenet121,fft tiling,224,features.denseblock3.denselayer6.conv2,128,32,"(3, 3)",0.4429600089788437,0.0004319995641708374,0.17621869160264525
densenet121,fft tiling,224,features.denseblock3.denselayer7.conv1,448,128,"(1, 1)",0.5227519869804382,0.0015360116958618164,0.2079615976862949
densenet121,fft tiling,224,features.denseblock3.denselayer7.conv2,128,32,"(3, 3)",0.42604799568653107,0.0010880082845687866,0.16949074146193577
densenet121,fft tiling,224,features.denseblock3.denselayer8.conv1,480,128,"(1, 1)",0.5350399911403656,0.012800008058547974,0.21285002095606614
densenet121,fft tiling,224,features.denseblock3.denselayer8.conv2,128,32,"(3, 3)",0.4310399889945984,0.006080001592636108,0.1714766600807852
densenet121,fft tiling,224,features.denseblock3.denselayer9.conv1,512,128,"(1, 1)",0.540224015712738,0.00044798851013183594,0.21491233360023776
densenet121,fft tiling,224,features.denseblock3.denselayer9.conv2,128,32,"(3, 3)",0.43612800538539886,0.013216003775596619,0.1735007786762914
