model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,fft tiling,224,features.conv0,3,64,"(7, 7)",3.0709760189056396,0.0071680545806884766,2.04781886407626
densenet121,fft tiling,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",1.4504960179328918,0.008704006671905518,0.9672342243978107
densenet121,fft tiling,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",1.4556159973144531,0.0005120038986206055,0.9706483801244251
densenet121,fft tiling,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",1.5047679543495178,0.007679998874664307,1.003424378439951
densenet121,fft tiling,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",1.4033920168876648,0.003583967685699463,0.9358238645252324
densenet121,fft tiling,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",1.6102399826049805,0.0025600194931030273,1.0737562884790561
densenet121,fft tiling,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",1.4069759845733643,0.002048015594482422,0.9382137616100135
densenet121,fft tiling,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",3.2071680426597595,1.534976065158844,2.13863578796738
densenet121,fft tiling,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",1.5032320022583008,0.09625601768493652,1.0024001595442813
densenet121,fft tiling,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",1.7443840503692627,0.03020799160003662,1.1632075739272287
densenet121,fft tiling,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",1.427456021308899,0.027647972106933594,0.9518704640087994
densenet121,fft tiling,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",2.0643840432167053,0.17203205823898315,1.3765931613831615
densenet121,fft tiling,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",1.463808000087738,0.017919957637786865,0.9761110531347069
densenet121,fft tiling,224,features.transition1.conv,256,128,"(1, 1)",2.0782079696655273,0.019968032836914062,1.3858113699211716
densenet121,fft tiling,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.826880007982254,0.019968003034591675,0.5513883756334267
densenet121,fft tiling,224,features.denseblock2.denselayer1.conv2,128,32,"(3, 3)",0.8908800184726715,0.06553599238395691,0.5940655010738459
densenet121,fft tiling,224,features.denseblock2.denselayer2.conv1,160,128,"(1, 1)",0.8156160116195679,0.013823986053466797,0.54387720521256
densenet121,fft tiling,224,features.denseblock2.denselayer2.conv2,128,32,"(3, 3)",0.8483839929103851,0.03020802140235901,0.5657278773806045
densenet121,fft tiling,224,features.denseblock2.denselayer3.conv1,192,128,"(1, 1)",0.8965120017528534,0.012800008058547974,0.5978210763477384
densenet121,fft tiling,224,features.denseblock2.denselayer3.conv2,128,32,"(3, 3)",0.8243200182914734,0.015359997749328613,0.5496812977701193
