model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,gemm,224,features.conv0,3,64,"(7, 7)",1.0395999550819397,0.013040006160736084,1.2656760120988506
densenet121,gemm,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",0.762607991695404,0.027055978775024414,0.9284481371949227
densenet121,gemm,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",0.7203519940376282,6.401538848876953e-05,0.8770029612488187
densenet121,gemm,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",0.8314400017261505,0.007728010416030884,1.0122486640558503
densenet121,gemm,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",0.6898079812526703,0.005456000566482544,0.8398167108010544
densenet121,gemm,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",0.8597439825534821,0.0010879933834075928,1.0467077551754107
densenet121,gemm,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",0.6985439956188202,0.005135983228683472,0.8504524979329566
densenet121,gemm,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",0.9268639981746674,0.019023984670639038,1.1284239896636457
densenet121,gemm,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",0.7432159781455994,0.052208006381988525,0.904839049625898
densenet121,gemm,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",0.9944320321083069,0.04124802350997925,1.210685670530829
densenet121,gemm,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",0.7271679937839508,0.044032007455825806,0.8853011987922328
densenet121,gemm,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",1.0764639973640442,0.028368055820465088,1.31055667393168
densenet121,gemm,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",0.7254239916801453,0.025103986263275146,0.8831779381889149
densenet121,gemm,224,features.transition1.conv,256,128,"(1, 1)",1.1723679900169373,0.04459196329116821,1.4273163778657803
densenet121,gemm,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.3696800023317337,0.01745600998401642,0.4500722694500729
densenet121,gemm,224,features.denseblock2.denselayer1.conv2,128,32,"(3, 3)",0.42264001071453094,0.01764799654483795,0.514549198179237
densenet121,gemm,224,features.denseblock2.denselayer2.conv1,160,128,"(1, 1)",0.3518880009651184,0.015311986207962036,0.4284111398714553
densenet121,gemm,224,features.denseblock2.denselayer2.conv2,128,32,"(3, 3)",0.40798400342464447,0.008880004286766052,0.4967060299785486
densenet121,gemm,224,features.denseblock2.denselayer3.conv1,192,128,"(1, 1)",0.36028800904750824,0.01059199869632721,0.4386378512899637
densenet121,gemm,224,features.denseblock2.denselayer3.conv2,128,32,"(3, 3)",0.40220798552036285,0.0068800002336502075,0.48967393338103915
densenet121,gemm,224,features.denseblock2.denselayer4.conv1,224,128,"(1, 1)",0.3882080018520355,0.013871997594833374,0.4726294506334606
densenet121,gemm,224,features.denseblock2.denselayer4.conv2,128,32,"(3, 3)",0.4020479917526245,0.006720006465911865,0.4894791466528156
densenet121,gemm,224,features.denseblock2.denselayer5.conv1,256,128,"(1, 1)",0.4023999869823456,0.0008639991283416748,0.48990768833988796
densenet121,gemm,224,features.denseblock2.denselayer5.conv2,128,32,"(3, 3)",0.39374399185180664,0.00011199712753295898,0.4793693217845489
