model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,gemm,224,features.conv0,3,64,"(7, 7)",1.0614240169525146,0.008911967277526855,1.6200107670427768
densenet121,gemm,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",0.69964799284935,0.002079993486404419,1.0678458970714262
densenet121,gemm,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",0.6353920102119446,0.0025600194931030273,0.9697744552565125
densenet121,gemm,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",0.7668479979038239,0.0019200146198272705,1.1704106873859899
densenet121,gemm,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",0.6239840090274811,0.005776017904281616,0.9523628605930251
densenet121,gemm,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",0.7654080092906952,0.037344008684158325,1.1682128879953324
densenet121,gemm,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",0.6159040033817291,0.004575997591018677,0.9400306578777834
densenet121,gemm,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",0.8305119872093201,0.01348799467086792,1.2675785924838205
densenet121,gemm,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",0.6215679943561554,0.005120009183883667,0.948675390064406
densenet121,gemm,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",0.9005120098590851,0.001632004976272583,1.3744169422617403
densenet121,gemm,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",0.612527996301651,0.0011359751224517822,0.9348779877553927
densenet121,gemm,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",0.9994239807128906,0.013311982154846191,1.5253824896898565
densenet121,gemm,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",0.6328319907188416,0.007167994976043701,0.9658671956915993
densenet121,gemm,224,features.transition1.conv,256,128,"(1, 1)",1.073087990283966,0.005919992923736572,1.6378130421766137
densenet121,gemm,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.32608000934123993,0.00028799474239349365,0.49768341173106373
densenet121,gemm,224,features.denseblock2.denselayer1.conv2,128,32,"(3, 3)",0.3394719958305359,0.005584001541137695,0.5181230870712171
densenet121,gemm,224,features.denseblock2.denselayer2.conv1,160,128,"(1, 1)",0.30395200848579407,0.0071839988231658936,0.46391029272639184
