model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,gemm,224,features.conv0,3,64,"(7, 7)",2.3193598985671997,0.13926398754119873,1.8829651428660266
densenet121,gemm,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",1.1786239743232727,0.025600016117095947,0.9568622194287044
densenet121,gemm,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",1.4243839979171753,0.005120038986206055,1.1563817326457444
densenet121,gemm,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",1.401856005191803,0.00614398717880249,1.1380924515959079
densenet121,gemm,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",1.3931519985198975,0.00563204288482666,1.131026130764632
densenet121,gemm,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",1.44896000623703,0.022527992725372314,1.1763336888064329
densenet121,gemm,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",1.3665279746055603,0.003583967685699463,1.1094114994930913
densenet121,gemm,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",1.5728639960289001,0.045056045055389404,1.276924758775456
densenet121,gemm,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",1.3818880319595337,0.012799978256225586,1.1218815144346368
densenet121,gemm,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",1.7648639678955078,0.0281599760055542,1.4327993406717012
densenet121,gemm,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",1.3747199773788452,0.0025600194931030273,1.116062151546654
densenet121,gemm,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",1.8836479783058167,0.03430396318435669,1.5292337712534398
densenet121,gemm,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",1.4033920168876648,0.01177603006362915,1.139339457929047
densenet121,gemm,224,features.transition1.conv,256,128,"(1, 1)",2.0280319452285767,0.026111960411071777,1.6464514471614469
densenet121,gemm,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.607232004404068,0.02150401473045349,0.4929794201546171
