model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,guess,224,features.conv0,3,64,"(7, 7)",1.0973759889602661,0.008064031600952148,1.0593170076608949
densenet121,guess,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",1.414896011352539,0.3148000240325928,1.3658248621945899
densenet121,guess,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",0.967600017786026,0.009135991334915161,0.9340419015590788
densenet121,guess,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",1.2520480155944824,0.08340799808502197,1.2086247290538557
densenet121,guess,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",0.9176320135593414,0.005279988050460815,0.8858068779676204
densenet121,guess,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",1.2385919690132141,0.06038397550582886,1.1956353624713771
densenet121,guess,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",0.9251039922237396,0.012815982103347778,0.8930197149165825
densenet121,guess,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",1.4069119691848755,0.022112011909484863,1.3581177210295083
densenet121,guess,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",0.909280002117157,0.0062400102615356445,0.8777445293670583
densenet121,guess,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",1.4047200083732605,0.0713760256767273,1.3560017813778034
densenet121,guess,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",0.9414079785346985,0.015615999698638916,0.9087582495351804
densenet121,guess,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",1.4522240161895752,0.05190396308898926,1.401858264404698
densenet121,guess,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",0.9212639927864075,0.003823995590209961,0.8893128935952701
densenet121,guess,224,features.transition1.conv,256,128,"(1, 1)",1.3665599822998047,0.02342402935028076,1.319165213930492
densenet121,guess,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.8259679973125458,0.09780797362327576,0.7973219353612708
densenet121,guess,224,features.denseblock2.denselayer1.conv2,128,32,"(3, 3)",0.5734719932079315,0.0013119876384735107,0.5535829487192753
densenet121,guess,224,features.denseblock2.denselayer2.conv1,160,128,"(1, 1)",0.6947200000286102,0.01587197184562683,0.6706258556739123
densenet121,guess,224,features.denseblock2.denselayer2.conv2,128,32,"(3, 3)",0.556879997253418,0.00011199712753295898,0.5375663931517438
densenet121,guess,224,features.denseblock2.denselayer3.conv1,192,128,"(1, 1)",0.8978239893913269,0.01759999990463257,0.8666858318535929
densenet121,guess,224,features.denseblock2.denselayer3.conv2,128,32,"(3, 3)",0.5834240019321442,0.00697597861289978,0.5631898038063241
densenet121,guess,224,features.denseblock2.denselayer4.conv1,224,128,"(1, 1)",0.8940159976482391,0.021536022424697876,0.8630099081418785
densenet121,guess,224,features.denseblock2.denselayer4.conv2,128,32,"(3, 3)",0.566783994436264,0.001279979944229126,0.5471269018243956
densenet121,guess,224,features.denseblock2.denselayer5.conv1,256,128,"(1, 1)",0.9075520038604736,0.012672007083892822,0.8760764612109038
densenet121,guess,224,features.denseblock2.denselayer5.conv2,128,32,"(3, 3)",0.5622559785842896,0.011536002159118652,0.5427559257403468
densenet121,guess,224,features.denseblock2.denselayer6.conv1,288,128,"(1, 1)",0.9182080030441284,0.01737600564956665,0.886362891096764
densenet121,guess,224,features.denseblock2.denselayer6.conv2,128,32,"(3, 3)",0.5691840052604675,0.0008320212364196777,0.5494436759384874
densenet121,guess,224,features.denseblock2.denselayer7.conv1,320,128,"(1, 1)",0.9757120013237,0.0,0.9418725468563803
densenet121,guess,224,features.denseblock2.denselayer7.conv2,128,32,"(3, 3)",0.5811040103435516,0.005199998617172241,0.5609502737162272
densenet121,guess,224,features.denseblock2.denselayer8.conv1,352,128,"(1, 1)",0.9747200012207031,0.016255974769592285,0.9409149511086352
densenet121,guess,224,features.denseblock2.denselayer8.conv2,128,32,"(3, 3)",0.5760320127010345,0.006336003541946411,0.556054182112633
densenet121,guess,224,features.denseblock2.denselayer9.conv1,384,128,"(1, 1)",0.9943360388278961,0.02150401473045349,0.959850669102523
densenet121,guess,224,features.denseblock2.denselayer9.conv2,128,32,"(3, 3)",0.5782560110092163,0.0015839934349060059,0.5582010481426598
densenet121,guess,224,features.denseblock2.denselayer10.conv1,416,128,"(1, 1)",0.9716639816761017,0.011664003133773804,0.9379649198414051
densenet121,guess,224,features.denseblock2.denselayer10.conv2,128,32,"(3, 3)",0.5682080090045929,0.0016799867153167725,0.5485015289955413
densenet121,guess,224,features.denseblock2.denselayer11.conv1,448,128,"(1, 1)",0.9740640223026276,0.005712002515792847,0.9402817227242208
densenet121,guess,224,features.denseblock2.denselayer11.conv2,128,32,"(3, 3)",0.5662879943847656,0.004592001438140869,0.546648103950523
densenet121,guess,224,features.denseblock2.denselayer12.conv1,480,128,"(1, 1)",1.0918239951133728,0.014383971691131592,1.053957566988227
densenet121,guess,224,features.denseblock2.denselayer12.conv2,128,32,"(3, 3)",0.5680319964885712,0.005664020776748657,0.5483316209114764
densenet121,guess,224,features.transition2.conv,512,256,"(1, 1)",1.2088799476623535,0.01748800277709961,1.166953807684698
densenet121,guess,224,features.denseblock3.denselayer1.conv1,256,128,"(1, 1)",0.604960024356842,0.0032320022583007812,0.5839789180765059
densenet121,guess,224,features.denseblock3.denselayer1.conv2,128,32,"(3, 3)",0.49187199771404266,0.0006719976663589478,0.47481298844920544
