model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,guess,224,features.conv0,3,64,"(7, 7)",1.208240032196045,0.012207984924316406,0.5382610707170197
densenet121,guess,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",1.4887679815292358,0.011391997337341309,0.6632339820181682
densenet121,guess,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",1.0819040536880493,0.005584001541137695,0.48197942365207425
densenet121,guess,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",1.0379040241241455,0.014927983283996582,0.46237776968137995
densenet121,guess,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",1.0660160183906555,0.0031040310859680176,0.4749014336311499
densenet121,guess,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",1.1314400434494019,0.0011039972305297852,0.5040473026971932
densenet121,guess,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",1.0634559988975525,0.0004799962043762207,0.47376096584602806
densenet121,guess,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",1.2148320078849792,0.0057759881019592285,0.5411977420719799
densenet121,guess,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",1.0547200441360474,0.014335989952087402,0.46986916931689254
densenet121,guess,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",1.3141759634017944,0.01683199405670166,0.5854546632472821
densenet121,guess,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",1.055232048034668,0.0005120038986206055,0.47009726287391684
densenet121,guess,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",1.2179840207099915,0.025023996829986572,0.5426019380536519
densenet121,guess,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",1.0572479963302612,0.0004800558090209961,0.47099535138214477
densenet121,guess,224,features.transition1.conv,256,128,"(1, 1)",1.3397279977798462,0.0015840530395507812,0.5968378859653128
