model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,guess,224,features.conv0,3,64,"(7, 7)",1.8529279828071594,0.08550399541854858,1.2625680766316154
densenet121,guess,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",1.4863359928131104,0.01587200164794922,1.0127756680706872
densenet121,guess,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",1.3818880319595337,0.0005120038986206055,0.9416057886870267
densenet121,guess,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",1.5646719932556152,0.018432021141052246,1.0661530979154605
densenet121,guess,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",1.32505601644516,0.007167994976043701,0.9028809762901766
densenet121,guess,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",1.765887975692749,0.01792001724243164,1.2032598167358608
densenet121,guess,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",1.326591968536377,0.0005120038986206055,0.9039275599111268
densenet121,guess,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",1.896448016166687,0.005120038986206055,1.292222226886521
densenet121,guess,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",1.3184000253677368,0.0015360116958618164,0.8983456452192043
densenet121,guess,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",1.9353600144386292,0.0020479559898376465,1.3187365044364066
densenet121,guess,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",1.331712007522583,0.0005120038986206055,0.907416307361149
densenet121,guess,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",2.0454399585723877,0.005631923675537109,1.3937439654010346
densenet121,guess,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",1.3460479974746704,0.0015360116958618164,0.917184718993098
densenet121,guess,224,features.transition1.conv,256,128,"(1, 1)",2.3178240060806274,0.006656050682067871,1.5793439488642906
densenet121,guess,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.807424008846283,0.009728014469146729,0.5501712896206691
densenet121,guess,224,features.denseblock2.denselayer1.conv2,128,32,"(3, 3)",0.8232960104942322,0.002048015594482422,0.5609863254876247
densenet121,guess,224,features.denseblock2.denselayer2.conv1,160,128,"(1, 1)",0.8325119912624359,0.004096001386642456,0.5672660099765797
densenet121,guess,224,features.denseblock2.denselayer2.conv2,128,32,"(3, 3)",0.8023039996623993,0.006656020879745483,0.5466825624776752
densenet121,guess,224,features.denseblock2.denselayer3.conv1,192,128,"(1, 1)",0.8478719890117645,0.01843199133872986,0.5777321710985331
densenet121,guess,224,features.denseblock2.denselayer3.conv2,128,32,"(3, 3)",0.8089599907398224,0.035840004682540894,0.5512178935486475
densenet121,guess,224,features.denseblock2.denselayer4.conv1,224,128,"(1, 1)",0.8908800184726715,0.011263996362686157,0.6070374466084365
densenet121,guess,224,features.denseblock2.denselayer4.conv2,128,32,"(3, 3)",0.7930879890918732,0.0025599896907806396,0.5404028576816919
densenet121,guess,224,features.denseblock2.denselayer5.conv1,256,128,"(1, 1)",0.9251840114593506,0.008704006671905518,0.6304118717603304
densenet121,guess,224,features.denseblock2.denselayer5.conv2,128,32,"(3, 3)",0.8197120130062103,0.017919987440109253,0.5585442225796375
densenet121,guess,224,features.denseblock2.denselayer6.conv1,288,128,"(1, 1)",0.942080020904541,0.001024007797241211,0.6419246571172904
densenet121,guess,224,features.denseblock2.denselayer6.conv2,128,32,"(3, 3)",0.7895039916038513,0.010240018367767334,0.5379607547737048
densenet121,guess,224,features.denseblock2.denselayer7.conv1,320,128,"(1, 1)",0.9149439930915833,0.02406400442123413,0.6234344174743427
densenet121,guess,224,features.denseblock2.denselayer7.conv2,128,32,"(3, 3)",0.7823359966278076,0.009216010570526123,0.5330765489577303
densenet121,guess,224,features.denseblock2.denselayer8.conv1,352,128,"(1, 1)",1.0327039957046509,0.004608035087585449,0.703674999614004
densenet121,guess,224,features.denseblock2.denselayer8.conv2,128,32,"(3, 3)",0.8069120049476624,0.03174400329589844,0.549822414875667
densenet121,guess,224,features.denseblock2.denselayer9.conv1,384,128,"(1, 1)",1.0629119873046875,0.001024007797241211,0.7242584471129085
densenet121,guess,224,features.denseblock2.denselayer9.conv2,128,32,"(3, 3)",0.7941119968891144,0.0046080052852630615,0.5411006071716964
densenet121,guess,224,features.denseblock2.denselayer10.conv1,416,128,"(1, 1)",1.1100159883499146,0.003072023391723633,0.7563546799687731
densenet121,guess,224,features.denseblock2.denselayer10.conv2,128,32,"(3, 3)",0.7787519991397858,0.0005119740962982178,0.5306344460497431
densenet121,guess,224,features.denseblock2.denselayer11.conv1,448,128,"(1, 1)",1.0670079588890076,0.00614398717880249,0.7270494044588697
densenet121,guess,224,features.denseblock2.denselayer11.conv2,128,32,"(3, 3)",0.7910400032997131,0.0015360116958618164,0.5390073790087113
densenet121,guess,224,features.denseblock2.denselayer12.conv1,480,128,"(1, 1)",1.361407995223999,0.019968032836914062,0.9276508801150511
densenet121,guess,224,features.denseblock2.denselayer12.conv2,128,32,"(3, 3)",0.777215987443924,0.003071993589401245,0.5295878218147363
densenet121,guess,224,features.transition2.conv,512,256,"(1, 1)",2.025983989238739,0.03327995538711548,1.3804868469331202
densenet121,guess,224,features.denseblock3.denselayer1.conv1,256,128,"(1, 1)",0.7285760045051575,0.0005120038986206055,0.49644498503089346
densenet121,guess,224,features.denseblock3.denselayer1.conv2,128,32,"(3, 3)",0.7295999825000763,0.0025599896907806396,0.49714271421386963
densenet121,guess,224,features.denseblock3.denselayer2.conv1,288,128,"(1, 1)",0.7039999961853027,0.01689600944519043,0.47969911911295676
densenet121,guess,224,features.denseblock3.denselayer2.conv2,128,32,"(3, 3)",0.7132160067558289,0.01075202226638794,0.48597882390894004
densenet121,guess,224,features.denseblock3.denselayer3.conv1,320,128,"(1, 1)",0.7168000042438507,0.022528022527694702,0.4884209268169273
densenet121,guess,224,features.denseblock3.denselayer3.conv2,128,32,"(3, 3)",0.7178240120410919,0.003071993589401245,0.48911867630693173
densenet121,guess,224,features.denseblock3.denselayer4.conv1,352,128,"(1, 1)",0.7152639925479889,0.011776000261306763,0.48737430258192066
densenet121,guess,224,features.denseblock3.denselayer4.conv2,128,32,"(3, 3)",0.707071989774704,0.0056320130825042725,0.48179234727594183
densenet121,guess,224,features.denseblock3.denselayer5.conv1,384,128,"(1, 1)",0.7296000123023987,0.013823986053466797,0.4971427345208979
densenet121,guess,224,features.denseblock3.denselayer5.conv2,128,32,"(3, 3)",0.724480003118515,0.024063974618911743,0.493654007377904
densenet121,guess,224,features.denseblock3.denselayer6.conv1,416,128,"(1, 1)",0.7582719922065735,0.0005120038986206055,0.5166795577847958
densenet121,guess,224,features.denseblock3.denselayer6.conv2,128,32,"(3, 3)",0.7280640006065369,0.003072023391723633,0.49609611028589123
densenet121,guess,224,features.denseblock3.denselayer7.conv1,448,128,"(1, 1)",0.7398400008678436,0.023040026426315308,0.5041201684998574
densenet121,guess,224,features.denseblock3.denselayer7.conv2,128,32,"(3, 3)",0.7045120000839233,0.016384005546569824,0.480047993857959
densenet121,guess,224,features.denseblock3.denselayer8.conv1,480,128,"(1, 1)",0.792576014995575,0.009216010570526123,0.5400540032437179
densenet121,guess,224,features.denseblock3.denselayer8.conv2,128,32,"(3, 3)",0.719871997833252,0.001024007797241211,0.49051415497991235
densenet121,guess,224,features.denseblock3.denselayer9.conv1,512,128,"(1, 1)",0.7352319955825806,0.003072023391723633,0.5009803161018657
densenet121,guess,224,features.denseblock3.denselayer9.conv2,128,32,"(3, 3)",0.7039999961853027,0.007679998874664307,0.47969911911295676
