model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,implicit gemm,224,features.conv0,3,64,"(7, 7)",1.308303952217102,0.16990399360656738,1.2616137424892542
densenet121,implicit gemm,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",1.4300479888916016,0.3375359773635864,1.3790130283924866
densenet121,implicit gemm,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",0.9568160176277161,7.998943328857422e-05,0.9226695637717173
densenet121,implicit gemm,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",1.2696319818496704,0.08659195899963379,1.2243218813877044
densenet121,implicit gemm,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",0.9409439861774445,0.007472008466720581,0.9073639668078387
densenet121,implicit gemm,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",1.2554399967193604,0.06376004219055176,1.2106363739463637
densenet121,implicit gemm,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",0.9397760033607483,0.002687990665435791,0.9062376664782876
densenet121,implicit gemm,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",1.2944160103797913,0.1196640133857727,1.2482214277697654
densenet121,implicit gemm,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",0.9261600077152252,0.003439992666244507,0.8931075928474964
densenet121,implicit gemm,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",1.5056319832801819,0.003840029239654541,1.4518996124857828
densenet121,implicit gemm,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",0.9563040137290955,0.010767996311187744,0.9221758320562293
densenet121,implicit gemm,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",1.4151519536972046,0.08171200752258301,1.364648596734226
densenet121,implicit gemm,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",0.9232639968395233,0.00031998753547668457,0.8903149336087987
densenet121,implicit gemm,224,features.transition1.conv,256,128,"(1, 1)",1.4111679792404175,0.029855966567993164,1.3608068007082406
densenet121,implicit gemm,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.8107200264930725,0.10236799716949463,0.781787385875897
densenet121,implicit gemm,224,features.denseblock2.denselayer1.conv2,128,32,"(3, 3)",0.5714240074157715,0.007679998874664307,0.5510312640440521
densenet121,implicit gemm,224,features.denseblock2.denselayer2.conv1,160,128,"(1, 1)",0.6986880004405975,0.029567986726760864,0.6737535123809844
densenet121,implicit gemm,224,features.denseblock2.denselayer2.conv2,128,32,"(3, 3)",0.557807981967926,0.004303991794586182,0.5379011616745114
densenet121,implicit gemm,224,features.denseblock2.denselayer3.conv1,192,128,"(1, 1)",0.8874879777431488,0.022944003343582153,0.8558156742684475
densenet121,implicit gemm,224,features.denseblock2.denselayer3.conv2,128,32,"(3, 3)",0.5664959847927094,0.00041601061820983887,0.5462791106518552
densenet121,implicit gemm,224,features.denseblock2.denselayer4.conv1,224,128,"(1, 1)",0.9059520065784454,0.011072009801864624,0.8736207664879216
densenet121,implicit gemm,224,features.denseblock2.denselayer4.conv2,128,32,"(3, 3)",0.5758399963378906,0.018176019191741943,0.5552896569820115
densenet121,implicit gemm,224,features.denseblock2.denselayer5.conv1,256,128,"(1, 1)",0.9195679724216461,0.011408001184463501,0.8867508113799636
densenet121,implicit gemm,224,features.denseblock2.denselayer5.conv2,128,32,"(3, 3)",0.5876639783382416,0.0027039945125579834,0.566691669608595
densenet121,implicit gemm,224,features.denseblock2.denselayer6.conv1,288,128,"(1, 1)",0.9055199921131134,0.02596798539161682,0.8732041695759477
