model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,implicit gemm,224,features.conv0,3,64,"(7, 7)",1.0050560235977173,0.0015360116958618164,0.9922127907125631
densenet121,implicit gemm,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",0.8898560106754303,0.035840004682540894,0.8784848754242344
densenet121,implicit gemm,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",1.0833919644355774,0.005119979381561279,1.06954770602763
densenet121,implicit gemm,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",0.8688639998435974,0.007679998874664307,0.8577611136029152
densenet121,implicit gemm,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",1.0721279978752136,0.02060800790786743,1.0584276774591281
densenet121,implicit gemm,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",1.0828319787979126,0.007727980613708496,1.0689948762357968
densenet121,implicit gemm,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",1.050112009048462,0.0035840272903442383,1.0366930226725295
densenet121,implicit gemm,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",1.2083200216293335,0.003072023391723633,1.1928793545687761
densenet121,implicit gemm,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",1.0639359951019287,0.017408013343811035,1.0503403572079544
densenet121,implicit gemm,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",1.1355839967727661,0.004896044731140137,1.1210727960150217
densenet121,implicit gemm,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",1.0562559962272644,0.01075202226638794,1.0427584981501652
densenet121,implicit gemm,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",1.20769602060318,0.004720032215118408,1.1922633274170247
densenet121,implicit gemm,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",1.0707200169563293,0.008832037448883057,1.0570376885988104
densenet121,implicit gemm,224,features.transition1.conv,256,128,"(1, 1)",1.4407680034637451,0.1320960521697998,1.4223569710759922
densenet121,implicit gemm,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.7296960055828094,0.10179200768470764,0.7203714947943264
densenet121,implicit gemm,224,features.denseblock2.denselayer1.conv2,128,32,"(3, 3)",0.6864959895610809,0.09279999136924744,0.6777235155281445
densenet121,implicit gemm,224,features.denseblock2.denselayer2.conv1,160,128,"(1, 1)",0.6005760133266449,0.06707200407981873,0.5929014783521857
densenet121,implicit gemm,224,features.denseblock2.denselayer2.conv2,128,32,"(3, 3)",0.6758080124855042,0.0849599838256836,0.6671721160914553
densenet121,implicit gemm,224,features.denseblock2.denselayer3.conv1,192,128,"(1, 1)",0.9150239825248718,0.1326879858970642,0.9033312352280585
densenet121,implicit gemm,224,features.denseblock2.denselayer3.conv2,128,32,"(3, 3)",0.696368008852005,0.09323200583457947,0.6874693839977977
densenet121,implicit gemm,224,features.denseblock2.denselayer4.conv1,224,128,"(1, 1)",0.638975977897644,0.08825600147247314,0.6308107442196423
densenet121,implicit gemm,224,features.denseblock2.denselayer4.conv2,128,32,"(3, 3)",0.6753279864788055,0.09984001517295837,0.66669822415654
densenet121,implicit gemm,224,features.denseblock2.denselayer5.conv1,256,128,"(1, 1)",0.8688479959964752,0.1090719997882843,0.8577453142629357
densenet121,implicit gemm,224,features.denseblock2.denselayer5.conv2,128,32,"(3, 3)",0.6984800100326538,0.10228800773620605,0.6895543967097642
densenet121,implicit gemm,224,features.denseblock2.denselayer6.conv1,288,128,"(1, 1)",0.8468480110168457,0.09215998649597168,0.8360264588163165
densenet121,implicit gemm,224,features.denseblock2.denselayer6.conv2,128,32,"(3, 3)",0.6455039978027344,0.03033602237701416,0.637255345013806
densenet121,implicit gemm,224,features.denseblock2.denselayer7.conv1,320,128,"(1, 1)",0.8381760120391846,0.036383986473083496,0.827465276051717
densenet121,implicit gemm,224,features.denseblock2.denselayer7.conv2,128,32,"(3, 3)",0.6357280015945435,0.04295998811721802,0.6276042725840296
densenet121,implicit gemm,224,features.denseblock2.denselayer8.conv1,352,128,"(1, 1)",0.871423989534378,0.049151986837387085,0.8602883901483483
densenet121,implicit gemm,224,features.denseblock2.denselayer8.conv2,128,32,"(3, 3)",0.6487039923667908,0.040448009967803955,0.6404144480509698
densenet121,implicit gemm,224,features.denseblock2.denselayer9.conv1,384,128,"(1, 1)",0.8514559864997864,0.033280014991760254,0.8405755507137983
densenet121,implicit gemm,224,features.denseblock2.denselayer9.conv2,128,32,"(3, 3)",0.634880006313324,0.04198402166366577,0.626767113515545
densenet121,implicit gemm,224,features.denseblock2.denselayer10.conv1,416,128,"(1, 1)",0.8894720077514648,0.04057598114013672,0.8781057795291959
densenet121,implicit gemm,224,features.denseblock2.denselayer10.conv2,128,32,"(3, 3)",0.6419839859008789,0.03987199068069458,0.6337803140200319
densenet121,implicit gemm,224,features.denseblock2.denselayer11.conv1,448,128,"(1, 1)",0.9251840114593506,0.052735984325408936,0.913361432974363
densenet121,implicit gemm,224,features.denseblock2.denselayer11.conv2,128,32,"(3, 3)",0.652288019657135,0.04710400104522705,0.6439526764046619
densenet121,implicit gemm,224,features.denseblock2.denselayer12.conv1,480,128,"(1, 1)",1.0945279598236084,0.052096009254455566,1.0805413987192753
densenet121,implicit gemm,224,features.denseblock2.denselayer12.conv2,128,32,"(3, 3)",0.6466560065746307,0.04863998293876648,0.6383926326989212
densenet121,implicit gemm,224,features.transition2.conv,512,256,"(1, 1)",1.2348639965057373,0.057263970375061035,1.219084133974449
densenet121,implicit gemm,224,features.denseblock3.denselayer1.conv1,256,128,"(1, 1)",0.6193920075893402,0.029823988676071167,0.6114770301016205
densenet121,implicit gemm,224,features.denseblock3.denselayer1.conv2,128,32,"(3, 3)",0.5601119995117188,0.027664005756378174,0.5529545389497215
densenet121,implicit gemm,224,features.denseblock3.denselayer2.conv1,288,128,"(1, 1)",0.5637120008468628,0.020991981029510498,0.5565085372219033
densenet121,implicit gemm,224,features.denseblock3.denselayer2.conv2,128,32,"(3, 3)",0.5505599975585938,0.024191975593566895,0.5435245984366786
