model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,implicit gemm,224,features.conv0,3,64,"(7, 7)",2.601472020149231,0.47564804553985596,1.834355578772354
densenet121,implicit gemm,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",1.5846399664878845,0.03635197877883911,1.1173647613192248
densenet121,implicit gemm,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",1.369088053703308,0.030719995498657227,0.9653743302598288
densenet121,implicit gemm,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",1.5938559770584106,0.031231999397277832,1.1238631746302779
densenet121,implicit gemm,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",1.3219839930534363,0.010240018367767334,0.9321602131112741
densenet121,implicit gemm,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",1.6655359864234924,0.03737598657608032,1.1744063379035656
densenet121,implicit gemm,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",1.3342719674110413,0.025600016117095947,0.9408247361736406
densenet121,implicit gemm,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",1.8657280206680298,0.12390398979187012,1.3155661781778376
densenet121,implicit gemm,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",1.3532159924507141,0.04556804895401001,0.9541825880923915
densenet121,implicit gemm,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",1.8795360326766968,0.004624009132385254,1.3253025134771121
densenet121,implicit gemm,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",1.3368319869041443,0.012800037860870361,0.9426298626568654
densenet121,implicit gemm,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",2.102783977985382,0.1428479552268982,1.4827195876392094
densenet121,implicit gemm,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",1.358847975730896,0.01228797435760498,0.9581538243269297
densenet121,implicit gemm,224,features.transition1.conv,256,128,"(1, 1)",2.111999988555908,0.00665593147277832,1.4892180009502622
densenet121,implicit gemm,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.8232960104942322,0.03174400329589844,0.5805242640066854
densenet121,implicit gemm,224,features.denseblock2.denselayer1.conv2,128,32,"(3, 3)",0.8366079926490784,0.03174400329589844,0.5899108376623419
densenet121,implicit gemm,224,features.denseblock2.denselayer2.conv1,160,128,"(1, 1)",0.8325119912624359,0.009215980768203735,0.5870226563034603
densenet121,implicit gemm,224,features.denseblock2.denselayer2.conv2,128,32,"(3, 3)",0.8104960024356842,0.012800008058547974,0.5714986946333959
