model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,implicit precomp gemm,224,features.conv0,3,64,"(7, 7)",1.0438400208950043,0.0995199978351593,1.2816550862526725
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",0.8930560052394867,0.0042559802532196045,1.096518382617954
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",0.7565119862556458,0.0014399886131286621,0.9288659330807427
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",1.0168479681015015,0.004047989845275879,1.2485135118172226
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",0.7144159972667694,0.0012319982051849365,0.8771793361708351
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",1.0348320007324219,0.007951974868774414,1.270594794802512
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",0.7123840153217316,0.0013439953327178955,0.874684413632036
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",1.1332319974899292,0.09624004364013672,1.3914129793969032
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",0.7313120067119598,0.01031997799873352,0.8979247147818546
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",1.2026879787445068,0.09119999408721924,1.476692916804624
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",0.7375999987125397,0.0021760165691375732,0.90564528188844
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",1.1898080110549927,0.0030879974365234375,1.460878543174954
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",0.7197920083999634,0.0026400089263916016,0.883780148435823
densenet121,implicit precomp gemm,224,features.transition1.conv,256,128,"(1, 1)",1.2001120448112488,0.030607998371124268,1.4735301152628892
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.5562399923801422,0.0004639923572540283,0.6829665476898453
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer1.conv2,128,32,"(3, 3)",0.36556799709796906,0.00038398802280426025,0.4488543009206408
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer2.conv1,160,128,"(1, 1)",0.5253919959068298,0.003247976303100586,0.6450905410324017
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer2.conv2,128,32,"(3, 3)",0.3491999953985214,0.009967997670173645,0.42875722453924053
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer3.conv1,192,128,"(1, 1)",0.7020480036735535,0.006528019905090332,0.8619935782211692
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer3.conv2,128,32,"(3, 3)",0.3616959899663925,0.005375996232032776,0.44410014555693217
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer4.conv1,224,128,"(1, 1)",0.7463040053844452,0.02291199564933777,0.9163322973300015
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer4.conv2,128,32,"(3, 3)",0.35676799714565277,0.0037759989500045776,0.4380494223260847
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer5.conv1,256,128,"(1, 1)",0.7236320078372955,0.0012640058994293213,0.8884950038845003
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer5.conv2,128,32,"(3, 3)",0.3673759996891022,0.009680002927780151,0.45107421553446925
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer6.conv1,288,128,"(1, 1)",0.72707200050354,0.007520020008087158,0.8927187201715839
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer6.conv2,128,32,"(3, 3)",0.36108799278736115,0.001023992896080017,0.4433536301318341
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer7.conv1,320,128,"(1, 1)",0.7753280103206635,0.0278719961643219,0.951968757712151
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer7.conv2,128,32,"(3, 3)",0.3485279977321625,0.000912010669708252,0.42793212758012944
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer8.conv1,352,128,"(1, 1)",0.7851360142230988,0.008976012468338013,0.9640112908933984
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer8.conv2,128,32,"(3, 3)",0.35945600271224976,0.005823999643325806,0.44134982845857873
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer9.conv1,384,128,"(1, 1)",0.7900319993495941,0.015311986207962036,0.9700227142092146
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer9.conv2,128,32,"(3, 3)",0.36265599727630615,0.010912001132965088,0.44527886856712645
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer10.conv1,416,128,"(1, 1)",0.8062720000743866,0.020447999238967896,0.989962627522589
