model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,implicit precomp gemm,224,features.conv0,3,64,"(7, 7)",1.0383359789848328,0.13107198476791382,1.2769343451362332
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",0.7987360060214996,1.6003847122192383e-05,0.9822768924784533
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",0.8626239895820618,0.008607983589172363,1.060845642961068
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",0.8218239843845367,0.00364801287651062,1.0106702383012074
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",0.8381440043449402,0.007679998874664307,1.0307404221554957
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",1.0439680218696594,0.03737598657608032,1.28386057049919
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",0.8437760174274445,0.003071993589401245,1.037666610867879
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",1.044975996017456,0.02408003807067871,1.2851001661930512
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",0.837695986032486,0.0050559937953948975,1.0301894540854282
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",1.2224960327148438,0.02147197723388672,1.5034123853558334
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",0.832175999879837,0.007696002721786499,1.0234010348784917
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",1.1428799629211426,0.1064000129699707,1.4055014047079932
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",0.8360320031642914,0.012735992670059204,1.0281431059696735
densenet121,implicit precomp gemm,224,features.transition1.conv,256,128,"(1, 1)",1.2206400036811829,0.0041280388832092285,1.501129860945027
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.5110720098018646,0.0011200010776519775,0.628510824397943
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer1.conv2,128,32,"(3, 3)",0.37831999361515045,0.007632002234458923,0.46525383216636346
