model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
densenet121,implicit precomp gemm,224,features.conv0,3,64,"(7, 7)",1.7597439885139465,0.05990403890609741,1.4917793450444436
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer1.conv1,64,128,"(1, 1)",1.3025280237197876,0.004096031188964844,1.1041858445373167
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer1.conv2,128,32,"(3, 3)",1.2917760014533997,0.02303999662399292,1.0950710841862952
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer2.conv1,96,128,"(1, 1)",1.3532159924507141,0.001535952091217041,1.147155313555881
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer2.conv2,128,32,"(3, 3)",1.25491201877594,0.019968032836914062,1.0638205566702157
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer3.conv1,128,128,"(1, 1)",1.450495958328247,0.013823986053466797,1.2296219932149386
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer3.conv2,128,32,"(3, 3)",1.2421119809150696,0.012288033962249756,1.0529696418659786
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer4.conv1,160,128,"(1, 1)",1.6209920048713684,0.0010239481925964355,1.3741557903495716
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer4.conv2,128,32,"(3, 3)",1.251840054988861,0.007679998874664307,1.0612163755187525
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer5.conv1,192,128,"(1, 1)",1.6778239607810974,0.009728014469146729,1.4223336721994224
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer5.conv2,128,32,"(3, 3)",1.2559360265731812,0.01587200164794922,1.0646886338968236
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer6.conv1,224,128,"(1, 1)",1.866752028465271,0.029695987701416016,1.582492758356275
densenet121,implicit precomp gemm,224,features.denseblock1.denselayer6.conv2,128,32,"(3, 3)",1.2851199507713318,0.024576008319854736,1.0894285822133447
densenet121,implicit precomp gemm,224,features.transition1.conv,256,128,"(1, 1)",1.9578880071640015,0.019456028938293457,1.6597510251840462
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer1.conv1,128,128,"(1, 1)",0.6574079990386963,0.010240018367767334,0.557301335099945
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer1.conv2,128,32,"(3, 3)",0.6865919828414917,0.0005120038986206055,0.5820413339448262
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer2.conv1,160,128,"(1, 1)",0.6579200029373169,0.009728014469146729,0.5577353737132488
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer2.conv2,128,32,"(3, 3)",0.6481920182704926,0.02764800190925598,0.5494887158530151
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer3.conv1,192,128,"(1, 1)",0.6845439970493317,0.027135998010635376,0.5803052047557907
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer3.conv2,128,32,"(3, 3)",0.6415359973907471,0.012799978256225586,0.5438462391442446
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer4.conv1,224,128,"(1, 1)",0.7060479819774628,0.019968003034591675,0.5985346749294738
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer4.conv2,128,32,"(3, 3)",0.6466560065746307,0.00870397686958313,0.5481866000131034
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer5.conv1,256,128,"(1, 1)",0.7536639869213104,0.017407983541488647,0.6388999627965748
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer5.conv2,128,32,"(3, 3)",0.6507520079612732,0.01689600944519043,0.5516588836553544
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer6.conv1,288,128,"(1, 1)",0.7551999986171722,0.01587197184562683,0.6402020786364865
densenet121,implicit precomp gemm,224,features.denseblock2.denselayer6.conv2,128,32,"(3, 3)",0.6563840210437775,0.01945599913597107,0.5564332831375172
