model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,fft tiling,224,conv1.conv,3,64,"(7, 7)",1.5828160047531128,0.0007359981536865234,3.0260956217575554
googlenet,fft tiling,224,conv2.conv,64,64,"(1, 1)",0.6786400079727173,0.005327999591827393,1.2974531156551432
googlenet,fft tiling,224,conv3.conv,64,192,"(3, 3)",1.1291199922561646,0.005216002464294434,2.158700098270904
googlenet,fft tiling,224,inception3a.branch1.conv,192,64,"(1, 1)",0.5437280237674713,0.0002720057964324951,1.0395225896179119
googlenet,fft tiling,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.5222399830818176,0.0069119930267333984,0.9984408304976233
googlenet,fft tiling,224,inception3a.branch2.1.conv,96,128,"(3, 3)",0.623551994562149,0.008096009492874146,1.1921334855197099
googlenet,fft tiling,224,inception3a.branch3.0.conv,192,16,"(1, 1)",0.3144800066947937,0.0002720057964324951,0.601236384097493
googlenet,fft tiling,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.40243199467658997,0.0027520060539245605,0.7693867723658382
googlenet,fft tiling,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.4948960095643997,0.0009119957685470581,0.9461634474701377
googlenet,fft tiling,224,inception3b.branch1.conv,256,128,"(1, 1)",0.5622240006923676,0.007504016160964966,1.0748839927276104
googlenet,fft tiling,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.548335999250412,0.005391985177993774,1.0483323150643435
googlenet,fft tiling,224,inception3b.branch2.1.conv,128,192,"(3, 3)",0.763696014881134,0.0038560032844543457,1.4600668429214956
googlenet,fft tiling,224,inception3b.branch3.0.conv,256,32,"(1, 1)",0.5113759934902191,0.005647987127304077,0.9776705885748523
googlenet,fft tiling,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.47782400250434875,0.00585600733757019,0.9135244511092864
googlenet,fft tiling,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.5527200102806091,0.002160012722015381,1.056713855650475
googlenet,fft tiling,224,inception4a.branch1.conv,480,192,"(1, 1)",0.5804639756679535,0.0037280023097991943,1.1097559603150227
googlenet,fft tiling,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.5314719974994659,0.0018080174922943115,1.0160909921875196
googlenet,fft tiling,224,inception4a.branch2.1.conv,96,208,"(3, 3)",0.6371200084686279,0.013055980205535889,1.218073397268799
googlenet,fft tiling,224,inception4a.branch3.0.conv,480,16,"(1, 1)",0.4668639898300171,0.002351999282836914,0.8925706281326381
googlenet,fft tiling,224,inception4a.branch3.1.conv,16,48,"(3, 3)",0.36665600538253784,0.0023359954357147217,0.7009886994112607
googlenet,fft tiling,224,inception4a.branch4.1.conv,480,64,"(1, 1)",0.48393599689006805,0.0003520101308822632,0.9252096244934895
googlenet,fft tiling,224,inception4b.branch1.conv,512,160,"(1, 1)",0.565343976020813,0.003488004207611084,1.0808488955672635
googlenet,fft tiling,224,inception4b.branch2.0.conv,512,112,"(1, 1)",0.5257439911365509,0.004623979330062866,1.0051399435980657
googlenet,fft tiling,224,inception4b.branch2.1.conv,112,224,"(3, 3)",0.681408017873764,0.00703999400138855,1.302745115873353
googlenet,fft tiling,224,inception4b.branch3.0.conv,512,24,"(1, 1)",0.45923198759555817,0.003040000796318054,0.8779794384570305
