model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,fft tiling,224,conv1.conv,3,64,"(7, 7)",1.4432640075683594,0.0035200119018554688,0.7573065066592963
googlenet,fft tiling,224,conv2.conv,64,64,"(1, 1)",0.6487680077552795,0.010815978050231934,0.34042020795158723
googlenet,fft tiling,224,conv3.conv,64,192,"(3, 3)",2.074671983718872,0.014415979385375977,1.0886175947124035
googlenet,fft tiling,224,inception3a.branch1.conv,192,64,"(1, 1)",0.5530239939689636,0.0022079944610595703,0.29018160695147177
googlenet,fft tiling,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.5222559869289398,0.0020320117473602295,0.2740370818984243
googlenet,fft tiling,224,inception3a.branch2.1.conv,96,128,"(3, 3)",0.6199840009212494,0.009744018316268921,0.3253167233854731
googlenet,fft tiling,224,inception3a.branch3.0.conv,192,16,"(1, 1)",1.0066720247268677,0.0009440183639526367,0.528218863908332
googlenet,fft tiling,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.4101119935512543,0.0005120038986206055,0.21519311750776116
googlenet,fft tiling,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.4925120025873184,0.0020159929990768433,0.25842987991891037
googlenet,fft tiling,224,inception3b.branch1.conv,256,128,"(1, 1)",0.5688320100307465,0.0056320130825042725,0.29847635646243104
googlenet,fft tiling,224,inception3b.branch2.0.conv,256,128,"(1, 1)",1.4438559412956238,0.8970399498939514,0.7576171049010718
googlenet,fft tiling,224,inception3b.branch2.1.conv,128,192,"(3, 3)",0.8810720145702362,0.01886400580406189,0.46231428620854786
googlenet,fft tiling,224,inception3b.branch3.0.conv,256,32,"(1, 1)",2.026495933532715,0.004096031188964844,1.0633387572441355
googlenet,fft tiling,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.46590399742126465,0.0020320117473602295,0.2444681824499722
googlenet,fft tiling,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.5514239966869354,0.0015359818935394287,0.2893420596850235
googlenet,fft tiling,224,inception4a.branch1.conv,480,192,"(1, 1)",0.5677919983863831,0.002575993537902832,0.29793064370222383
googlenet,fft tiling,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.5063200145959854,0.008656010031700134,0.2656751914373561
googlenet,fft tiling,224,inception4a.branch2.1.conv,96,208,"(3, 3)",0.6544319987297058,0.028735995292663574,0.3433922055875702
googlenet,fft tiling,224,inception4a.branch3.0.conv,480,16,"(1, 1)",1.6471039652824402,0.006655991077423096,0.8642649879104944
