model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,fft tiling,224,conv1.conv,3,64,"(7, 7)",3.357696056365967,0.0071680545806884766,3.7375402039341843
googlenet,fft tiling,224,conv2.conv,64,64,"(1, 1)",1.062399983406067,0.00563204288482666,1.1825854943334986
googlenet,fft tiling,224,conv3.conv,64,192,"(3, 3)",2.024448037147522,0.014335989952087402,2.25346660406293
googlenet,fft tiling,224,inception3a.branch1.conv,192,64,"(1, 1)",0.7864319980144501,0.006144016981124878,0.8753982376297996
googlenet,fft tiling,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.7884800136089325,0.002047985792160034,0.87767793790468
googlenet,fft tiling,224,inception3a.branch2.1.conv,96,128,"(3, 3)",1.034239947795868,0.008192002773284912,1.1512398145964087
googlenet,fft tiling,224,inception3a.branch3.0.conv,192,16,"(1, 1)",1.0654720067977905,0.00563204288482666,1.186005044745819
googlenet,fft tiling,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.6292479932308197,0.0015359818935394287,0.7004325684828332
googlenet,fft tiling,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.7214079797267914,0.0035839974880218506,0.8030182846823888
googlenet,fft tiling,224,inception3b.branch1.conv,256,128,"(1, 1)",0.9180159866809845,0.012800008058547974,1.0218678523832767
googlenet,fft tiling,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.9144319891929626,0.016384005546569824,1.0178784100759886
googlenet,fft tiling,224,inception3b.branch2.1.conv,128,192,"(3, 3)",1.3537279963493347,0.004095971584320068,1.5068704035775424
googlenet,fft tiling,224,inception3b.branch3.0.conv,256,32,"(1, 1)",1.2021759748458862,0.003072023391723633,1.3381738438389918
googlenet,fft tiling,224,inception3b.branch3.1.conv,32,96,"(3, 3)",1.0547199845314026,0.010240018367767334,1.1740366846502022
googlenet,fft tiling,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.8437759876251221,0.001024007797241211,0.9392293477201618
googlenet,fft tiling,224,inception4a.branch1.conv,480,192,"(1, 1)",0.8750079870223999,0.0015360116958618164,0.973994511522067
googlenet,fft tiling,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.8135679960250854,0.005631983280181885,0.9056040340556966
googlenet,fft tiling,224,inception4a.branch2.1.conv,96,208,"(3, 3)",1.0931199789047241,0.0005120038986206055,1.2167807330666836
googlenet,fft tiling,224,inception4a.branch3.0.conv,480,16,"(1, 1)",1.3777920007705688,0.20838403701782227,1.5336566827648714
googlenet,fft tiling,224,inception4a.branch3.1.conv,16,48,"(3, 3)",0.6128639876842499,0.013824015855789185,0.6821950989788005
googlenet,fft tiling,224,inception4a.branch4.1.conv,480,64,"(1, 1)",0.7623679935932159,0.012800008058547974,0.8486119584424705
googlenet,fft tiling,224,inception4b.branch1.conv,512,160,"(1, 1)",0.8601599931716919,0.0,0.9574668172241945
googlenet,fft tiling,224,inception4b.branch2.0.conv,512,112,"(1, 1)",0.8319999873638153,0.012800008058547974,0.9261211706608572
googlenet,fft tiling,224,inception4b.branch2.1.conv,112,224,"(3, 3)",1.1934720277786255,0.0005120038986206055,1.3284852503657605
googlenet,fft tiling,224,inception4b.branch3.0.conv,512,24,"(1, 1)",1.1852800250053406,0.003583967685699463,1.3193665156137442
googlenet,fft tiling,224,inception4b.branch3.1.conv,24,64,"(3, 3)",0.679423987865448,0.0005120038986206055,0.7562847939586191
googlenet,fft tiling,224,inception4b.branch4.1.conv,512,64,"(1, 1)",0.7833600044250488,0.00614398717880249,0.8719787203912316
googlenet,fft tiling,224,inception4c.branch1.conv,512,128,"(1, 1)",0.8355840146541595,0.004096001386642456,0.930110646141898
googlenet,fft tiling,224,inception4c.branch2.0.conv,512,128,"(1, 1)",0.8381440043449402,0.0025600194931030273,0.9329602383117457
googlenet,fft tiling,224,inception4c.branch2.1.conv,128,256,"(3, 3)",1.3829119801521301,0.008704006671905518,1.5393558671045673
googlenet,fft tiling,224,inception4c.branch3.0.conv,512,24,"(1, 1)",1.182208001613617,0.0005119442939758301,1.3159469652014235
googlenet,fft tiling,224,inception4c.branch3.1.conv,24,64,"(3, 3)",0.6609919965267181,0.0025599896907806396,0.7357676573534585
googlenet,fft tiling,224,inception4c.branch4.1.conv,512,64,"(1, 1)",1.314303994178772,0.00563204288482666,1.4629865050236208
googlenet,fft tiling,224,inception4d.branch1.conv,512,112,"(1, 1)",0.8253439962863922,0.004096001386642456,0.9187122111150012
googlenet,fft tiling,224,inception4d.branch2.0.conv,512,144,"(1, 1)",0.8591360151767731,0.004096001386642456,0.9563270002605068
