model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,gemm,224,conv1.conv,3,64,"(7, 7)",0.9133599996566772,0.0038560032844543457,1.8982074096906616
googlenet,gemm,224,conv2.conv,64,64,"(1, 1)",0.47945599257946014,0.003680005669593811,0.9964383354613976
googlenet,gemm,224,conv3.conv,64,192,"(3, 3)",1.249567985534668,0.0061119794845581055,2.596937910512534
googlenet,gemm,224,inception3a.branch1.conv,192,64,"(1, 1)",0.40110400319099426,0.008592009544372559,0.8336018560041238
googlenet,gemm,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.35864000022411346,0.004784002900123596,0.7453502519190335
googlenet,gemm,224,inception3a.branch2.1.conv,96,128,"(3, 3)",0.44123199582099915,0.011023998260498047,0.9169986031519293
googlenet,gemm,224,inception3a.branch3.0.conv,192,16,"(1, 1)",0.30161599814891815,0.007951989769935608,0.6268390588406865
googlenet,gemm,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.19022399932146072,0.000943996012210846,0.39533656515362636
googlenet,gemm,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.33873601257801056,0.001552000641822815,0.7039844193377667
googlenet,gemm,224,inception3b.branch1.conv,256,128,"(1, 1)",0.4239040017127991,0.002240002155303955,0.8809863770596705
googlenet,gemm,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.4201119989156723,0.008111998438835144,0.8731055767073677
googlenet,gemm,224,inception3b.branch2.1.conv,128,192,"(3, 3)",0.7497279942035675,0.0016960203647613525,1.5581361504605773
googlenet,gemm,224,inception3b.branch3.0.conv,256,32,"(1, 1)",0.36377599835395813,0.0033600032329559326,0.7560242355726784
googlenet,gemm,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.2536799982190132,0.00488000363111496,0.5272151752766157
googlenet,gemm,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.4107999950647354,0.0016800016164779663,0.853752731481432
googlenet,gemm,224,inception4a.branch1.conv,480,192,"(1, 1)",0.5028319954872131,0.004368007183074951,1.045019948346926
googlenet,gemm,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.4352319985628128,0.013663992285728455,0.9045289972376194
googlenet,gemm,224,inception4a.branch2.1.conv,96,208,"(3, 3)",0.39025598764419556,0.005584001541137695,0.8110567658982368
googlenet,gemm,224,inception4a.branch3.0.conv,480,16,"(1, 1)",0.38865599036216736,0.001744002103805542,0.8077315417835694
googlenet,gemm,224,inception4a.branch3.1.conv,16,48,"(3, 3)",0.17985600233078003,0.002928003668785095,0.3737890825413395
googlenet,gemm,224,inception4a.branch4.1.conv,480,64,"(1, 1)",0.4275200068950653,0.0027520060539245605,0.8885014070949663
googlenet,gemm,224,inception4b.branch1.conv,512,160,"(1, 1)",0.4826880097389221,0.007679998874664307,1.0031553352453209
googlenet,gemm,224,inception4b.branch2.0.conv,512,112,"(1, 1)",0.43932799994945526,0.0032319873571395874,0.9130415883135922
googlenet,gemm,224,inception4b.branch2.1.conv,112,224,"(3, 3)",0.45180800557136536,0.0019840002059936523,0.9389783921515044
googlenet,gemm,224,inception4b.branch3.0.conv,512,24,"(1, 1)",0.3986080139875412,0.003407999873161316,0.8284145200114337
googlenet,gemm,224,inception4b.branch3.1.conv,24,64,"(3, 3)",0.19891199469566345,0.004896000027656555,0.41339255315492796
googlenet,gemm,224,inception4b.branch4.1.conv,512,64,"(1, 1)",0.45055998861789703,0.005152001976966858,0.9363846777022362
googlenet,gemm,224,inception4c.branch1.conv,512,128,"(1, 1)",0.45951999723911285,0.002879992127418518,0.9550059822941573
googlenet,gemm,224,inception4c.branch2.0.conv,512,128,"(1, 1)",0.4445440024137497,0.004767999053001404,0.923881842463555
googlenet,gemm,224,inception4c.branch2.1.conv,128,256,"(3, 3)",0.5045920014381409,0.00043201446533203125,1.0486777134542293
googlenet,gemm,224,inception4c.branch3.0.conv,512,24,"(1, 1)",0.40940798819065094,6.400048732757568e-05,0.8508597673011299
googlenet,gemm,224,inception4c.branch3.1.conv,24,64,"(3, 3)",0.18988800048828125,0.0008320063352584839,0.3946382693282908
googlenet,gemm,224,inception4c.branch4.1.conv,512,64,"(1, 1)",0.44860799610614777,0.00348798930644989,0.9323279129535544
googlenet,gemm,224,inception4d.branch1.conv,512,112,"(1, 1)",0.4497919976711273,0.00035199522972106934,0.9347885862308759
googlenet,gemm,224,inception4d.branch2.0.conv,512,144,"(1, 1)",0.45339201390743256,0.0004319995641708374,0.9422703869418004
googlenet,gemm,224,inception4d.branch2.1.conv,144,288,"(3, 3)",0.5582560002803802,0.0014239847660064697,1.1602059173106056
googlenet,gemm,224,inception4d.branch3.0.conv,512,32,"(1, 1)",0.4156319946050644,0.00324799120426178,0.863794924411407
googlenet,gemm,224,inception4d.branch3.1.conv,32,64,"(3, 3)",0.19382400065660477,0.0002559944987297058,0.4028183348959353
googlenet,gemm,224,inception4d.branch4.1.conv,512,64,"(1, 1)",0.4583359956741333,0.0007359981536865234,0.952545309016836
googlenet,gemm,224,inception4e.branch1.conv,528,256,"(1, 1)",0.5289600193500519,0.0018239915370941162,1.0993209999757008
googlenet,gemm,224,inception4e.branch2.0.conv,528,160,"(1, 1)",0.47945599257946014,0.0011840015649795532,0.9964383354613976
googlenet,gemm,224,inception4e.branch2.1.conv,160,320,"(3, 3)",0.8105280101299286,0.0003840029239654541,1.684494914566856
googlenet,gemm,224,inception4e.branch3.0.conv,528,32,"(1, 1)",0.4493120014667511,0.0007039904594421387,0.9337910251901989
googlenet,gemm,224,inception4e.branch3.1.conv,32,128,"(3, 3)",0.22075200080871582,0.00020800530910491943,0.45878195212912054
googlenet,gemm,224,inception4e.branch4.1.conv,528,128,"(1, 1)",0.4954559952020645,0.00575999915599823,1.0296906385453009
googlenet,gemm,224,inception5a.branch1.conv,832,256,"(1, 1)",0.7039200067520142,0.005039989948272705,1.4629348484151186
googlenet,gemm,224,inception5a.branch2.0.conv,832,160,"(1, 1)",0.6215360164642334,0.001024007797241211,1.2917187880852032
googlenet,gemm,224,inception5a.branch2.1.conv,160,320,"(3, 3)",0.5970560014247894,0.004448026418685913,1.2408427414500558
googlenet,gemm,224,inception5a.branch3.0.conv,832,32,"(1, 1)",0.5757279992103577,0.004912018775939941,1.1965174241025136
googlenet,gemm,224,inception5a.branch3.1.conv,32,128,"(3, 3)",0.19331199675798416,0.0006399974226951599,0.4017542532692849
googlenet,gemm,224,inception5a.branch4.1.conv,832,128,"(1, 1)",0.618943989276886,0.0034559965133666992,1.2863318593659776
googlenet,gemm,224,inception5b.branch1.conv,832,384,"(1, 1)",0.731359988451004,0.00979200005531311,1.519962500822031
googlenet,gemm,224,inception5b.branch2.0.conv,832,192,"(1, 1)",0.6415520012378693,0.0005600154399871826,1.333317380780146
googlenet,gemm,224,inception5b.branch2.1.conv,192,384,"(3, 3)",0.939439982175827,0.001744002103805542,1.9524086185032454
googlenet,gemm,224,inception5b.branch3.0.conv,832,48,"(1, 1)",0.5995680093765259,0.006896018981933594,1.246063368704348
googlenet,gemm,224,inception5b.branch3.1.conv,48,128,"(3, 3)",0.23739200085401535,0.0007840022444725037,0.4933643417620292
googlenet,gemm,224,inception5b.branch4.1.conv,832,128,"(1, 1)",0.6165120005607605,0.0017920136451721191,1.2812775335766187
