model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,gemm,224,conv1.conv,3,64,"(7, 7)",0.9230239987373352,0.006543993949890137,2.6849427686506493
googlenet,gemm,224,conv2.conv,64,64,"(1, 1)",0.4495679885149002,0.003040000796318054,1.307727991288549
googlenet,gemm,224,conv3.conv,64,192,"(3, 3)",1.071615993976593,0.008704006671905518,3.117175303929019
googlenet,gemm,224,inception3a.branch1.conv,192,64,"(1, 1)",0.3538080006837845,0.01793600618839264,1.0291760931743654
googlenet,gemm,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.30104000866413116,0.0030560046434402466,0.8756816674788307
googlenet,gemm,224,inception3a.branch2.1.conv,96,128,"(3, 3)",0.3599199950695038,0.002768009901046753,1.0469549972444865
googlenet,gemm,224,inception3a.branch3.0.conv,192,16,"(1, 1)",0.24532800167798996,0.004496000707149506,0.7136235297824334
googlenet,gemm,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.16841600090265274,0.0056320056319236755,0.4898976888653115
googlenet,gemm,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.27955201268196106,0.004096001386642456,0.8131762077030878
googlenet,gemm,224,inception3b.branch1.conv,256,128,"(1, 1)",0.35470400750637054,0.00552000105381012,1.0317824469010888
googlenet,gemm,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.3585439920425415,0.01038399338722229,1.0429524042653897
googlenet,gemm,224,inception3b.branch2.1.conv,128,192,"(3, 3)",0.5867519974708557,0.010240018367767334,1.7067763511629
googlenet,gemm,224,inception3b.branch3.0.conv,256,32,"(1, 1)",0.2955999970436096,0.006704002618789673,0.8598574636857814
googlenet,gemm,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.23102400451898575,0.0036960020661354065,0.6720152793063839
googlenet,gemm,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.342960000038147,7.998943328857422e-05,0.9976208346679066
googlenet,gemm,224,inception4a.branch1.conv,480,192,"(1, 1)",0.3819359987974167,0.0010079890489578247,1.110996354874091
googlenet,gemm,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.32014401257038116,0.0024159997701644897,0.9312524405145557
googlenet,gemm,224,inception4a.branch2.1.conv,96,208,"(3, 3)",0.318463996052742,0.002048000693321228,0.926365516440621
