model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,gemm,224,conv1.conv,3,64,"(7, 7)",1.7305600047111511,0.026624023914337158,2.789745627131581
googlenet,gemm,224,conv2.conv,64,64,"(1, 1)",0.9574399888515472,0.006144016981124878,1.5434391265648915
googlenet,gemm,224,conv3.conv,64,192,"(3, 3)",1.8513919711112976,0.20787197351455688,2.984532545218702
googlenet,gemm,224,inception3a.branch1.conv,192,64,"(1, 1)",0.5596159994602203,0.0025599896907806396,0.9021277985836714
googlenet,gemm,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.5985279977321625,0.0025599896907806396,0.9648558038112169
googlenet,gemm,224,inception3a.branch2.1.conv,96,128,"(3, 3)",0.9082880020141602,0.003072023391723633,1.4642037692405918
googlenet,gemm,224,inception3a.branch3.0.conv,192,16,"(1, 1)",0.5201919972896576,0.010239988565444946,0.8385744185448725
googlenet,gemm,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.3379199951887131,0.002048000693321228,0.5447432197275272
googlenet,gemm,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.532480001449585,0.001024007797241211,0.8583832698866404
googlenet,gemm,224,inception3b.branch1.conv,256,128,"(1, 1)",0.9256960153579712,0.015359997749328613,1.4922663206521223
googlenet,gemm,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.9272319972515106,0.019968003034591675,1.4947423970431113
googlenet,gemm,224,inception3b.branch2.1.conv,128,192,"(3, 3)",1.0731520056724548,0.0030719637870788574,1.7299724406677923
googlenet,gemm,224,inception3b.branch3.0.conv,256,32,"(1, 1)",0.5939199924468994,0.009216010570526123,0.9574274785527076
googlenet,gemm,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.462336003780365,0.0005120038986206055,0.7453077855148077
googlenet,gemm,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.6297599971294403,0.005120009183883667,1.015203282955504
googlenet,gemm,224,inception4a.branch1.conv,480,192,"(1, 1)",0.6000640094280243,0.003071993589401245,0.9673319282449772
googlenet,gemm,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.537088006734848,0.0015359818935394287,0.8658115951451497
googlenet,gemm,224,inception4a.branch2.1.conv,96,208,"(3, 3)",0.5975039899349213,0.011776000261306763,0.96320505418871
googlenet,gemm,224,inception4a.branch3.0.conv,480,16,"(1, 1)",0.549375981092453,0.012800008058547974,0.8856203984441461
googlenet,gemm,224,inception4a.branch3.1.conv,16,48,"(3, 3)",0.2943999916315079,0.0015359967947006226,0.4745868892414724
googlenet,gemm,224,inception4a.branch4.1.conv,480,64,"(1, 1)",0.5109759867191315,0.003071993589401245,0.8237177680278538
googlenet,gemm,224,inception4b.branch1.conv,512,160,"(1, 1)",0.677376002073288,0.0015359818935394287,1.0919625638888146
googlenet,gemm,224,inception4b.branch2.0.conv,512,112,"(1, 1)",0.649728000164032,0.0025600194931030273,1.0473926603805301
googlenet,gemm,224,inception4b.branch2.1.conv,112,224,"(3, 3)",0.651775985956192,0.0046080052852630615,1.0506941115827724
googlenet,gemm,224,inception4b.branch3.0.conv,512,24,"(1, 1)",0.5657600164413452,0.0015360116958618164,0.9120322482759409
googlenet,gemm,224,inception4b.branch3.1.conv,24,64,"(3, 3)",0.3558399975299835,0.0025599896907806396,0.5736311219289254
googlenet,gemm,224,inception4b.branch4.1.conv,512,64,"(1, 1)",0.5939199924468994,0.001024007797241211,0.9574274785527076
googlenet,gemm,224,inception4c.branch1.conv,512,128,"(1, 1)",0.6538240015506744,0.0015359818935394287,1.053995610827786
googlenet,gemm,224,inception4c.branch2.0.conv,512,128,"(1, 1)",0.6579200029373169,0.0005120038986206055,1.060598561275042
googlenet,gemm,224,inception4c.branch2.1.conv,128,256,"(3, 3)",0.9507839977741241,0.0015359818935394287,1.5327093501041398
googlenet,gemm,224,inception4c.branch3.0.conv,512,24,"(1, 1)",0.581631988286972,0.003071993589401245,0.9376186272109399
googlenet,gemm,224,inception4c.branch3.1.conv,24,64,"(3, 3)",0.35020799934864044,0.001023992896080017,0.564552071069295
googlenet,gemm,224,inception4c.branch4.1.conv,512,64,"(1, 1)",0.5964800119400024,0.0015360116958618164,0.9615543526089745
googlenet,gemm,224,inception4d.branch1.conv,512,112,"(1, 1)",0.6435840129852295,0.0005120038986206055,1.037488258731032
googlenet,gemm,224,inception4d.branch2.0.conv,512,144,"(1, 1)",0.6625279784202576,0.001024007797241211,1.06802683849078
googlenet,gemm,224,inception4d.branch2.1.conv,144,288,"(3, 3)",1.0250239968299866,0.005119979381561279,1.652387784923228
googlenet,gemm,224,inception4d.branch3.0.conv,512,32,"(1, 1)",0.5790719985961914,0.0005120038986206055,0.9334918011974441
googlenet,gemm,224,inception4d.branch3.1.conv,32,64,"(3, 3)",0.36608000099658966,0.0035840123891830444,0.5901384980470652
googlenet,gemm,224,inception4d.branch4.1.conv,512,64,"(1, 1)",0.5928959846496582,0.001024007797241211,0.9557767289302008
googlenet,gemm,224,inception4e.branch1.conv,528,256,"(1, 1)",0.7490560114383698,0.0015359818935394287,1.2075141726944074
googlenet,gemm,224,inception4e.branch2.0.conv,528,160,"(1, 1)",0.7060479819774628,0.0046080052852630615,1.1381831689768347
googlenet,gemm,224,inception4e.branch2.1.conv,160,320,"(3, 3)",1.1161600351333618,0.001024007797241211,1.799303444385365
googlenet,gemm,224,inception4e.branch3.0.conv,528,32,"(1, 1)",0.5898240208625793,0.0,0.950824576148223
googlenet,gemm,224,inception4e.branch3.1.conv,32,128,"(3, 3)",0.4198399931192398,0.002048000693321228,0.6768021806298741
googlenet,gemm,224,inception4e.branch4.1.conv,528,128,"(1, 1)",0.6630399823188782,0.0005120038986206055,1.0688522133020333
googlenet,gemm,224,inception5a.branch1.conv,832,256,"(1, 1)",0.8847360014915466,0.009216010570526123,1.426236816179563
googlenet,gemm,224,inception5a.branch2.0.conv,832,160,"(1, 1)",0.7664639949798584,0.005631983280181885,1.2355766760631666
googlenet,gemm,224,inception5a.branch2.1.conv,160,320,"(3, 3)",1.051647961139679,0.005119979381561279,1.6953068907662345
googlenet,gemm,224,inception5a.branch3.0.conv,832,32,"(1, 1)",0.681471973657608,0.0035839974880218506,1.0985654662932993
googlenet,gemm,224,inception5a.branch3.1.conv,32,128,"(3, 3)",0.392192006111145,0.011263996362686157,0.6322323011429751
googlenet,gemm,224,inception5a.branch4.1.conv,832,128,"(1, 1)",0.7439360022544861,0.0015360116958618164,1.1992604726246447
googlenet,gemm,224,inception5b.branch1.conv,832,384,"(1, 1)",0.9656319916248322,0.006144016981124878,1.5566450274594033
googlenet,gemm,224,inception5b.branch2.0.conv,832,192,"(1, 1)",0.7971839904785156,0.0015360116958618164,1.2850987803962002
googlenet,gemm,224,inception5b.branch2.1.conv,192,384,"(3, 3)",1.2380160093307495,0.005120038986206055,1.9957411120949928
googlenet,gemm,224,inception5b.branch3.0.conv,832,48,"(1, 1)",0.705024003982544,0.007679998874664307,1.1365324673970991
googlenet,gemm,224,inception5b.branch3.1.conv,48,128,"(3, 3)",0.40857599675655365,0.007168009877204895,0.6586440789106132
googlenet,gemm,224,inception5b.branch4.1.conv,832,128,"(1, 1)",0.7485440075397491,0.002047985792160034,1.206688797883154
