model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,guess,224,conv1.conv,3,64,"(7, 7)",1.017359972000122,0.0006560087203979492,1.768496942983829
googlenet,guess,224,conv2.conv,64,64,"(1, 1)",0.7883680164813995,0.01665601134300232,1.370435701684372
googlenet,guess,224,conv3.conv,64,192,"(3, 3)",1.3322879672050476,0.0007680058479309082,2.3159425002185796
googlenet,guess,224,inception3a.branch1.conv,192,64,"(1, 1)",0.7001279890537262,0.0006720125675201416,1.2170463183298725
googlenet,guess,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.6618240177631378,0.0025599896907806396,1.150461768125515
googlenet,guess,224,inception3a.branch2.1.conv,96,128,"(3, 3)",0.6205919981002808,0.0027679800987243652,1.078787333575614
googlenet,guess,224,inception3a.branch3.0.conv,192,16,"(1, 1)",0.5114080011844635,0.003951996564865112,0.888990634194212
googlenet,guess,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.48636800050735474,0.002047985792160034,0.8454631062114474
googlenet,guess,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.6485119760036469,0.0011200010776519775,1.1273211828808951
googlenet,guess,224,inception3b.branch1.conv,256,128,"(1, 1)",0.8841759860515594,0.0074079930782318115,1.5369805884123267
googlenet,guess,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.8852480053901672,0.00227200984954834,1.5388441008123872
googlenet,guess,224,inception3b.branch2.1.conv,128,192,"(3, 3)",0.8854399919509888,0.004288017749786377,1.5391778348448353
googlenet,guess,224,inception3b.branch3.0.conv,256,32,"(1, 1)",0.6754080057144165,0.0012000203132629395,1.1740750828091426
googlenet,guess,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.5300800204277039,0.002240002155303955,0.9214485742152705
googlenet,guess,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.841920018196106,0.0024319887161254883,1.463526204485392
googlenet,guess,224,inception4a.branch1.conv,480,192,"(1, 1)",0.7300640046596527,0.010416001081466675,1.269084685811654
googlenet,guess,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.6614879965782166,0.005039989948272705,1.1498776558597819
googlenet,guess,224,inception4a.branch2.1.conv,96,208,"(3, 3)",0.5858080089092255,0.0010400116443634033,1.0183216378118765
googlenet,guess,224,inception4a.branch3.0.conv,480,16,"(1, 1)",0.6006880104541779,0.006224006414413452,1.0441878385354093
googlenet,guess,224,inception4a.branch3.1.conv,16,48,"(3, 3)",0.477168008685112,0.0012000054121017456,0.829470578629371
googlenet,guess,224,inception4a.branch4.1.conv,480,64,"(1, 1)",0.6610560119152069,0.006848007440567017,1.1491267283837907
googlenet,guess,224,inception4b.branch1.conv,512,160,"(1, 1)",0.6774559915065765,0.00651201605796814,1.1776351369811078
googlenet,guess,224,inception4b.branch2.0.conv,512,112,"(1, 1)",0.6119999885559082,0.006879985332489014,1.0638516736012613
googlenet,guess,224,inception4b.branch2.1.conv,112,224,"(3, 3)",0.7762880027294159,0.006303995847702026,1.34943677507083
googlenet,guess,224,inception4b.branch3.0.conv,512,24,"(1, 1)",0.6439360082149506,0.005535989999771118,1.119366687649879
googlenet,guess,224,inception4b.branch3.1.conv,24,64,"(3, 3)",0.4862719923257828,0.0044160038232803345,0.8452962132922406
googlenet,guess,224,inception4b.branch4.1.conv,512,64,"(1, 1)",0.6512320041656494,0.006048023700714111,1.1320494615843262
googlenet,guess,224,inception4c.branch1.conv,512,128,"(1, 1)",0.6715999841690063,7.998943328857422e-05,1.1674555237079185
googlenet,guess,224,inception4c.branch2.0.conv,512,128,"(1, 1)",0.6542559862136841,0.009840011596679688,1.1373061093341619
googlenet,guess,224,inception4c.branch2.1.conv,128,256,"(3, 3)",0.8262400031089783,0.00166398286819458,1.4362693244127385
googlenet,guess,224,inception4c.branch3.0.conv,512,24,"(1, 1)",0.6368640065193176,0.005728006362915039,1.1070732873552762
