model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,guess,224,conv1.conv,3,64,"(7, 7)",1.0071519613265991,0.005584001541137695,2.008857850657253
googlenet,guess,224,conv2.conv,64,64,"(1, 1)",0.6231679916381836,0.007615983486175537,1.2429662656187062
googlenet,guess,224,conv3.conv,64,192,"(3, 3)",1.393664002418518,0.018432021141052246,2.779791908213314
googlenet,guess,224,inception3a.branch1.conv,192,64,"(1, 1)",0.517520010471344,0.0004000067710876465,1.032241584018972
googlenet,guess,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.4658080041408539,0.009328007698059082,0.9290971987829929
googlenet,guess,224,inception3a.branch2.1.conv,96,128,"(3, 3)",1.017823964357376,0.15254399180412292,2.030144148945722
googlenet,guess,224,inception3a.branch3.0.conv,192,16,"(1, 1)",0.4352479875087738,0.006063997745513916,0.8681424157066557
googlenet,guess,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.37059199810028076,0.0019519925117492676,0.7391800575892352
googlenet,guess,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.44646400213241577,0.008192002773284912,0.8905137954933883
googlenet,guess,224,inception3b.branch1.conv,256,128,"(1, 1)",0.7869119942188263,0.009695976972579956,1.5695688417075169
googlenet,guess,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.8632320165634155,0.12697601318359375,1.7217961936230315
googlenet,guess,224,inception3b.branch2.1.conv,128,192,"(3, 3)",0.9087519943714142,0.00363197922706604,1.8125900045797168
googlenet,guess,224,inception3b.branch3.0.conv,256,32,"(1, 1)",0.4561920017004013,0.0066560059785842896,0.9099171914591744
googlenet,guess,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.5591039955615997,0.005120009183883667,1.1151846930212543
googlenet,guess,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.5032960176467896,0.008704006671905518,1.0038705131671994
googlenet,guess,224,inception4a.branch1.conv,480,192,"(1, 1)",0.7860479950904846,0.0016959905624389648,1.5678455154384163
googlenet,guess,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.5541120171546936,0.011391997337341309,1.1052277298239468
googlenet,guess,224,inception4a.branch2.1.conv,96,208,"(3, 3)",0.6266880035400391,0.00614398717880249,1.2499872553153704
googlenet,guess,224,inception4a.branch3.0.conv,480,16,"(1, 1)",0.36611199378967285,0.009696006774902344,0.7302442741365686
googlenet,guess,224,inception4a.branch3.1.conv,16,48,"(3, 3)",0.4398079961538315,0.004607990384101868,0.8772377752129048
googlenet,guess,224,inception4a.branch4.1.conv,480,64,"(1, 1)",0.5606399774551392,0.008704006671905518,1.1182483511421597
googlenet,guess,224,inception4b.branch1.conv,512,160,"(1, 1)",0.5800960063934326,0.005631983280181885,1.1570552025172236
googlenet,guess,224,inception4b.branch2.0.conv,512,112,"(1, 1)",0.5242879986763,0.003072023391723633,1.0457409632196772
googlenet,guess,224,inception4b.branch2.1.conv,112,224,"(3, 3)",0.8104160130023956,0.005712002515792847,1.6164497836789513
googlenet,guess,224,inception4b.branch3.0.conv,512,24,"(1, 1)",0.4045120030641556,0.002080008387565613,0.8068366485333265
googlenet,guess,224,inception4b.branch3.1.conv,24,64,"(3, 3)",0.4596319943666458,0.0019039958715438843,0.9167785753805107
googlenet,guess,224,inception4b.branch4.1.conv,512,64,"(1, 1)",0.5546079874038696,0.0006240010261535645,1.1062169884135218
googlenet,guess,224,inception4c.branch1.conv,512,128,"(1, 1)",0.5581760108470917,0.0021440088748931885,1.113333741575383
googlenet,guess,224,inception4c.branch2.0.conv,512,128,"(1, 1)",0.5410880148410797,0.00041601061820983887,1.0792501511671773
googlenet,guess,224,inception4c.branch2.1.conv,128,256,"(3, 3)",0.8474400043487549,0.0036640167236328125,1.6902975628967305
googlenet,guess,224,inception4c.branch3.0.conv,512,24,"(1, 1)",0.41257600486278534,9.600818157196045e-05,0.8229210468594282
googlenet,guess,224,inception4c.branch3.1.conv,24,64,"(3, 3)",0.462336003780365,0.0046080052852630615,0.9221719725515254
googlenet,guess,224,inception4c.branch4.1.conv,512,64,"(1, 1)",0.5595519840717316,0.0015999972820281982,1.116078247589124
googlenet,guess,224,inception4d.branch1.conv,512,112,"(1, 1)",0.5504000186920166,0.006655991077423096,1.0978238051534785
googlenet,guess,224,inception4d.branch2.0.conv,512,144,"(1, 1)",0.535616010427475,0.0031360089778900146,1.0683357316483768
googlenet,guess,224,inception4d.branch2.1.conv,144,288,"(3, 3)",0.8781599998474121,0.0016160011291503906,1.7515714386367403
googlenet,guess,224,inception4d.branch3.0.conv,512,32,"(1, 1)",0.419855996966362,0.006127998232841492,0.8374416652482657
googlenet,guess,224,inception4d.branch3.1.conv,32,64,"(3, 3)",0.45427200198173523,0.006783992052078247,0.9060875742254236
googlenet,guess,224,inception4d.branch4.1.conv,512,64,"(1, 1)",0.5494080185890198,0.0007039904594421387,1.0958451690873452
googlenet,guess,224,inception4e.branch1.conv,528,256,"(1, 1)",1.0771839916706085,0.28460797667503357,2.1485432202500636
googlenet,guess,224,inception4e.branch2.0.conv,528,160,"(1, 1)",0.562688022851944,0.0035839974880218506,1.1223333673381808
googlenet,guess,224,inception4e.branch2.1.conv,160,320,"(3, 3)",1.1058719754219055,0.014159977436065674,2.2057640603926094
googlenet,guess,224,inception4e.branch3.0.conv,528,32,"(1, 1)",0.42470400035381317,0.0005439966917037964,0.8471114569369661
googlenet,guess,224,inception4e.branch3.1.conv,32,128,"(3, 3)",0.4756480008363724,0.01279999315738678,0.9487239833907466
googlenet,guess,224,inception4e.branch4.1.conv,528,128,"(1, 1)",0.5882720053195953,0.0004960000514984131,1.1733629894852928
googlenet,guess,224,inception5a.branch1.conv,832,256,"(1, 1)",0.8197600245475769,0.041519999504089355,1.6350872799753842
googlenet,guess,224,inception5a.branch2.0.conv,832,160,"(1, 1)",0.5416959822177887,0.005120009183883667,1.0804627983987198
googlenet,guess,224,inception5a.branch2.1.conv,160,320,"(3, 3)",0.8718239963054657,0.0014239847660064697,1.7389336928488395
googlenet,guess,224,inception5a.branch3.0.conv,832,32,"(1, 1)",0.4812000095844269,0.002992004156112671,0.959797978963129
googlenet,guess,224,inception5a.branch3.1.conv,32,128,"(3, 3)",0.44089600443840027,0.005567997694015503,0.879407908487686
googlenet,guess,224,inception5a.branch4.1.conv,832,128,"(1, 1)",0.5452799797058105,0.0005120038986206055,1.0876114132721548
googlenet,guess,224,inception5b.branch1.conv,832,384,"(1, 1)",0.8053759932518005,0.007679998874664307,1.6063969975729553
googlenet,guess,224,inception5b.branch2.0.conv,832,192,"(1, 1)",0.5825919806957245,0.00012800097465515137,1.1620336543941314
googlenet,guess,224,inception5b.branch2.1.conv,192,384,"(3, 3)",1.1724799871444702,0.016384005546569824,2.3386199077756578
googlenet,guess,224,inception5b.branch3.0.conv,832,48,"(1, 1)",0.49347199499607086,0.006239995360374451,0.9842755902710196
googlenet,guess,224,inception5b.branch3.1.conv,48,128,"(3, 3)",0.4517280012369156,0.00011201202869415283,0.9010133291615732
googlenet,guess,224,inception5b.branch4.1.conv,832,128,"(1, 1)",0.5554080009460449,0.008848011493682861,1.1078126895058518
