model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,guess,224,conv1.conv,3,64,"(7, 7)",1.7454079985618591,0.009728014469146729,2.3517968268687413
googlenet,guess,224,conv2.conv,64,64,"(1, 1)",1.1176959872245789,0.003583967685699463,1.5060054029341778
googlenet,guess,224,conv3.conv,64,192,"(3, 3)",1.9471359848976135,0.006655991077423096,2.623609055611793
googlenet,guess,224,inception3a.branch1.conv,192,64,"(1, 1)",0.8007679879665375,0.005120009183883667,1.0789704268053546
googlenet,guess,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.7813119888305664,0.001024007797241211,1.0527550335739504
googlenet,guess,224,inception3a.branch2.1.conv,96,128,"(3, 3)",1.133567988872528,0.0030719637870788574,1.5273916479510787
googlenet,guess,224,inception3a.branch3.0.conv,192,16,"(1, 1)",0.6778880059719086,0.003071993589401245,0.9133995390938451
googlenet,guess,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.6108160018920898,0.0025600194931030273,0.8230254108117383
googlenet,guess,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.7249920070171356,0.017407983541488647,0.9768683900915854
googlenet,guess,224,inception3b.branch1.conv,256,128,"(1, 1)",0.9185279905796051,0.009215980768203735,1.2376425542997056
googlenet,guess,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.9057280123233795,0.012800008058547974,1.2203956136005776
googlenet,guess,224,inception3b.branch2.1.conv,128,192,"(3, 3)",1.2989439964294434,0.0035840272903442383,1.750222510496132
googlenet,guess,224,inception3b.branch3.0.conv,256,32,"(1, 1)",0.9067519903182983,0.0015360116958618164,1.2217753415502706
googlenet,guess,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.7193599939346313,0.0015360116958618164,0.9692797056652334
googlenet,guess,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.8289279937744141,0.0025600194931030273,1.1169137686246526
googlenet,guess,224,inception4a.branch1.conv,480,192,"(1, 1)",1.0670080184936523,0.005120038986206055,1.4377074438781652
googlenet,guess,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.8919039964675903,0.014335989952087402,1.2017688646392939
googlenet,guess,224,inception4a.branch2.1.conv,96,208,"(3, 3)",1.067520022392273,0.011775970458984375,1.4383973279311273
googlenet,guess,224,inception4a.branch3.0.conv,480,16,"(1, 1)",0.5800960063934326,0.0015360116958618164,0.7816326888838608
googlenet,guess,224,inception4a.branch3.1.conv,16,48,"(3, 3)",0.5232639908790588,0.001024007797241211,0.7050561211923027
googlenet,guess,224,inception4a.branch4.1.conv,480,64,"(1, 1)",0.7029760181903839,0.0025599896907806396,0.9472036167516016
googlenet,guess,224,inception4b.branch1.conv,512,160,"(1, 1)",0.8949759900569916,0.03481599688529968,1.2059081288008355
googlenet,guess,224,inception4b.branch2.0.conv,512,112,"(1, 1)",0.8821759819984436,0.0015360116958618164,1.188661147945476
googlenet,guess,224,inception4b.branch2.1.conv,112,224,"(3, 3)",1.1315199732780457,0.00614398717880249,1.5246321117392303
googlenet,guess,224,inception4b.branch3.0.conv,512,24,"(1, 1)",0.6512640118598938,0.007167994976043701,0.8775258494334335
googlenet,guess,224,inception4b.branch3.1.conv,24,64,"(3, 3)",0.6435840129852295,0.007679998874664307,0.8671776689514641
googlenet,guess,224,inception4b.branch4.1.conv,512,64,"(1, 1)",0.6901760101318359,0.017408013343811035,0.9299566358962424
googlenet,guess,224,inception4c.branch1.conv,512,128,"(1, 1)",0.7449599802494049,0.0046080052852630615,1.0037736272197209
googlenet,guess,224,inception4c.branch2.0.conv,512,128,"(1, 1)",0.7398400008678436,0.0035839974880218506,0.9968748670025621
googlenet,guess,224,inception4c.branch2.1.conv,128,256,"(3, 3)",1.1950079798698425,0.005119979381561279,1.6101770918068334
googlenet,guess,224,inception4c.branch3.0.conv,512,24,"(1, 1)",0.6297599971294403,0.005120009183883667,0.8485509199901806
googlenet,guess,224,inception4c.branch3.1.conv,24,64,"(3, 3)",0.6584320068359375,0.023552000522613525,0.8871841458624408
googlenet,guess,224,inception4c.branch4.1.conv,512,64,"(1, 1)",0.7121919989585876,0.0005120038986206055,0.9596214092362263
googlenet,guess,224,inception4d.branch1.conv,512,112,"(1, 1)",0.8898559808731079,0.0,1.1990093284274455
googlenet,guess,224,inception4d.branch2.0.conv,512,144,"(1, 1)",0.8893439769744873,0.007679998874664307,1.1983194443744833
googlenet,guess,224,inception4d.branch2.1.conv,144,288,"(3, 3)",1.276416003704071,0.001535952091217041,1.7198678531031864
googlenet,guess,224,inception4d.branch3.0.conv,512,32,"(1, 1)",0.6860800087451935,0.017407983541488647,0.9244376036287767
googlenet,guess,224,inception4d.branch3.1.conv,32,64,"(3, 3)",0.6548480093479156,0.010751992464065552,0.8823549976479371
googlenet,guess,224,inception4d.branch4.1.conv,512,64,"(1, 1)",0.707071989774704,0.0056320130825042725,0.9527226088628361
googlenet,guess,224,inception4e.branch1.conv,528,256,"(1, 1)",1.1171839833259583,0.0030719637870788574,1.5053155188812157
googlenet,guess,224,inception4e.branch2.0.conv,528,160,"(1, 1)",0.9374719858169556,0.014847993850708008,1.263168063478148
googlenet,guess,224,inception4e.branch2.1.conv,160,320,"(3, 3)",1.5994880199432373,0.004096031188964844,2.1551813977113237
googlenet,guess,224,inception4e.branch3.0.conv,528,32,"(1, 1)",0.6988799870014191,0.0046080052852630615,0.9416845443279047
googlenet,guess,224,inception4e.branch3.1.conv,32,128,"(3, 3)",0.7249920070171356,0.005120009183883667,0.9768683900915854
googlenet,guess,224,inception4e.branch4.1.conv,528,128,"(1, 1)",0.7674880027770996,0.0015360116958618164,1.034128324768898
googlenet,guess,224,inception5a.branch1.conv,832,256,"(1, 1)",0.936959981918335,0.001024007797241211,1.2624781794251858
googlenet,guess,224,inception5a.branch2.0.conv,832,160,"(1, 1)",0.8770560026168823,0.0005120038986206055,1.1817623877283174
googlenet,guess,224,inception5a.branch2.1.conv,160,320,"(3, 3)",1.338367998600006,0.005119979381561279,1.803343181011903
googlenet,guess,224,inception5a.branch3.0.conv,832,32,"(1, 1)",0.6036479771137238,0.0046080052852630615,0.8133670742264997
googlenet,guess,224,inception5a.branch3.1.conv,32,128,"(3, 3)",0.6246399879455566,0.009216010570526123,0.8416521196167907
googlenet,guess,224,inception5a.branch4.1.conv,832,128,"(1, 1)",0.8099839985370636,0.005120009183883667,1.0913882594462105
googlenet,guess,224,inception5b.branch1.conv,832,384,"(1, 1)",1.2733439803123474,0.026112020015716553,1.7157285487854133
googlenet,guess,224,inception5b.branch2.0.conv,832,192,"(1, 1)",0.8791039884090424,0.0056320130825042725,1.1845218837839346
googlenet,guess,224,inception5b.branch2.1.conv,192,384,"(3, 3)",1.7290239930152893,0.005631983280181885,2.3297206977988782
googlenet,guess,224,inception5b.branch3.0.conv,832,48,"(1, 1)",0.7326720058917999,0.00870397686958313,0.9872165705735548
googlenet,guess,224,inception5b.branch3.1.conv,48,128,"(3, 3)",0.6696960031986237,0.017407983541488647,0.9023614745589137
googlenet,guess,224,inception5b.branch4.1.conv,832,128,"(1, 1)",0.7961600124835968,0.0035839974880218506,1.0727615506411583
