model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,implicit gemm,224,conv1.conv,3,64,"(7, 7)",1.035919964313507,0.0236319899559021,1.8050279064244348
googlenet,implicit gemm,224,conv2.conv,64,64,"(1, 1)",0.8086239993572235,0.0003999769687652588,1.4089784297299226
googlenet,implicit gemm,224,conv3.conv,64,192,"(3, 3)",1.3981119990348816,0.06374400854110718,2.436125628911107
googlenet,implicit gemm,224,inception3a.branch1.conv,192,64,"(1, 1)",0.7189279794692993,0.038064002990722656,1.252688538068074
googlenet,implicit gemm,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.6608319878578186,0.019840002059936523,1.1514597851502602
googlenet,implicit gemm,224,inception3a.branch2.1.conv,96,128,"(3, 3)",0.651856005191803,0.02596801519393921,1.1358196780397873
googlenet,implicit gemm,224,inception3a.branch3.0.conv,192,16,"(1, 1)",0.5177599936723709,0.02313600480556488,0.902165485369421
googlenet,implicit gemm,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.4941920042037964,0.011983990669250488,0.8610996886335838
googlenet,implicit gemm,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.6952960193157196,0.04329600930213928,1.2115112762812625
googlenet,implicit gemm,224,inception3b.branch1.conv,256,128,"(1, 1)",0.928847998380661,0.046192020177841187,1.618461479323486
googlenet,implicit gemm,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.9187040030956268,0.04059198498725891,1.6007861808420454
googlenet,implicit gemm,224,inception3b.branch2.1.conv,128,192,"(3, 3)",0.8898559808731079,0.02303999662399292,1.5505202462615624
googlenet,implicit gemm,224,inception3b.branch3.0.conv,256,32,"(1, 1)",0.6835039854049683,0.004144012928009033,1.1909643701344013
googlenet,implicit gemm,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.5328160226345062,0.02257600426673889,0.928399705553215
googlenet,implicit gemm,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.8803199827671051,0.03558400273323059,1.5339043461052677
googlenet,implicit gemm,224,inception4a.branch1.conv,480,192,"(1, 1)",0.7079359889030457,0.006623983383178711,1.2335356590786335
googlenet,implicit gemm,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.6390399932861328,0.0005440115928649902,1.1134885521461644
googlenet,implicit gemm,224,inception4a.branch2.1.conv,96,208,"(3, 3)",0.5965279936790466,0.004079997539520264,1.0394139630928036
googlenet,implicit gemm,224,inception4a.branch3.0.conv,480,16,"(1, 1)",0.5890719890594482,0.008624017238616943,1.0264223258308234
googlenet,implicit gemm,224,inception4a.branch3.1.conv,16,48,"(3, 3)",0.45497599244117737,0.004703998565673828,0.7927681591248295
googlenet,implicit gemm,224,inception4a.branch4.1.conv,480,64,"(1, 1)",0.6444160044193268,0.00537601113319397,1.12285592651383
googlenet,implicit gemm,224,inception4b.branch1.conv,512,160,"(1, 1)",0.6654399931430817,0.0053119957447052,1.1594889557612957
googlenet,implicit gemm,224,inception4b.branch2.0.conv,512,112,"(1, 1)",0.6155039966106415,0.0022880136966705322,1.0724785009180005
googlenet,implicit gemm,224,inception4b.branch2.1.conv,112,224,"(3, 3)",0.7829920053482056,0.0028640031814575195,1.3643162298714215
googlenet,implicit gemm,224,inception4b.branch3.0.conv,512,24,"(1, 1)",0.6364160180091858,0.0016959905624389648,1.1089164338707955
googlenet,implicit gemm,224,inception4b.branch3.1.conv,24,64,"(3, 3)",0.4734079986810684,0.004288002848625183,0.8248848156045995
googlenet,implicit gemm,224,inception4b.branch4.1.conv,512,64,"(1, 1)",0.6601919829845428,0.01945599913597107,1.1503446153530683
googlenet,implicit gemm,224,inception4c.branch1.conv,512,128,"(1, 1)",0.6586560010910034,0.004639983177185059,1.147668259768553
googlenet,implicit gemm,224,inception4c.branch2.0.conv,512,128,"(1, 1)",0.6500959992408752,0.003247976303100586,1.1327529740796962
googlenet,implicit gemm,224,inception4c.branch2.1.conv,128,256,"(3, 3)",0.8197279870510101,0.0032800137996673584,1.4283264569427785
googlenet,implicit gemm,224,inception4c.branch3.0.conv,512,24,"(1, 1)",0.6432960033416748,0.0016319751739501953,1.1209043923509308
googlenet,implicit gemm,224,inception4c.branch3.1.conv,24,64,"(3, 3)",0.4687519967556,0.0047200024127960205,0.8167720137498675
googlenet,implicit gemm,224,inception4c.branch4.1.conv,512,64,"(1, 1)",0.654559999704361,0.005759984254837036,1.1405312249952706
googlenet,implicit gemm,224,inception4d.branch1.conv,512,112,"(1, 1)",0.6152960062026978,0.005248010158538818,1.0721160902071925
googlenet,implicit gemm,224,inception4d.branch2.0.conv,512,144,"(1, 1)",0.6452639997005463,0.002639979124069214,1.1243335070218299
googlenet,implicit gemm,224,inception4d.branch2.1.conv,144,288,"(3, 3)",0.9179680049419403,0.001520007848739624,1.5995037485574608
googlenet,implicit gemm,224,inception4d.branch3.0.conv,512,32,"(1, 1)",0.6425440013408661,0.0036959946155548096,1.1195940743303237
googlenet,implicit gemm,224,inception4d.branch3.1.conv,32,64,"(3, 3)",0.48559999465942383,0.0016959905624389648,0.8461286314726812
googlenet,implicit gemm,224,inception4d.branch4.1.conv,512,64,"(1, 1)",0.6594399809837341,0.009296000003814697,1.149034297332461
googlenet,implicit gemm,224,inception4e.branch1.conv,528,256,"(1, 1)",0.7303839921951294,0.005487978458404541,1.2726499476159439
googlenet,implicit gemm,224,inception4e.branch2.0.conv,528,160,"(1, 1)",0.6443520188331604,0.013375997543334961,1.1227444354984835
googlenet,implicit gemm,224,inception4e.branch2.1.conv,160,320,"(3, 3)",1.0119200348854065,0.003567993640899658,1.763209480424076
googlenet,implicit gemm,224,inception4e.branch3.0.conv,528,32,"(1, 1)",0.636000007390976,0.006751984357833862,1.1081915605204347
googlenet,implicit gemm,224,inception4e.branch3.1.conv,32,128,"(3, 3)",0.5006880015134811,0.0033120065927505493,0.8724185711997764
googlenet,implicit gemm,224,inception4e.branch4.1.conv,528,128,"(1, 1)",0.6920160055160522,0.01128000020980835,1.205796050543934
googlenet,implicit gemm,224,inception5a.branch1.conv,832,256,"(1, 1)",0.67671999335289,0.015535980463027954,1.1791436741416585
googlenet,implicit gemm,224,inception5a.branch2.0.conv,832,160,"(1, 1)",0.5935520231723785,1.6003847122192383e-05,1.0342285144111656
googlenet,implicit gemm,224,inception5a.branch2.1.conv,160,320,"(3, 3)",0.872736006975174,0.002303987741470337,1.520689726812594
googlenet,implicit gemm,224,inception5a.branch3.0.conv,832,32,"(1, 1)",0.5838080048561096,0.0021439790725708008,1.017250151615318
googlenet,implicit gemm,224,inception5a.branch3.1.conv,32,128,"(3, 3)",0.44046400487422943,0.0022879987955093384,0.7674818981795793
googlenet,implicit gemm,224,inception5a.branch4.1.conv,832,128,"(1, 1)",0.6208319962024689,0.007231980562210083,1.0817622180775974
googlenet,implicit gemm,224,inception5b.branch1.conv,832,384,"(1, 1)",0.8701120018959045,0.0013440251350402832,1.5161175566084804
googlenet,implicit gemm,224,inception5b.branch2.0.conv,832,192,"(1, 1)",0.6428640186786652,0.00020799040794372559,1.120151685193292
googlenet,implicit gemm,224,inception5b.branch2.1.conv,192,384,"(3, 3)",1.08297598361969,0.002048015594482422,1.8870201750734845
googlenet,implicit gemm,224,inception5b.branch3.0.conv,832,48,"(1, 1)",0.6056160032749176,0.0017119944095611572,1.0552492703554366
googlenet,implicit gemm,224,inception5b.branch3.1.conv,48,128,"(3, 3)",0.4755520075559616,0.003135994076728821,0.8286206214430056
googlenet,implicit gemm,224,inception5b.branch4.1.conv,832,128,"(1, 1)",0.6308639943599701,0.003407984972000122,1.0992423683356227
