model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,implicit gemm,224,conv1.conv,3,64,"(7, 7)",0.9953280091285706,0.002048015594482422,1.91300632499211
googlenet,implicit gemm,224,conv2.conv,64,64,"(1, 1)",0.624127984046936,0.0005120038986206055,1.1995651384629473
googlenet,implicit gemm,224,conv3.conv,64,192,"(3, 3)",1.342095971107483,0.0024160146713256836,2.5794894325568976
googlenet,implicit gemm,224,inception3a.branch1.conv,192,64,"(1, 1)",0.5141440033912659,0.0031679868698120117,0.9881774866411962
googlenet,implicit gemm,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.4750239998102188,0.003184005618095398,0.9129893942757678
googlenet,implicit gemm,224,inception3a.branch2.1.conv,96,128,"(3, 3)",0.7850240170955658,0.006527990102767944,1.5088050333169554
googlenet,implicit gemm,224,inception3a.branch3.0.conv,192,16,"(1, 1)",0.4341759979724884,0.001024007797241211,0.8344801137549845
googlenet,implicit gemm,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.39881598949432373,0.0025919973850250244,0.7665186786802023
googlenet,implicit gemm,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.4551199972629547,0.004559993743896484,0.8747341835147323
googlenet,implicit gemm,224,inception3b.branch1.conv,256,128,"(1, 1)",0.7828480005264282,0.0025600194931030273,1.5046227603156235
googlenet,implicit gemm,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.769536018371582,0.008704006671905518,1.4790373193083934
googlenet,implicit gemm,224,inception3b.branch2.1.conv,128,192,"(3, 3)",0.93955197930336,0.007840007543563843,1.8058055862808644
googlenet,implicit gemm,224,inception3b.branch3.0.conv,256,32,"(1, 1)",0.4854079931974411,0.011232003569602966,0.932947282375214
googlenet,implicit gemm,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.568880021572113,0.0015839934349060059,1.0933793377139092
googlenet,implicit gemm,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.5289920270442963,0.006559997797012329,1.0167151776348902
googlenet,implicit gemm,224,inception4a.branch1.conv,480,192,"(1, 1)",0.808896005153656,0.0009599924087524414,1.5546866559844872
googlenet,implicit gemm,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.564848005771637,0.0016480088233947754,1.0856298604983208
googlenet,implicit gemm,224,inception4a.branch2.1.conv,96,208,"(3, 3)",0.6420480012893677,0.00614398717880249,1.2340071575906448
googlenet,implicit gemm,224,inception4a.branch3.0.conv,480,16,"(1, 1)",0.38551999628543854,0.017903998494148254,0.7409639682004694
googlenet,implicit gemm,224,inception4a.branch3.1.conv,16,48,"(3, 3)",0.4479999989271164,0.0035840123891830444,0.8610496476376428
googlenet,implicit gemm,224,inception4a.branch4.1.conv,480,64,"(1, 1)",0.5745919942855835,0.0021759867668151855,1.1043576683032574
googlenet,implicit gemm,224,inception4b.branch1.conv,512,160,"(1, 1)",0.6040799915790558,0.006224006414413452,1.1610331811155128
googlenet,implicit gemm,224,inception4b.branch2.0.conv,512,112,"(1, 1)",0.5585120022296906,0.0014559924602508545,1.0734521515021398
googlenet,implicit gemm,224,inception4b.branch2.1.conv,112,224,"(3, 3)",0.8300159871578217,0.0015999972820281982,1.5952789620254493
googlenet,implicit gemm,224,inception4b.branch3.0.conv,512,24,"(1, 1)",0.422432005405426,0.011743992567062378,0.8119083265095716
googlenet,implicit gemm,224,inception4b.branch3.1.conv,24,64,"(3, 3)",0.47513601183891296,0.004096001386642456,0.9132046798071722
googlenet,implicit gemm,224,inception4b.branch4.1.conv,512,64,"(1, 1)",0.575872004032135,0.005760014057159424,1.1068178288922763
googlenet,implicit gemm,224,inception4c.branch1.conv,512,128,"(1, 1)",0.5708799958229065,0.0015360116958618164,1.0972232598747444
googlenet,implicit gemm,224,inception4c.branch2.0.conv,512,128,"(1, 1)",0.5539360046386719,0.005231976509094238,1.0646571489959493
googlenet,implicit gemm,224,inception4c.branch2.1.conv,128,256,"(3, 3)",0.8724479973316193,0.006144016981124878,1.6768326841151877
googlenet,implicit gemm,224,inception4c.branch3.0.conv,512,24,"(1, 1)",0.42507199943065643,0.00011201202869415283,0.8169823576047366
googlenet,implicit gemm,224,inception4c.branch3.1.conv,24,64,"(3, 3)",0.4710559993982315,0.001968011260032654,0.9053629537294507
googlenet,implicit gemm,224,inception4c.branch4.1.conv,512,64,"(1, 1)",0.5698559880256653,0.0005120038986206055,1.0952551314035295
googlenet,implicit gemm,224,inception4d.branch1.conv,512,112,"(1, 1)",0.5635519921779633,0.006656020879745483,1.083138940741984
googlenet,implicit gemm,224,inception4d.branch2.0.conv,512,144,"(1, 1)",0.5637120008468628,0.01075202226638794,1.0834464751355217
googlenet,implicit gemm,224,inception4d.branch2.1.conv,144,288,"(3, 3)",0.9052640199661255,0.002128005027770996,1.7399046144588919
googlenet,implicit gemm,224,inception4d.branch3.0.conv,512,32,"(1, 1)",0.4315520077943802,0.0005760043859481812,0.8294368418271374
googlenet,implicit gemm,224,inception4d.branch3.1.conv,32,64,"(3, 3)",0.47780799865722656,0.0024479925632476807,0.9183402005971526
googlenet,implicit gemm,224,inception4d.branch4.1.conv,512,64,"(1, 1)",0.576911985874176,0.0006240010261535645,1.108816659251168
googlenet,implicit gemm,224,inception4e.branch1.conv,528,256,"(1, 1)",0.8136319816112518,0.002400010824203491,1.5637891356045739
googlenet,implicit gemm,224,inception4e.branch2.0.conv,528,160,"(1, 1)",0.5889280140399933,0.00012800097465515137,1.1319112950613437
googlenet,implicit gemm,224,inception4e.branch2.1.conv,160,320,"(3, 3)",1.116159975528717,0.007167994976043701,2.145243651646961
googlenet,implicit gemm,224,inception4e.branch3.0.conv,528,32,"(1, 1)",0.43059200048446655,0.0015360116958618164,0.8275917213853732
googlenet,implicit gemm,224,inception4e.branch3.1.conv,32,128,"(3, 3)",0.5037599951028824,0.012336000800132751,0.9682195699019295
googlenet,implicit gemm,224,inception4e.branch4.1.conv,528,128,"(1, 1)",0.6016959846019745,0.0006079971790313721,1.1564511534983306
googlenet,implicit gemm,224,inception5a.branch1.conv,832,256,"(1, 1)",0.797760009765625,6.401538848876953e-05,1.5332834306989476
googlenet,implicit gemm,224,inception5a.branch2.0.conv,832,160,"(1, 1)",0.5601280033588409,0.003071993589401245,1.0765580827659105
googlenet,implicit gemm,224,inception5a.branch2.1.conv,160,320,"(3, 3)",0.8960959911346436,0.0072640180587768555,1.7222837929995516
googlenet,implicit gemm,224,inception5a.branch3.0.conv,832,32,"(1, 1)",0.48895999789237976,0.0025599896907806396,0.93977418505001
googlenet,implicit gemm,224,inception5a.branch3.1.conv,32,128,"(3, 3)",0.45158399641513824,0.003072008490562439,0.8679380400072542
googlenet,implicit gemm,224,inception5a.branch4.1.conv,832,128,"(1, 1)",0.5724160075187683,0.002048015594482422,1.1001754525815668
googlenet,implicit gemm,224,inception5b.branch1.conv,832,384,"(1, 1)",0.8234559893608093,0.005151987075805664,1.5826707392461004
googlenet,implicit gemm,224,inception5b.branch2.0.conv,832,192,"(1, 1)",0.5821439921855927,0.0025599896907806396,1.1188725012191858
googlenet,implicit gemm,224,inception5b.branch2.1.conv,192,384,"(3, 3)",1.1468639969825745,0.0049759745597839355,2.2042563456586044
googlenet,implicit gemm,224,inception5b.branch3.0.conv,832,48,"(1, 1)",0.49907198548316956,0.0025919973850250244,0.9592092818643344
googlenet,implicit gemm,224,inception5b.branch3.1.conv,48,128,"(3, 3)",0.4710399955511093,0.001023992896080017,0.9053321945621329
googlenet,implicit gemm,224,inception5b.branch4.1.conv,832,128,"(1, 1)",0.5714400112628937,0.010127991437911987,1.0982996016123054
