model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,implicit gemm,224,conv1.conv,3,64,"(7, 7)",1.718783974647522,0.0015360116958618164,2.3221387778790556
googlenet,implicit gemm,224,conv2.conv,64,64,"(1, 1)",1.1182079911231995,0.004095971584320068,1.5107390900906685
googlenet,implicit gemm,224,conv3.conv,64,192,"(3, 3)",1.9379199743270874,0.0035840272903442383,2.6181993707115936
googlenet,implicit gemm,224,inception3a.branch1.conv,192,64,"(1, 1)",0.8115200102329254,0.0056320130825042725,1.096392631408574
googlenet,implicit gemm,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.8002560138702393,0.006655991077423096,1.0811745684445844
googlenet,implicit gemm,224,inception3a.branch2.1.conv,96,128,"(3, 3)",1.1422719955444336,0.0005120038986206055,1.5432504228944668
googlenet,implicit gemm,224,inception3a.branch3.0.conv,192,16,"(1, 1)",0.6845439970493317,0.0025599896907806396,0.9248434847890445
googlenet,implicit gemm,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.620032012462616,0.009728014469146729,0.8376854804927397
googlenet,implicit gemm,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.7193599939346313,0.013823986053466797,0.9718811449315592
googlenet,implicit gemm,224,inception3b.branch1.conv,256,128,"(1, 1)",0.8837119936943054,0.018432021141052246,1.1939265895559625
googlenet,implicit gemm,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.8847360014915466,0.015359997749328613,1.1953100608065088
googlenet,implicit gemm,224,inception3b.branch2.1.conv,128,192,"(3, 3)",1.291263997554779,0.014336049556732178,1.7445439598167023
googlenet,implicit gemm,224,inception3b.branch3.0.conv,256,32,"(1, 1)",0.9354240000247955,0.018943995237350464,1.2637913642764649
googlenet,implicit gemm,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.7516160011291504,0.013311982154846191,1.0154601672117145
googlenet,implicit gemm,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.8345600068569183,0.002047985792160034,1.1275204929618259
googlenet,implicit gemm,224,inception4a.branch1.conv,480,192,"(1, 1)",1.0644479990005493,0.0035840272903442383,1.4381074131330802
googlenet,implicit gemm,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.9180160164833069,0.0005120038986206055,1.2402725543372104
googlenet,implicit gemm,224,inception4a.branch2.1.conv,96,208,"(3, 3)",1.075711965560913,0.0015360116958618164,1.4533254358330636
googlenet,implicit gemm,224,inception4a.branch3.0.conv,480,16,"(1, 1)",0.589823991060257,0.009215980768203735,0.7968733604496705
googlenet,implicit gemm,224,inception4a.branch3.1.conv,16,48,"(3, 3)",0.5442560017108917,0.0005119740962982178,0.7353093729684393
googlenet,implicit gemm,224,inception4a.branch4.1.conv,480,64,"(1, 1)",0.754175990819931,0.033279985189437866,1.018918805074074
googlenet,implicit gemm,224,inception4b.branch1.conv,512,160,"(1, 1)",0.9574399888515472,0.02048000693321228,1.2935357545791706
googlenet,implicit gemm,224,inception4b.branch2.0.conv,512,112,"(1, 1)",0.8929280042648315,0.001024007797241211,1.2063777502828659
