model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,implicit precomp gemm,224,conv1.conv,3,64,"(7, 7)",0.9713760018348694,0.012751996517181396,1.9983805218234094
googlenet,implicit precomp gemm,224,conv2.conv,64,64,"(1, 1)",0.6599680185317993,0.005407989025115967,1.3577309206415227
googlenet,implicit precomp gemm,224,conv3.conv,64,192,"(3, 3)",1.0984159708023071,0.00507199764251709,2.2597357529574147
googlenet,implicit precomp gemm,224,inception3a.branch1.conv,192,64,"(1, 1)",0.5496959984302521,0.007551997900009155,1.130871849945114
googlenet,implicit precomp gemm,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.5137119889259338,0.0031200051307678223,1.0568431076715714
googlenet,implicit precomp gemm,224,inception3a.branch2.1.conv,96,128,"(3, 3)",0.4423680007457733,0.008928000926971436,0.910069421622995
googlenet,implicit precomp gemm,224,inception3a.branch3.0.conv,192,16,"(1, 1)",0.39451201260089874,0.0006880015134811401,0.8116168405620241
googlenet,implicit precomp gemm,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.2865599989891052,0.00793600082397461,0.5895306443970739
googlenet,implicit precomp gemm,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.5100319981575012,0.004559993743896484,1.049272381342905
googlenet,implicit precomp gemm,224,inception3b.branch1.conv,256,128,"(1, 1)",0.7394559979438782,0.0014719963073730469,1.521258977208852
googlenet,implicit precomp gemm,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.7071520090103149,0.004848003387451172,1.454801022575332
googlenet,implicit precomp gemm,224,inception3b.branch2.1.conv,128,192,"(3, 3)",0.7019039988517761,0.0020639896392822266,1.4440044605238245
googlenet,implicit precomp gemm,224,inception3b.branch3.0.conv,256,32,"(1, 1)",0.5214239954948425,0.00020802021026611328,1.0727087700745643
googlenet,implicit precomp gemm,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.33691200613975525,0.0009759962558746338,0.6931182048623339
googlenet,implicit precomp gemm,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.7108480036258698,0.0019520223140716553,1.4624046731025606
googlenet,implicit precomp gemm,224,inception4a.branch1.conv,480,192,"(1, 1)",0.5752319991588593,0.0002879798412322998,1.1834062407113293
googlenet,implicit precomp gemm,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.5146880149841309,0.0007039904594421387,1.0588510546043848
googlenet,implicit precomp gemm,224,inception4a.branch2.1.conv,96,208,"(3, 3)",0.4046880006790161,0.0036959946155548096,0.8325515726608246
googlenet,implicit precomp gemm,224,inception4a.branch3.0.conv,480,16,"(1, 1)",0.44123199582099915,0.006608009338378906,0.9077323553272701
googlenet,implicit precomp gemm,224,inception4a.branch3.1.conv,16,48,"(3, 3)",0.25992000102996826,0.0027039945125579834,0.5347250357322587
googlenet,implicit precomp gemm,224,inception4a.branch4.1.conv,480,64,"(1, 1)",0.5190240144729614,0.006096005439758301,1.0677713665173287
googlenet,implicit precomp gemm,224,inception4b.branch1.conv,512,160,"(1, 1)",0.5393759906291962,0.0015520155429840088,1.1096408307149297
googlenet,implicit precomp gemm,224,inception4b.branch2.0.conv,512,112,"(1, 1)",0.5059680044651031,0.005488008260726929,1.04091165818281
