model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,implicit precomp gemm,224,conv1.conv,3,64,"(7, 7)",42.619745284318924,41.703489273786545,97.77388186898067
googlenet,implicit precomp gemm,224,conv2.conv,64,64,"(1, 1)",0.5344800055027008,0.01838400959968567,1.2261496301945416
googlenet,implicit precomp gemm,224,conv3.conv,64,192,"(3, 3)",1.1546880006790161,0.05388796329498291,2.648967689055107
googlenet,implicit precomp gemm,224,inception3a.branch1.conv,192,64,"(1, 1)",0.4381919950246811,0.010384008288383484,1.005255476579294
googlenet,implicit precomp gemm,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.39423999190330505,0.01945599913597107,0.9044252643753834
googlenet,implicit precomp gemm,224,inception3a.branch2.1.conv,96,128,"(3, 3)",0.6456319987773895,0.04761597514152527,1.4811432203120245
googlenet,implicit precomp gemm,224,inception3a.branch3.0.conv,192,16,"(1, 1)",0.34252800047397614,0.0076800137758255005,0.7857928767932543
googlenet,implicit precomp gemm,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.20785599946975708,0.004079997539520264,0.47684207876747525
googlenet,implicit precomp gemm,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.3471360057592392,0.01024000346660614,0.7963640935240759
googlenet,implicit precomp gemm,224,inception3b.branch1.conv,256,128,"(1, 1)",0.6789120137691498,0.013312011957168579,1.5574908435250494
googlenet,implicit precomp gemm,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.6754559874534607,0.00448000431060791,1.5495623796998421
googlenet,implicit precomp gemm,224,inception3b.branch2.1.conv,128,192,"(3, 3)",0.7787519991397858,0.0862719714641571,1.7865335764252144
googlenet,implicit precomp gemm,224,inception3b.branch3.0.conv,256,32,"(1, 1)",0.3736959993839264,0.015552014112472534,0.8572953276686524
googlenet,implicit precomp gemm,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.39003199338912964,0.009328007698059082,0.8947717024668093
googlenet,implicit precomp gemm,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.4187519997358322,0.012352004647254944,0.9606582179559585
googlenet,implicit precomp gemm,224,inception4a.branch1.conv,480,192,"(1, 1)",0.6993759870529175,0.03278398513793945,1.6044372082456582
googlenet,implicit precomp gemm,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.4602399915456772,0.02497600018978119,1.0558357461916683
googlenet,implicit precomp gemm,224,inception4a.branch2.1.conv,96,208,"(3, 3)",0.47411200404167175,0.05939200520515442,1.0876595053910791
googlenet,implicit precomp gemm,224,inception4a.branch3.0.conv,480,16,"(1, 1)",0.3001120090484619,0.018352001905441284,0.6884864262894359
googlenet,implicit precomp gemm,224,inception4a.branch3.1.conv,16,48,"(3, 3)",0.25651200115680695,0.010752007365226746,0.5884637257160995
googlenet,implicit precomp gemm,224,inception4a.branch4.1.conv,480,64,"(1, 1)",0.4387199878692627,0.013888001441955566,1.006466744025155
googlenet,implicit precomp gemm,224,inception4b.branch1.conv,512,160,"(1, 1)",0.4903839975595474,0.03268800675868988,1.1249890567850656
googlenet,implicit precomp gemm,224,inception4b.branch2.0.conv,512,112,"(1, 1)",0.4529919922351837,0.027007997035980225,1.0392081238620863
googlenet,implicit precomp gemm,224,inception4b.branch2.1.conv,112,224,"(3, 3)",0.6836320161819458,0.08641600608825684,1.5683189926669876
