model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
googlenet,implicit precomp gemm,224,conv1.conv,3,64,"(7, 7)",1.5928320288658142,0.01075202226638794,2.4757478996307616
googlenet,implicit precomp gemm,224,conv2.conv,64,64,"(1, 1)",0.9036799967288971,0.0046080052852630615,1.4045949687695396
googlenet,implicit precomp gemm,224,conv3.conv,64,192,"(3, 3)",1.525759994983673,0.0020479559898376465,2.371497455140445
googlenet,implicit precomp gemm,224,inception3a.branch1.conv,192,64,"(1, 1)",0.6440959870815277,0.005120009183883667,1.001122063268123
googlenet,implicit precomp gemm,224,inception3a.branch2.0.conv,192,96,"(1, 1)",0.6302720010280609,0.0015359818935394287,0.9796353629656653
googlenet,implicit precomp gemm,224,inception3a.branch2.1.conv,96,128,"(3, 3)",1.0030080080032349,0.0005120038986206055,1.558981062739564
googlenet,implicit precomp gemm,224,inception3a.branch3.0.conv,192,16,"(1, 1)",0.5273599922657013,0.0010239779949188232,0.8196786412756735
googlenet,implicit precomp gemm,224,inception3a.branch3.1.conv,16,32,"(3, 3)",0.40294399857521057,0.0005120038986206055,0.6262981532658761
googlenet,implicit precomp gemm,224,inception3a.branch4.1.conv,192,32,"(1, 1)",0.5811199843883514,0.0056320130825042725,0.9032381033971058
googlenet,implicit precomp gemm,224,inception3b.branch1.conv,256,128,"(1, 1)",0.7321600019931793,0.003071993589401245,1.1380004635008325
googlenet,implicit precomp gemm,224,inception3b.branch2.0.conv,256,128,"(1, 1)",0.7311359941959381,0.017407983541488647,1.1364088423460075
googlenet,implicit precomp gemm,224,inception3b.branch2.1.conv,128,192,"(3, 3)",1.174015998840332,0.0025600194931030273,1.8247797574308586
googlenet,implicit precomp gemm,224,inception3b.branch3.0.conv,256,32,"(1, 1)",0.7203840017318726,0.006655991077423096,1.119696959186105
googlenet,implicit precomp gemm,224,inception3b.branch3.1.conv,32,96,"(3, 3)",0.5703679919242859,0.002048015594482422,0.8865262202372033
googlenet,implicit precomp gemm,224,inception3b.branch4.1.conv,256,64,"(1, 1)",0.6732800006866455,0.0035840272903442383,1.0464829419271953
googlenet,implicit precomp gemm,224,inception4a.branch1.conv,480,192,"(1, 1)",0.8744959831237793,0.008192002773284912,1.3592340901104674
googlenet,implicit precomp gemm,224,inception4a.branch2.0.conv,480,96,"(1, 1)",0.6435839831829071,0.0046080052852630615,1.0003262526907106
googlenet,implicit precomp gemm,224,inception4a.branch2.1.conv,96,208,"(3, 3)",0.6958079934120178,0.013823986053466797,1.0814983294018252
googlenet,implicit precomp gemm,224,inception4a.branch3.0.conv,480,16,"(1, 1)",0.4761599898338318,0.012288004159927368,0.7400981857193836
googlenet,implicit precomp gemm,224,inception4a.branch3.1.conv,16,48,"(3, 3)",0.3333120048046112,0.006655991077423096,0.5180687485323363
googlenet,implicit precomp gemm,224,inception4a.branch4.1.conv,480,64,"(1, 1)",0.5381120145320892,0.017919987440109253,0.8363905707574955
googlenet,implicit precomp gemm,224,inception4b.branch1.conv,512,160,"(1, 1)",0.6927359998226166,0.016895979642868042,1.0767235122592702
googlenet,implicit precomp gemm,224,inception4b.branch2.0.conv,512,112,"(1, 1)",0.6661120057106018,0.005631983280181885,1.0353416864872602
googlenet,implicit precomp gemm,224,inception4b.branch2.1.conv,112,224,"(3, 3)",0.9907200038433075,0.0056320130825042725,1.5398817478474243
googlenet,implicit precomp gemm,224,inception4b.branch3.0.conv,512,24,"(1, 1)",0.5181440114974976,0.00614398717880249,0.8053541898480081
googlenet,implicit precomp gemm,224,inception4b.branch3.1.conv,24,64,"(3, 3)",0.4986879974603653,0.002048000693321228,0.7751135963549733
googlenet,implicit precomp gemm,224,inception4b.branch4.1.conv,512,64,"(1, 1)",0.5437439978122711,0.003071993589401245,0.8451443944651933
googlenet,implicit precomp gemm,224,inception4c.branch1.conv,512,128,"(1, 1)",0.5826559960842133,0.0010239779949188232,0.9056255351293431
googlenet,implicit precomp gemm,224,inception4c.branch2.0.conv,512,128,"(1, 1)",0.5811200141906738,0.006655991077423096,0.9032381497190254
googlenet,implicit precomp gemm,224,inception4c.branch2.1.conv,128,256,"(3, 3)",1.0562559962272644,0.0005119442939758301,1.641744714283584
googlenet,implicit precomp gemm,224,inception4c.branch3.0.conv,512,24,"(1, 1)",0.517632007598877,0.007679998874664307,0.8045583792705957
googlenet,implicit precomp gemm,224,inception4c.branch3.1.conv,24,64,"(3, 3)",0.4981759935617447,0.007679983973503113,0.7743177857775609
googlenet,implicit precomp gemm,224,inception4c.branch4.1.conv,512,64,"(1, 1)",0.5478399991989136,0.004095971584320068,0.8515108327625732
googlenet,implicit precomp gemm,224,inception4d.branch1.conv,512,112,"(1, 1)",0.6763519942760468,0.0035839974880218506,1.0512577590697503
googlenet,implicit precomp gemm,224,inception4d.branch2.0.conv,512,144,"(1, 1)",0.6840319931507111,0.004096001386642456,1.063194825087098
googlenet,implicit precomp gemm,224,inception4d.branch2.1.conv,144,288,"(3, 3)",1.1448320150375366,0.001024007797241211,1.7794189250937058
googlenet,implicit precomp gemm,224,inception4d.branch3.0.conv,512,32,"(1, 1)",0.5678080022335052,0.0056320130825042725,0.8825472136720606
googlenet,implicit precomp gemm,224,inception4d.branch3.1.conv,32,64,"(3, 3)",0.4986880123615265,0.005120009183883667,0.775113619515933
googlenet,implicit precomp gemm,224,inception4d.branch4.1.conv,512,64,"(1, 1)",0.5493760108947754,0.0015360116958618164,0.8538982644948104
googlenet,implicit precomp gemm,224,inception4e.branch1.conv,528,256,"(1, 1)",0.969728022813797,0.004096001386642456,1.5072537921050315
googlenet,implicit precomp gemm,224,inception4e.branch2.0.conv,528,160,"(1, 1)",0.7280640006065369,0.001024007797241211,1.1316340252034525
googlenet,implicit precomp gemm,224,inception4e.branch2.1.conv,160,320,"(3, 3)",1.476095974445343,0.008704006671905518,2.294304384994473
googlenet,implicit precomp gemm,224,inception4e.branch3.0.conv,528,32,"(1, 1)",0.5611520111560822,0.003071993589401245,0.8722017688095379
googlenet,implicit precomp gemm,224,inception4e.branch3.1.conv,32,128,"(3, 3)",0.5309439897537231,0.013823986053466797,0.8252492689956408
googlenet,implicit precomp gemm,224,inception4e.branch4.1.conv,528,128,"(1, 1)",0.5928960144519806,0.011263996362686157,0.9215416540337527
googlenet,implicit precomp gemm,224,inception5a.branch1.conv,832,256,"(1, 1)",0.7326720058917999,0.0035839974880218506,1.138796274078245
googlenet,implicit precomp gemm,224,inception5a.branch2.0.conv,832,160,"(1, 1)",0.6609919965267181,0.0056320130825042725,1.0273836270350554
googlenet,implicit precomp gemm,224,inception5a.branch2.1.conv,160,320,"(3, 3)",1.1688960194587708,0.008704006671905518,1.8168217443005734
googlenet,implicit precomp gemm,224,inception5a.branch3.0.conv,832,32,"(1, 1)",0.4710399955511093,0.005119994282722473,0.7321401494281385
googlenet,implicit precomp gemm,224,inception5a.branch3.1.conv,32,128,"(3, 3)",0.4700159877538681,0.006144002079963684,0.7305485282733136
googlenet,implicit precomp gemm,224,inception5a.branch4.1.conv,832,128,"(1, 1)",0.6118399798870087,0.0046080052852630615,0.9509863674664958
googlenet,implicit precomp gemm,224,inception5b.branch1.conv,832,384,"(1, 1)",1.0941439867019653,0.0025600194931030273,1.7006342337929092
googlenet,implicit precomp gemm,224,inception5b.branch2.0.conv,832,192,"(1, 1)",0.6840319931507111,0.003071993589401245,1.063194825087098
googlenet,implicit precomp gemm,224,inception5b.branch2.1.conv,192,384,"(3, 3)",1.5969280004501343,0.00563204288482666,2.482114291606222
googlenet,implicit precomp gemm,224,inception5b.branch3.0.conv,832,48,"(1, 1)",0.5406719744205475,0.004096001386642456,0.8403695310007185
googlenet,implicit precomp gemm,224,inception5b.branch3.1.conv,48,128,"(3, 3)",0.48998400568962097,0.012800008058547974,0.7615849323437608
googlenet,implicit precomp gemm,224,inception5b.branch4.1.conv,832,128,"(1, 1)",0.6169599890708923,0.005631983280181885,0.9589444269187006
