model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
resnet152,gemm,224,conv1,3,64,"(7, 7)",0.9494079947471619,0.008224010467529297,0.5915381250725217
resnet152,gemm,224,layer1.0.conv1,64,64,"(1, 1)",0.46187201142311096,0.003951996564865112,0.2877739656420964
resnet152,gemm,224,layer1.0.conv2,64,64,"(3, 3)",0.5669759809970856,0.001855999231338501,0.35326004269585626
resnet152,gemm,224,layer1.0.conv3,64,256,"(1, 1)",0.9559680223464966,0.004736006259918213,0.5956254157294408
resnet152,gemm,224,layer1.0.downsample.0,64,256,"(1, 1)",1.013759970664978,0.003679990768432617,0.6316332658231265
resnet152,gemm,224,layer1.1.conv1,256,64,"(1, 1)",0.9093280136585236,0.009968012571334839,0.566565892905434
resnet152,gemm,224,layer1.1.conv2,64,64,"(3, 3)",0.5543679893016815,0.0013760030269622803,0.3454045076575028
resnet152,gemm,224,layer1.1.conv3,64,256,"(1, 1)",0.9402079880237579,0.0010400116443634033,0.5858059690785474
resnet152,gemm,224,layer1.2.conv1,256,64,"(1, 1)",0.895440012216568,0.005935996770858765,0.5579128350215401
resnet152,gemm,224,layer1.2.conv2,64,64,"(3, 3)",0.5503199994564056,0.0033759772777557373,0.34288236719035325
resnet152,gemm,224,layer1.2.conv3,64,256,"(1, 1)",0.912848025560379,0.002736002206802368,0.5687590714463532
resnet152,gemm,224,layer2.0.conv1,256,128,"(1, 1)",1.1402720212936401,0.0019680261611938477,0.7104578614048065
resnet152,gemm,224,layer2.0.conv2,128,128,"(3, 3)",0.7837600111961365,0.014064013957977295,0.48832949595421243
resnet152,gemm,224,layer2.0.conv3,128,512,"(1, 1)",0.7655520141124725,0.02279999852180481,0.4769848216774123
resnet152,gemm,224,layer2.0.downsample.0,256,512,"(1, 1)",1.250544011592865,0.008431971073150635,0.7791639253420396
resnet152,gemm,224,layer2.1.conv1,512,128,"(1, 1)",0.7550399899482727,0.0011839866638183594,0.4704352001246006
resnet152,gemm,224,layer2.1.conv2,128,128,"(3, 3)",0.5299039781093597,0.0036959946155548096,0.3301619613628372
resnet152,gemm,224,layer2.1.conv3,128,512,"(1, 1)",0.7436959743499756,0.007791996002197266,0.4633671980065047
resnet152,gemm,224,layer2.2.conv1,512,128,"(1, 1)",0.770544022321701,0.0007520020008087158,0.4800951422063859
resnet152,gemm,224,layer2.2.conv2,128,128,"(3, 3)",0.5222559869289398,0.003984004259109497,0.32539680414016015
resnet152,gemm,224,layer2.2.conv3,128,512,"(1, 1)",0.7673600018024445,0.029696017503738403,0.4781113064491832
resnet152,gemm,224,layer2.3.conv1,512,128,"(1, 1)",0.7580160200595856,0.00585600733757019,0.4722894453826408
resnet152,gemm,224,layer2.3.conv2,128,128,"(3, 3)",0.531440019607544,0.008015990257263184,0.33111900734612015
resnet152,gemm,224,layer2.3.conv3,128,512,"(1, 1)",0.748447984457016,0.003327995538711548,0.4663279853230186
resnet152,gemm,224,layer2.4.conv1,512,128,"(1, 1)",0.7809120118618011,0.00590398907661438,0.4865550215493607
resnet152,gemm,224,layer2.4.conv2,128,128,"(3, 3)",0.5281279981136322,0.00649598240852356,0.3290554193043635
resnet152,gemm,224,layer2.4.conv3,128,512,"(1, 1)",0.7469120025634766,0.0016959905624389648,0.46537097647700437
resnet152,gemm,224,layer2.5.conv1,512,128,"(1, 1)",0.751120001077652,0.002096027135848999,0.4679928119420051
