model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
resnet152,gemm,224,conv1,3,64,"(7, 7)",0.9272319972515106,0.03840002417564392,0.3649868685008925
resnet152,gemm,224,layer1.0.conv1,64,64,"(1, 1)",0.4321279972791672,0.003072008490562439,0.17009879402997324
resnet152,gemm,224,layer1.0.conv2,64,64,"(3, 3)",0.48793600499629974,0.0025600045919418335,0.19206653245393612
resnet152,gemm,224,layer1.0.conv3,64,256,"(1, 1)",1.1800959706306458,0.004671990871429443,0.464521860901839
resnet152,gemm,224,layer1.0.downsample.0,64,256,"(1, 1)",1.039359986782074,0.009216010570526123,0.4091238740090838
resnet152,gemm,224,layer1.1.conv1,256,64,"(1, 1)",0.8541119992733002,0.0103360116481781,0.3362046013164485
resnet152,gemm,224,layer1.1.conv2,64,64,"(3, 3)",0.48531199991703033,0.0009600073099136353,0.1910336438137125
resnet152,gemm,224,layer1.1.conv3,64,256,"(1, 1)",0.8310240209102631,0.001744002103805542,0.327116467011636
resnet152,gemm,224,layer1.2.conv1,256,64,"(1, 1)",0.8176959753036499,0.0015040040016174316,0.32187014069458236
resnet152,gemm,224,layer1.2.conv2,64,64,"(3, 3)",0.48339200019836426,0.00016000866889953613,0.19027787321162395
resnet152,gemm,224,layer1.2.conv3,64,256,"(1, 1)",0.9892159998416901,0.004063993692398071,0.38938566736633357
resnet152,gemm,224,layer2.0.conv1,256,128,"(1, 1)",1.0940319895744324,0.0016480088233947754,0.4306444461560805
resnet152,gemm,224,layer2.0.conv2,128,128,"(3, 3)",0.6881280243396759,0.004096001386642456,0.27086823305917257
resnet152,gemm,224,layer2.0.conv3,128,512,"(1, 1)",0.7110719978809357,0.0024640262126922607,0.2798996826625238
resnet152,gemm,224,layer2.0.downsample.0,256,512,"(1, 1)",1.0991520285606384,0.0014240145683288574,0.4326598500697905
resnet152,gemm,224,layer2.1.conv1,512,128,"(1, 1)",1.2963840067386627,0.6164480149745941,0.5102963879554725
resnet152,gemm,224,layer2.1.conv2,128,128,"(3, 3)",0.44441598653793335,0.0008639991283416748,0.17493572236400823
resnet152,gemm,224,layer2.1.conv3,128,512,"(1, 1)",0.709119975566864,0.0005120038986206055,0.27913130698764554
resnet152,gemm,224,layer2.2.conv1,512,128,"(1, 1)",0.7761920094490051,0.07065600156784058,0.30553291055955956
resnet152,gemm,224,layer2.2.conv2,128,128,"(3, 3)",0.44302399456501007,0.0006559938192367554,0.17438779175690922
resnet152,gemm,224,layer2.2.conv3,128,512,"(1, 1)",0.739439994096756,0.017519980669021606,0.2910661934550207
