model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
resnet152,implicit gemm,224,conv1,3,64,"(7, 7)",0.8918720185756683,0.04201599955558777,0.47814938716523203
resnet152,implicit gemm,224,layer1.0.conv1,64,64,"(1, 1)",0.582144021987915,0.0005120038986206055,0.3120983746075547
resnet152,implicit gemm,224,layer1.0.conv2,64,64,"(3, 3)",0.8479039967060089,0.002208024263381958,0.4545773025230659
resnet152,implicit gemm,224,layer1.0.conv3,64,256,"(1, 1)",1.1035040020942688,0.00446397066116333,0.5916092795224177
resnet152,implicit gemm,224,layer1.0.downsample.0,64,256,"(1, 1)",1.1155359745025635,0.005519986152648926,0.5980598465472727
resnet152,implicit gemm,224,layer1.1.conv1,256,64,"(1, 1)",1.0705440044403076,0.004559993743896484,0.5739388039934538
resnet152,implicit gemm,224,layer1.1.conv2,64,64,"(3, 3)",0.8459360003471375,0.0039520263671875,0.45352222260875197
resnet152,implicit gemm,224,layer1.1.conv3,64,256,"(1, 1)",1.0911359786987305,0.0035200119018554688,0.5849785492339328
resnet152,implicit gemm,224,layer1.2.conv1,256,64,"(1, 1)",1.0850720405578613,0.0016800165176391602,0.5817275577850756
resnet152,implicit gemm,224,layer1.2.conv2,64,64,"(3, 3)",0.8360960185527802,0.0035839974880218506,0.4482468230371824
resnet152,implicit gemm,224,layer1.2.conv3,64,256,"(1, 1)",1.0957599878311157,0.0011039972305297852,0.5874575676209289
resnet152,implicit gemm,224,layer2.0.conv1,256,128,"(1, 1)",1.3009920120239258,0.00563204288482666,0.6974863212432139
resnet152,implicit gemm,224,layer2.0.conv2,128,128,"(3, 3)",0.9901439845561981,0.0021120011806488037,0.5308348390355063
resnet152,implicit gemm,224,layer2.0.conv3,128,512,"(1, 1)",0.9891360104084015,0.006191998720169067,0.5302944451101346
resnet152,implicit gemm,224,layer2.0.downsample.0,256,512,"(1, 1)",1.1008319854736328,0.005151987075805664,0.5901767610858681
resnet152,implicit gemm,224,layer2.1.conv1,512,128,"(1, 1)",1.0399680137634277,0.015967965126037598,0.5575464395065982
resnet152,implicit gemm,224,layer2.1.conv2,128,128,"(3, 3)",0.8560640215873718,0.0,0.4589520455523492
resnet152,implicit gemm,224,layer2.1.conv3,128,512,"(1, 1)",1.02497598528862,0.028687983751296997,0.5495089306731659
resnet152,implicit gemm,224,layer2.2.conv1,512,128,"(1, 1)",1.0398239493370056,0.0013599991798400879,0.5574692038542048
resnet152,implicit gemm,224,layer2.2.conv2,128,128,"(3, 3)",0.8550400137901306,0.00614398717880249,0.45840305568552364
resnet152,implicit gemm,224,layer2.2.conv3,128,512,"(1, 1)",1.0183999836444855,0.03961595892906189,0.5459834123357233
resnet152,implicit gemm,224,layer2.3.conv1,512,128,"(1, 1)",1.0485600233078003,0.0010080337524414062,0.5621527776499571
resnet152,implicit gemm,224,layer2.3.conv2,128,128,"(3, 3)",0.8544000089168549,0.0003840029239654541,0.45805993701875763
resnet152,implicit gemm,224,layer2.3.conv3,128,512,"(1, 1)",1.0188799798488617,0.02457597851753235,0.5462407473414012
resnet152,implicit gemm,224,layer2.4.conv1,512,128,"(1, 1)",1.037376046180725,0.0030080080032348633,0.556156836866972
resnet152,implicit gemm,224,layer2.4.conv2,128,128,"(3, 3)",0.8663359880447388,0.003040015697479248,0.46445904023799434
resnet152,implicit gemm,224,layer2.4.conv3,128,512,"(1, 1)",1.0326879620552063,0.04046398401260376,0.5536434666693335
resnet152,implicit gemm,224,layer2.5.conv1,512,128,"(1, 1)",1.0419840216636658,0.005695998668670654,0.5586272593125146
resnet152,implicit gemm,224,layer2.5.conv2,128,128,"(3, 3)",0.8478400111198425,0.002016007900238037,0.4545429986451825
resnet152,implicit gemm,224,layer2.5.conv3,128,512,"(1, 1)",1.0230079889297485,0.02153599262237549,0.548453850758852
resnet152,implicit gemm,224,layer2.6.conv1,512,128,"(1, 1)",1.0455040335655212,0.004064023494720459,0.5605144039909342
resnet152,implicit gemm,224,layer2.6.conv2,128,128,"(3, 3)",0.8535040020942688,0.0015360116958618164,0.4575795708852853
resnet152,implicit gemm,224,layer2.6.conv3,128,512,"(1, 1)",1.02566397190094,0.03519999980926514,0.5498777732539478
