model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
resnet152,implicit gemm,224,conv1,3,64,"(7, 7)",1.7976319789886475,0.012799978256225586,0.6974226850430251
resnet152,implicit gemm,224,layer1.0.conv1,64,64,"(1, 1)",1.095680058002472,0.023552000522613525,0.4250881920948555
resnet152,implicit gemm,224,layer1.0.conv2,64,64,"(3, 3)",1.2206079959869385,0.010239958763122559,0.47355616494157426
resnet152,implicit gemm,224,layer1.0.conv3,64,256,"(1, 1)",1.7208319902420044,0.00563204288482666,0.6676267896712192
resnet152,implicit gemm,224,layer1.0.downsample.0,64,256,"(1, 1)",1.6721920371055603,0.021503984928131104,0.6487560713521834
resnet152,implicit gemm,224,layer1.1.conv1,256,64,"(1, 1)",1.8744319677352905,0.047616004943847656,0.7272185804148308
resnet152,implicit gemm,224,layer1.1.conv2,64,64,"(3, 3)",1.2165119647979736,0.001024007797241211,0.47196703818859176
resnet152,implicit gemm,224,layer1.1.conv3,64,256,"(1, 1)",1.7310720086097717,0.013824045658111572,0.6715995834290139
resnet152,implicit gemm,224,layer1.2.conv1,256,64,"(1, 1)",1.866752028465271,0.07577598094940186,0.7242390140023119
resnet152,implicit gemm,224,layer1.2.conv2,64,64,"(3, 3)",1.2072960138320923,0.003072023391723633,0.46839154924370446
resnet152,implicit gemm,224,layer1.2.conv3,64,256,"(1, 1)",1.627135992050171,0.050176024436950684,0.6312757926926839
resnet152,implicit gemm,224,layer2.0.conv1,256,128,"(1, 1)",2.1601279973983765,0.009728074073791504,0.8380593389475425
resnet152,implicit gemm,224,layer2.0.conv2,128,128,"(3, 3)",1.701375961303711,0.014847993850708008,0.6600784838438756
resnet152,implicit gemm,224,layer2.0.conv3,128,512,"(1, 1)",1.3173760175704956,0.03225600719451904,0.5110990069848467
resnet152,implicit gemm,224,layer2.0.downsample.0,256,512,"(1, 1)",2.0085760354995728,0.006656050682067871,0.7792621115804221
resnet152,implicit gemm,224,layer2.1.conv1,512,128,"(1, 1)",1.3184000253677368,0.0005120038986206055,0.5114962886730923
resnet152,implicit gemm,224,layer2.1.conv2,128,128,"(3, 3)",1.174015998840332,0.012799978256225586,0.455479986874368
resnet152,implicit gemm,224,layer2.1.conv3,128,512,"(1, 1)",1.2805119752883911,0.0281599760055542,0.49679695870665047
resnet152,implicit gemm,224,layer2.2.conv1,512,128,"(1, 1)",1.3742080330848694,0.08806401491165161,0.5331479788098475
resnet152,implicit gemm,224,layer2.2.conv2,128,128,"(3, 3)",1.1520000100135803,0.009216010570526123,0.4469384999510719
resnet152,implicit gemm,224,layer2.2.conv3,128,512,"(1, 1)",1.2876800298690796,0.01792001724243164,0.49957793052437
resnet152,implicit gemm,224,layer2.3.conv1,512,128,"(1, 1)",1.2631040215492249,0.02406400442123413,0.49004323938045974
resnet152,implicit gemm,224,layer2.3.conv2,128,128,"(3, 3)",1.1438080072402954,0.010239958763122559,0.4437602695697685
resnet152,implicit gemm,224,layer2.3.conv3,128,512,"(1, 1)",1.2610560059547424,0.03225594758987427,0.48924867600396843
resnet152,implicit gemm,224,layer2.4.conv1,512,128,"(1, 1)",1.278976023197174,0.03686398267745972,0.4962010592989437
resnet152,implicit gemm,224,layer2.4.conv2,128,128,"(3, 3)",1.145855963230133,0.009216010570526123,0.4445548098215981
resnet152,implicit gemm,224,layer2.4.conv3,128,512,"(1, 1)",1.2554239630699158,0.025600016117095947,0.48706362671861747
resnet152,implicit gemm,224,layer2.5.conv1,512,128,"(1, 1)",1.2784639596939087,0.047616004943847656,0.4960023953301592
resnet152,implicit gemm,224,layer2.5.conv2,128,128,"(3, 3)",1.13510400056839,0.003583967685699463,0.4403833983443423
resnet152,implicit gemm,224,layer2.5.conv3,128,512,"(1, 1)",1.2431360483169556,0.030719995498657227,0.4822963158336549
resnet152,implicit gemm,224,layer2.6.conv1,512,128,"(1, 1)",1.2774400115013123,0.04352003335952759,0.49560513676657525
resnet152,implicit gemm,224,layer2.6.conv2,128,128,"(3, 3)",1.144320011138916,0.0025600194931030273,0.44395891041389135
resnet152,implicit gemm,224,layer2.6.conv3,128,512,"(1, 1)",1.283072054386139,0.007167994976043701,0.49779018605192626
resnet152,implicit gemm,224,layer2.7.conv1,512,128,"(1, 1)",1.2938239574432373,0.014847993850708008,0.5019615744045204
resnet152,implicit gemm,224,layer2.7.conv2,128,128,"(3, 3)",1.1386880278587341,0.00614398717880249,0.4417738842532021
resnet152,implicit gemm,224,layer2.7.conv3,128,512,"(1, 1)",1.2625920176506042,0.021503984928131104,0.48984459853633694
resnet152,implicit gemm,224,layer3.0.conv1,512,256,"(1, 1)",1.90310400724411,0.04863995313644409,0.7383423983117237
resnet152,implicit gemm,224,layer3.0.conv2,256,256,"(3, 3)",1.865727961063385,0.009216010570526123,0.7238417091894046
resnet152,implicit gemm,224,layer3.0.conv3,256,1024,"(1, 1)",0.9881600141525269,0.014335989952087402,0.3833739154496657
resnet152,implicit gemm,224,layer3.0.downsample.0,512,1024,"(1, 1)",2.103295922279358,0.01228797435760498,0.8160103439978796
resnet152,implicit gemm,224,layer3.1.conv1,1024,256,"(1, 1)",1.3818880319595337,0.034304022789001465,0.5361275683470281
resnet152,implicit gemm,224,layer3.1.conv2,256,256,"(3, 3)",1.7290239930152893,0.016895949840545654,0.6708050200525226
resnet152,implicit gemm,224,layer3.1.conv3,256,1024,"(1, 1)",0.9871359765529633,0.02764800190925598,0.3829766221990892
resnet152,implicit gemm,224,layer3.2.conv1,1024,256,"(1, 1)",1.3829119801521301,0.03839999437332153,0.5365248269106121
resnet152,implicit gemm,224,layer3.2.conv2,256,256,"(3, 3)",1.71315199136734,0.007167994976043701,0.6646472001340387
resnet152,implicit gemm,224,layer3.2.conv3,256,1024,"(1, 1)",1.0147840082645416,0.02048000693321228,0.39370315840773623
resnet152,implicit gemm,224,layer3.3.conv1,1024,256,"(1, 1)",1.4172159433364868,0.062463998794555664,0.5498336478435324
