model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
resnet152,implicit precomp gemm,224,conv1,3,64,"(7, 7)",1.264639973640442,0.38707196712493896,0.7767250941520728
resnet152,implicit precomp gemm,224,layer1.0.conv1,64,64,"(1, 1)",0.503248006105423,0.005679994821548462,0.30908824888625
resnet152,implicit precomp gemm,224,layer1.0.conv2,64,64,"(3, 3)",0.7531519830226898,0.0506879985332489,0.46257595609613555
resnet152,implicit precomp gemm,224,layer1.0.conv3,64,256,"(1, 1)",0.8739999830722809,0.007663995027542114,0.5367991944668182
resnet152,implicit precomp gemm,224,layer1.0.downsample.0,64,256,"(1, 1)",1.017199993133545,0.12148797512054443,0.6247507408482208
resnet152,implicit precomp gemm,224,layer1.1.conv1,256,64,"(1, 1)",0.9816479980945587,0.00651201605796814,0.6029151771545795
resnet152,implicit precomp gemm,224,layer1.1.conv2,64,64,"(3, 3)",0.7075039744377136,0.021456003189086914,0.43453955482379925
resnet152,implicit precomp gemm,224,layer1.1.conv3,64,256,"(1, 1)",0.9739519953727722,0.04185599088668823,0.5981883943837751
resnet152,implicit precomp gemm,224,layer1.2.conv1,256,64,"(1, 1)",0.9840960204601288,0.019423991441726685,0.6044187200142207
resnet152,implicit precomp gemm,224,layer1.2.conv2,64,64,"(3, 3)",0.6917119920253754,0.026111990213394165,0.4248403287343678
resnet152,implicit precomp gemm,224,layer1.2.conv3,64,256,"(1, 1)",0.8958719968795776,0.059423983097076416,0.5502326951767982
resnet152,implicit precomp gemm,224,layer2.0.conv1,256,128,"(1, 1)",1.179680049419403,0.01737600564956665,0.7245438358372842
resnet152,implicit precomp gemm,224,layer2.0.conv2,128,128,"(3, 3)",0.899071991443634,0.0,0.5521980893845252
resnet152,implicit precomp gemm,224,layer2.0.conv3,128,512,"(1, 1)",0.9092320203781128,0.010320007801055908,0.5584382443655542
resnet152,implicit precomp gemm,224,layer2.0.downsample.0,256,512,"(1, 1)",1.0434079766273499,0.013264000415802002,0.6408473366154437
resnet152,implicit precomp gemm,224,layer2.1.conv1,512,128,"(1, 1)",0.9126560091972351,0.004592001438140869,0.5605412128730675
resnet152,implicit precomp gemm,224,layer2.1.conv2,128,128,"(3, 3)",0.6462879776954651,0.004079997539520264,0.3969415017618179
resnet152,implicit precomp gemm,224,layer2.1.conv3,128,512,"(1, 1)",0.9225599765777588,0.029760003089904785,0.566624098244761
resnet152,implicit precomp gemm,224,layer2.2.conv1,512,128,"(1, 1)",0.9080640077590942,0.001024007797241211,0.5577208665106802
resnet152,implicit precomp gemm,224,layer2.2.conv2,128,128,"(3, 3)",0.63646399974823,0.0005599856376647949,0.3909077448388507
resnet152,implicit precomp gemm,224,layer2.2.conv3,128,512,"(1, 1)",0.9082399904727936,0.02561601996421814,0.5578289527587164
resnet152,implicit precomp gemm,224,layer2.3.conv1,512,128,"(1, 1)",0.912880003452301,0.011792004108428955,0.560678787172854
resnet152,implicit precomp gemm,224,layer2.3.conv2,128,128,"(3, 3)",0.638480007648468,0.004592001438140869,0.3921459501453113
resnet152,implicit precomp gemm,224,layer2.3.conv3,128,512,"(1, 1)",0.9810240268707275,0.026592016220092773,0.6025319423069705
resnet152,implicit precomp gemm,224,layer2.4.conv1,512,128,"(1, 1)",0.9063039720058441,0.006080001592636108,0.5566398759009821
resnet152,implicit precomp gemm,224,layer2.4.conv2,128,128,"(3, 3)",0.6405120193958282,0.0035839974880218506,0.39339398480235527
resnet152,implicit precomp gemm,224,layer2.4.conv3,128,512,"(1, 1)",20.655215978622437,19.71723198890686,12.686159626556549
resnet152,implicit precomp gemm,224,layer2.5.conv1,512,128,"(1, 1)",0.9154559969902039,0.017408013343811035,0.5622609282287808
resnet152,implicit precomp gemm,224,layer2.5.conv2,128,128,"(3, 3)",0.6440959870815277,0.002047985792160034,0.3955952102073213
resnet152,implicit precomp gemm,224,layer2.5.conv3,128,512,"(1, 1)",0.9393920004367828,0.00041601061820983887,0.5769621039927808
resnet152,implicit precomp gemm,224,layer2.6.conv1,512,128,"(1, 1)",0.9031680226325989,0.0,0.5547138173997801
resnet152,implicit precomp gemm,224,layer2.6.conv2,128,128,"(3, 3)",0.636927992105484,0.004096001386642456,0.39119272278900724
resnet152,implicit precomp gemm,224,layer2.6.conv3,128,512,"(1, 1)",0.9277440011501312,0.0010239779949188232,0.5698080573619726
resnet152,implicit precomp gemm,224,layer2.7.conv1,512,128,"(1, 1)",0.9145120084285736,0.004272013902664185,0.5616811429778844
resnet152,implicit precomp gemm,224,layer2.7.conv2,128,128,"(3, 3)",0.6307840049266815,0.0010239779949188232,0.3874191673745068
resnet152,implicit precomp gemm,224,layer2.7.conv3,128,512,"(1, 1)",0.9328959882259369,0.015264004468917847,0.5729723394738261
resnet152,implicit precomp gemm,224,layer3.0.conv1,512,256,"(1, 1)",1.0153280198574066,0.0209600031375885,0.6236009996970114
resnet152,implicit precomp gemm,224,layer3.0.conv2,256,256,"(3, 3)",0.9835519790649414,0.007679998874664307,0.6040845770069558
resnet152,implicit precomp gemm,224,layer3.0.conv3,256,1024,"(1, 1)",0.7839359939098358,0.012864023447036743,0.48148308717935334
resnet152,implicit precomp gemm,224,layer3.0.downsample.0,512,1024,"(1, 1)",1.2443040013313293,0.018351972103118896,0.7642350097520044
resnet152,implicit precomp gemm,224,layer3.1.conv1,1024,256,"(1, 1)",0.7490559816360474,0.006655991077423096,0.4600602463850716
resnet152,implicit precomp gemm,224,layer3.1.conv2,256,256,"(3, 3)",0.9513280093669891,0.012255996465682983,0.5842930423257093
resnet152,implicit precomp gemm,224,layer3.1.conv3,256,1024,"(1, 1)",0.7895840108394623,0.012367993593215942,0.48495202424672135
resnet152,implicit precomp gemm,224,layer3.2.conv1,1024,256,"(1, 1)",0.7373600006103516,0.004176020622253418,0.4528767300067041
resnet152,implicit precomp gemm,224,layer3.2.conv2,256,256,"(3, 3)",0.9447200000286102,0.003663986921310425,0.5802344906568615
resnet152,implicit precomp gemm,224,layer3.2.conv3,256,1024,"(1, 1)",0.796783983707428,0.025712013244628906,0.4893741520620113
resnet152,implicit precomp gemm,224,layer3.3.conv1,1024,256,"(1, 1)",0.7337439954280853,0.002639979124069214,0.4506558275963801
resnet152,implicit precomp gemm,224,layer3.3.conv2,256,256,"(3, 3)",0.9414720237255096,0.0006079971790313721,0.5782396267015752
resnet152,implicit precomp gemm,224,layer3.3.conv3,256,1024,"(1, 1)",0.783376008272171,1.6003847122192383e-05,0.48113915142988706
resnet152,implicit precomp gemm,224,layer3.4.conv1,1024,256,"(1, 1)",0.7407839894294739,0.0005919933319091797,0.45497969851421743
resnet152,implicit precomp gemm,224,layer3.4.conv2,256,256,"(3, 3)",0.9446240067481995,0.002575993537902832,0.5801755328575517
resnet152,implicit precomp gemm,224,layer3.4.conv3,256,1024,"(1, 1)",0.7935999929904938,0.002047985792160034,0.48741858720486797
resnet152,implicit precomp gemm,224,layer3.5.conv1,1024,256,"(1, 1)",0.7316480278968811,0.007679998874664307,0.44936851214538426
resnet152,implicit precomp gemm,224,layer3.5.conv2,256,256,"(3, 3)",0.941103994846344,0.009199976921081543,0.5780135882465375
resnet152,implicit precomp gemm,224,layer3.5.conv3,256,1024,"(1, 1)",0.7970719933509827,0.0055519938468933105,0.48955104376413167
resnet152,implicit precomp gemm,224,layer3.6.conv1,1024,256,"(1, 1)",0.7311360239982605,0.007167994976043701,0.44905404614347744
resnet152,implicit precomp gemm,224,layer3.6.conv2,256,256,"(3, 3)",0.9440480172634125,0.00196799635887146,0.5798217677575019
resnet152,implicit precomp gemm,224,layer3.6.conv3,256,1024,"(1, 1)",0.7864319980144501,0.011263996362686157,0.48301609978655374
