model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
resnet152,implicit precomp gemm,224,conv1,3,64,"(7, 7)",1.7029120326042175,0.009216010570526123,0.7272313977890745
resnet152,implicit precomp gemm,224,layer1.0.conv1,64,64,"(1, 1)",0.9016319811344147,0.010751992464065552,0.38504342759794585
resnet152,implicit precomp gemm,224,layer1.0.conv2,64,64,"(3, 3)",0.8622080087661743,0.00614398717880249,0.3682073550452677
resnet152,implicit precomp gemm,224,layer1.0.conv3,64,256,"(1, 1)",1.6261120438575745,0.08806401491165161,0.6944338356736701
resnet152,implicit precomp gemm,224,layer1.0.downsample.0,64,256,"(1, 1)",1.6537599563598633,0.04607999324798584,0.7062409223992488
resnet152,implicit precomp gemm,224,layer1.1.conv1,256,64,"(1, 1)",1.7315839529037476,0.06143999099731445,0.7394757887367603
resnet152,implicit precomp gemm,224,layer1.1.conv2,64,64,"(3, 3)",0.8729600012302399,0.019968003034591675,0.3727990111959981
resnet152,implicit precomp gemm,224,layer1.1.conv3,64,256,"(1, 1)",1.6020479798316956,0.028160035610198975,0.6841572373626797
resnet152,implicit precomp gemm,224,layer1.2.conv1,256,64,"(1, 1)",1.6624639630317688,0.026112020015716553,0.7099579828328962
resnet152,implicit precomp gemm,224,layer1.2.conv2,64,64,"(3, 3)",0.8616960048675537,0.0005120038986206055,0.3679887029342142
resnet152,implicit precomp gemm,224,layer1.2.conv3,64,256,"(1, 1)",1.5436800122261047,0.040448009967803955,0.6592311003366772
resnet152,implicit precomp gemm,224,layer2.0.conv1,256,128,"(1, 1)",1.9701760411262512,0.025600016117095947,0.8413669343140915
resnet152,implicit precomp gemm,224,layer2.0.conv2,128,128,"(3, 3)",1.5856640338897705,0.013823986053466797,0.6771604461717539
resnet152,implicit precomp gemm,224,layer2.0.conv3,128,512,"(1, 1)",1.2016639709472656,0.046591997146606445,0.5131725846862077
resnet152,implicit precomp gemm,224,layer2.0.downsample.0,256,512,"(1, 1)",1.9968000650405884,0.051200032234191895,0.8527367677260875
resnet152,implicit precomp gemm,224,layer2.1.conv1,512,128,"(1, 1)",1.2011520266532898,0.008192002773284912,0.5129539580294162
resnet152,implicit precomp gemm,224,layer2.1.conv2,128,128,"(3, 3)",1.0434560179710388,0.009216010570526123,0.44560961691017936
resnet152,implicit precomp gemm,224,layer2.1.conv3,128,512,"(1, 1)",1.171455979347229,0.003072023391723633,0.5002722119510994
resnet152,implicit precomp gemm,224,layer2.2.conv1,512,128,"(1, 1)",1.186303973197937,0.0025600194931030273,0.5066130722631268
resnet152,implicit precomp gemm,224,layer2.2.conv2,128,128,"(3, 3)",1.039359986782074,0.0030719637870788574,0.4438604000217514
resnet152,implicit precomp gemm,224,layer2.2.conv3,128,512,"(1, 1)",1.1735040545463562,0.008192002773284912,0.5011468458495755
resnet152,implicit precomp gemm,224,layer2.3.conv1,512,128,"(1, 1)",1.1622399687767029,0.005119979381561279,0.49633649940639846
resnet152,implicit precomp gemm,224,layer2.3.conv2,128,128,"(3, 3)",1.0342400074005127,0.003072023391723633,0.4416739043654784
resnet152,implicit precomp gemm,224,layer2.3.conv3,128,512,"(1, 1)",1.1980800032615662,0.024576008319854736,0.5116420453630952
resnet152,implicit precomp gemm,224,layer2.4.conv1,512,128,"(1, 1)",1.167360007762909,0.0020479559898376465,0.4985230205169335
resnet152,implicit precomp gemm,224,layer2.4.conv2,128,128,"(3, 3)",1.0321919918060303,0.003072023391723633,0.44079929592126443
resnet152,implicit precomp gemm,224,layer2.4.conv3,128,512,"(1, 1)",1.1729919910430908,0.0373760461807251,0.5009281682842599
