model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
resnet50,gemm,224,conv1,3,64,"(7, 7)",1.8283519744873047,0.012799978256225586,2.0160220441387526
resnet50,gemm,224,layer1.0.conv1,64,64,"(1, 1)",0.9758719801902771,0.007167994976043701,1.0760397624601878
resnet50,gemm,224,layer1.0.conv2,64,64,"(3, 3)",1.0864640474319458,0.014335989952087402,1.1979834847725173
resnet50,gemm,224,layer1.0.conv3,64,256,"(1, 1)",1.4955520033836365,0.040448009967803955,1.6490620236416742
resnet50,gemm,224,layer1.0.downsample.0,64,256,"(1, 1)",1.5528960227966309,0.07423996925354004,1.7122920848384713
resnet50,gemm,224,layer1.1.conv1,256,64,"(1, 1)",1.8406400084495544,0.029184043407440186,2.029571375828001
resnet50,gemm,224,layer1.1.conv2,64,64,"(3, 3)",1.0557439923286438,0.004095971584320068,1.1641101884107592
resnet50,gemm,224,layer1.1.conv3,64,256,"(1, 1)",1.5083520412445068,0.013311982154846191,1.663175913556422
resnet50,gemm,224,layer1.2.conv1,256,64,"(1, 1)",1.7919999957084656,0.00614398717880249,1.9759387387419596
resnet50,gemm,224,layer1.2.conv2,64,64,"(3, 3)",1.0449920296669006,0.004607975482940674,1.1522545971207345
resnet50,gemm,224,layer1.2.conv3,64,256,"(1, 1)",1.4197759628295898,0.01689600944519043,1.5655079977723676
resnet50,gemm,224,layer2.0.conv1,256,128,"(1, 1)",2.128383994102478,0.0281599760055542,2.346850666817531
resnet50,gemm,224,layer2.0.conv2,128,128,"(3, 3)",1.4346239566802979,0.001024007797241211,1.581880054866384
resnet50,gemm,224,layer2.0.conv3,128,512,"(1, 1)",1.083903968334198,0.026112020015716553,1.1951606279222955
resnet50,gemm,224,layer2.0.downsample.0,256,512,"(1, 1)",2.0479999780654907,0.07167994976043701,2.2582156826414606
resnet50,gemm,224,layer2.1.conv1,512,128,"(1, 1)",1.1535359621047974,0.0005120038986206055,1.271939955085614
