model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
resnet50,guess,224,conv1,3,64,"(7, 7)",0.9704639911651611,0.00166398286819458,1.361804568563107
resnet50,guess,224,layer1.0.conv1,64,64,"(1, 1)",0.7901760041713715,0.024224013090133667,1.108815270062278
resnet50,guess,224,layer1.0.conv2,64,64,"(3, 3)",0.884880006313324,0.014768004417419434,1.2417087560156095
resnet50,guess,224,layer1.0.conv3,64,256,"(1, 1)",1.3803359866142273,0.055535972118377686,1.9369578571034365
resnet50,guess,224,layer1.0.downsample.0,64,256,"(1, 1)",1.4481760263442993,0.0533599853515625,2.032154460869224
resnet50,guess,224,layer1.1.conv1,256,64,"(1, 1)",1.153760015964508,0.010304033756256104,1.6190148991303606
resnet50,guess,224,layer1.1.conv2,64,64,"(3, 3)",0.8675200045108795,0.00364801287651062,1.2173483160816674
resnet50,guess,224,layer1.1.conv3,64,256,"(1, 1)",1.3332160115242004,0.0032959580421447754,1.8708367048171608
resnet50,guess,224,layer1.2.conv1,256,64,"(1, 1)",1.123520016670227,0.008095979690551758,1.5765805898028662
resnet50,guess,224,layer1.2.conv2,64,64,"(3, 3)",0.851936012506485,0.020927995443344116,1.1954800636774174
resnet50,guess,224,layer1.2.conv3,64,256,"(1, 1)",1.3038880228996277,0.0002719759941101074,1.8296821753762915
resnet50,guess,224,layer2.0.conv1,256,128,"(1, 1)",1.2723680138587952,0.010608017444610596,1.7854516910886464
resnet50,guess,224,layer2.0.conv2,128,128,"(3, 3)",0.9716640114784241,0.002608001232147217,1.3634884982708009
resnet50,guess,224,layer2.0.conv3,128,512,"(1, 1)",1.1121119856834412,0.004175961017608643,1.56057225888328
resnet50,guess,224,layer2.0.downsample.0,256,512,"(1, 1)",1.3012799620628357,0.007008016109466553,1.826022411392293
resnet50,guess,224,layer2.1.conv1,512,128,"(1, 1)",1.0889599919319153,0.006496012210845947,1.528084200439897
resnet50,guess,224,layer2.1.conv2,128,128,"(3, 3)",0.8123520016670227,9.60230827331543e-05,1.139933760781098
resnet50,guess,224,layer2.1.conv3,128,512,"(1, 1)",1.1340319514274597,0.005840003490447998,1.5913314727899308
resnet50,guess,224,layer2.2.conv1,512,128,"(1, 1)",1.0715839862823486,0.013087987899780273,1.5037013030914357
resnet50,guess,224,layer2.2.conv2,128,128,"(3, 3)",0.823775976896286,0.00758400559425354,1.1559644654749262
resnet50,guess,224,layer2.2.conv3,128,512,"(1, 1)",1.1466400027275085,0.031120002269744873,1.609023733417211
resnet50,guess,224,layer2.3.conv1,512,128,"(1, 1)",1.0831040143966675,0.01123201847076416,1.5198667940925181
resnet50,guess,224,layer2.3.conv2,128,128,"(3, 3)",0.8079679906368256,0.0007040202617645264,1.1337818929076844
resnet50,guess,224,layer2.3.conv3,128,512,"(1, 1)",1.1111199855804443,0.005360007286071777,1.5591802337441976
resnet50,guess,224,layer3.0.conv1,512,256,"(1, 1)",1.1423680186271667,0.00035196542739868164,1.6030290674454322
resnet50,guess,224,layer3.0.conv2,256,256,"(3, 3)",1.0150880217552185,0.004239976406097412,1.424423284227435
resnet50,guess,224,layer3.0.conv3,256,1024,"(1, 1)",1.0396959781646729,0.009168028831481934,1.4589544237302643
resnet50,guess,224,layer3.0.downsample.0,512,1024,"(1, 1)",1.214672029018402,0.002384006977081299,1.704489742516952
resnet50,guess,224,layer3.1.conv1,1024,256,"(1, 1)",1.0110719799995422,0.005536019802093506,1.418787769607409
resnet50,guess,224,layer3.1.conv2,256,256,"(3, 3)",1.0857439637184143,0.0028319954872131348,1.523571305625
resnet50,guess,224,layer3.1.conv3,256,1024,"(1, 1)",1.015504002571106,0.003471970558166504,1.4250070097243799
resnet50,guess,224,layer3.2.conv1,1024,256,"(1, 1)",0.989984005689621,0.0029440224170684814,1.3891960485147867
resnet50,guess,224,layer3.2.conv2,256,256,"(3, 3)",1.0906399488449097,0.0005919933319091797,1.5304416016623352
resnet50,guess,224,layer3.2.conv3,256,1024,"(1, 1)",1.0337120294570923,0.0026400089263916016,1.4505574417070088
resnet50,guess,224,layer3.3.conv1,1024,256,"(1, 1)",1.0009920001029968,0.0034239888191223145,1.40464302771167
resnet50,guess,224,layer3.3.conv2,256,256,"(3, 3)",1.0798880457878113,0.00033599138259887695,1.5153539829178986
resnet50,guess,224,layer3.3.conv3,256,1024,"(1, 1)",1.0263519883155823,0.0065760016441345215,1.4402294565962095
resnet50,guess,224,layer3.4.conv1,1024,256,"(1, 1)",1.003935992717743,0.00393599271774292,1.4087741882998788
resnet50,guess,224,layer3.4.conv2,256,256,"(3, 3)",1.0879040360450745,0.0020800232887268066,1.5266024292830151
resnet50,guess,224,layer3.4.conv3,256,1024,"(1, 1)",1.0311840176582336,0.014095962047576904,1.4470100066157452
resnet50,guess,224,layer3.5.conv1,1024,256,"(1, 1)",0.994047999382019,0.001600027084350586,1.3948988517380931
resnet50,guess,224,layer3.5.conv2,256,256,"(3, 3)",1.0823519825935364,0.0031200051307678223,1.5188115047108077
resnet50,guess,224,layer3.5.conv3,256,1024,"(1, 1)",1.028656005859375,0.0029920339584350586,1.4434625715244813
resnet50,guess,224,layer4.0.conv1,1024,512,"(1, 1)",1.3116480112075806,0.004992008209228516,1.8405713867493778
resnet50,guess,224,layer4.0.conv2,512,512,"(3, 3)",1.7329599857330322,0.003648042678833008,2.4317778373980548
resnet50,guess,224,layer4.0.conv3,512,2048,"(1, 1)",1.356112003326416,0.0013920068740844727,1.9029655282685136
resnet50,guess,224,layer4.0.downsample.0,1024,2048,"(1, 1)",1.6674399971961975,0.004368007183074951,2.3398368477951967
resnet50,guess,224,layer4.1.conv1,2048,512,"(1, 1)",1.3433600068092346,0.0028800368309020996,1.8850712763709765
resnet50,guess,224,layer4.1.conv2,512,512,"(3, 3)",1.8234080076217651,0.01067197322845459,2.5586991147941265
resnet50,guess,224,layer4.1.conv3,512,2048,"(1, 1)",1.3468000292778015,0.008047997951507568,1.8898984913488652
resnet50,guess,224,layer4.2.conv1,2048,512,"(1, 1)",1.33433598279953,0.0106239914894104,1.8724083056321192
resnet50,guess,224,layer4.2.conv2,512,512,"(3, 3)",1.807088017463684,0.0028640031814575195,2.5357980722428244
resnet50,guess,224,layer4.2.conv3,512,2048,"(1, 1)",1.3426719903945923,0.0006879568099975586,1.8841058166473432
