model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
resnet50,guess,224,conv1,3,64,"(7, 7)",0.8601599931716919,0.005119979381561279,1.3503503856212093
resnet50,guess,224,layer1.0.conv1,64,64,"(1, 1)",0.5732160210609436,0.005216002464294434,0.8998819768747347
resnet50,guess,224,layer1.0.conv2,64,64,"(3, 3)",0.8291679918766022,0.0030560195446014404,1.301696575594911
resnet50,guess,224,layer1.0.conv3,64,256,"(1, 1)",0.9261599779129028,0.004559993743896484,1.4539626270109325
resnet50,guess,224,layer1.0.downsample.0,64,256,"(1, 1)",0.955456018447876,0.0019840002059936523,1.4999539773964639
resnet50,guess,224,layer1.1.conv1,256,64,"(1, 1)",1.0475199818611145,0.005919992923736572,1.6444836108178928
resnet50,guess,224,layer1.1.conv2,64,64,"(3, 3)",0.8142880201339722,0.0030879974365234375,1.2783367637689704
resnet50,guess,224,layer1.1.conv3,64,256,"(1, 1)",0.9116159975528717,0.0021120011806488037,1.4311302822802525
resnet50,guess,224,layer1.2.conv1,256,64,"(1, 1)",1.0244320034980774,0.005711972713470459,1.608238190508606
resnet50,guess,224,layer1.2.conv2,64,64,"(3, 3)",0.8145280182361603,0.00979200005531311,1.2787135326636072
resnet50,guess,224,layer1.2.conv3,64,256,"(1, 1)",0.9027999937534332,0.0037280023097991943,1.4172901894780832
resnet50,guess,224,layer2.0.conv1,256,128,"(1, 1)",1.2472639679908752,0.013055980205535889,1.9580582606935255
resnet50,guess,224,layer2.0.conv2,128,128,"(3, 3)",0.9679680168628693,0.0006079971790313721,1.5195963486049628
resnet50,guess,224,layer2.0.conv3,128,512,"(1, 1)",0.9631040096282959,0.0005440115928649902,1.5119604272682219
resnet50,guess,224,layer2.0.downsample.0,256,512,"(1, 1)",1.0761600136756897,0.0007680058479309082,1.6894451043912122
resnet50,guess,224,layer2.1.conv1,512,128,"(1, 1)",1.014352023601532,0.004751980304718018,1.5924138033615545
resnet50,guess,224,layer2.1.conv2,128,128,"(3, 3)",0.8488480150699615,0.009167999029159546,1.3325919056720477
resnet50,guess,224,layer2.1.conv3,128,512,"(1, 1)",0.9497599899768829,0.005503982305526733,1.4910118802245722
resnet50,guess,224,layer2.2.conv1,512,128,"(1, 1)",1.0054720044136047,0.006048023700714111,1.578473213901533
resnet50,guess,224,layer2.2.conv2,128,128,"(3, 3)",0.8399680256843567,0.0004799962043762207,1.3186513629981802
resnet50,guess,224,layer2.2.conv3,128,512,"(1, 1)",0.9841280281543732,0.037824004888534546,1.5449656725125553
resnet50,guess,224,layer2.3.conv1,512,128,"(1, 1)",1.0080959796905518,0.0025919675827026367,1.5825925475780747
resnet50,guess,224,layer2.3.conv2,128,128,"(3, 3)",0.8536799848079681,0.003760010004043579,1.3401775318937093
resnet50,guess,224,layer2.3.conv3,128,512,"(1, 1)",0.9461759924888611,0.001024007797241211,1.4853854241833302
