model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
resnet50,guess,224,conv1,3,64,"(7, 7)",1.8375679850578308,0.005631983280181885,1.7902927928204158
resnet50,guess,224,layer1.0.conv1,64,64,"(1, 1)",1.11871999502182,0.003583967685699463,1.0899386365879813
resnet50,guess,224,layer1.0.conv2,64,64,"(3, 3)",1.2354560494422913,0.007679998874664307,1.2036714174106098
resnet50,guess,224,layer1.0.conv3,64,256,"(1, 1)",1.7167359590530396,0.01689600944519043,1.6725694176542671
resnet50,guess,224,layer1.0.downsample.0,64,256,"(1, 1)",1.5964159965515137,0.002048015594482422,1.5553449321111512
resnet50,guess,224,layer1.1.conv1,256,64,"(1, 1)",1.8862079977989197,0.0020479559898376465,1.8376814418179788
resnet50,guess,224,layer1.1.conv2,64,64,"(3, 3)",1.2282880544662476,0.0005120038986206055,1.1966878337560545
resnet50,guess,224,layer1.1.conv3,64,256,"(1, 1)",1.700864017009735,0.011264026165008545,1.6571058137608323
resnet50,guess,224,layer1.2.conv1,256,64,"(1, 1)",1.8524159789085388,0.0030719637870788574,1.8047587916813657
resnet50,guess,224,layer1.2.conv2,64,64,"(3, 3)",1.2139520049095154,0.003583967685699463,1.1827206083757504
resnet50,guess,224,layer1.2.conv3,64,256,"(1, 1)",1.666047990322113,0.005119979381561279,1.623185500520541
resnet50,guess,224,layer2.0.conv1,256,128,"(1, 1)",2.2128639221191406,0.03276801109313965,2.155933474830068
resnet50,guess,224,layer2.0.conv2,128,128,"(3, 3)",1.6906239986419678,0.0071680545806884766,1.647129240795242
resnet50,guess,224,layer2.0.conv3,128,512,"(1, 1)",1.335807979106903,0.009728014469146729,1.301441588574384
resnet50,guess,224,layer2.0.downsample.0,256,512,"(1, 1)",2.0229119658470154,0.03430396318435669,1.9708684208775622
resnet50,guess,224,layer2.1.conv1,512,128,"(1, 1)",1.3608959913253784,0.005120038986206055,1.3258841604009242
resnet50,guess,224,layer2.1.conv2,128,128,"(3, 3)",1.19295996427536,0.009216010570526123,1.1622686308927301
resnet50,guess,224,layer2.1.conv3,128,512,"(1, 1)",1.3122559785842896,0.0025600194931030273,1.2784955114033614
resnet50,guess,224,layer2.2.conv1,512,128,"(1, 1)",1.316864013671875,0.002048015594482422,1.2829849953699142
resnet50,guess,224,layer2.2.conv2,128,128,"(3, 3)",1.182703971862793,0.0041120052337646484,1.1522764948472919
resnet50,guess,224,layer2.2.conv3,128,512,"(1, 1)",1.361407995223999,0.0281599760055542,1.3263829919527634
resnet50,guess,224,layer2.3.conv1,512,128,"(1, 1)",1.319424033164978,0.0025600194931030273,1.28547915312911
resnet50,guess,224,layer2.3.conv2,128,128,"(3, 3)",1.1924480199813843,0.014847993850708008,1.1617698574120845
resnet50,guess,224,layer2.3.conv3,128,512,"(1, 1)",1.2805119752883911,0.013823986053466797,1.247568187474105
resnet50,guess,224,layer3.0.conv1,512,256,"(1, 1)",1.8862079977989197,0.010240018367767334,1.8376814418179788
resnet50,guess,224,layer3.0.conv2,256,256,"(3, 3)",1.8846720457077026,0.01689600944519043,1.8361850052336548
resnet50,guess,224,layer3.0.conv3,256,1024,"(1, 1)",1.0270719826221466,0.03379198908805847,1.0006484566274896
resnet50,guess,224,layer3.0.downsample.0,512,1024,"(1, 1)",2.111488103866577,0.001024007797241211,2.057165756705002
resnet50,guess,224,layer3.1.conv1,1024,256,"(1, 1)",1.3946880102157593,0.003072023391723633,1.3588068105375375
resnet50,guess,224,layer3.1.conv2,256,256,"(3, 3)",1.7315840125083923,0.005119979381561279,1.6870354745864105
resnet50,guess,224,layer3.1.conv3,256,1024,"(1, 1)",0.9958399832248688,0.0046080052852630615,0.9702199642500724
resnet50,guess,224,layer3.2.conv1,1024,256,"(1, 1)",1.412608027458191,0.0005120038986206055,1.3762657987095224
resnet50,guess,224,layer3.2.conv2,256,256,"(3, 3)",1.721343994140625,0.001024007797241211,1.67705890162082
resnet50,guess,224,layer3.2.conv3,256,1024,"(1, 1)",1.021440029144287,0.031231999397277832,0.9951613966640488
resnet50,guess,224,layer3.3.conv1,1024,256,"(1, 1)",1.466368019580841,0.072704017162323,1.4286427051542838
resnet50,guess,224,layer3.3.conv2,256,256,"(3, 3)",1.7152000069618225,0.004095971584320068,1.6710729810699432
resnet50,guess,224,layer3.3.conv3,256,1024,"(1, 1)",0.9922559857368469,0.00614398717880249,0.9667281724227949
