model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
resnet50,implicit gemm,224,conv1,3,64,"(7, 7)",0.9676640033721924,0.0013279914855957031,1.3553422137764968
resnet50,implicit gemm,224,layer1.0.conv1,64,64,"(1, 1)",0.7654399871826172,0.016063988208770752,1.07210056706234
resnet50,implicit gemm,224,layer1.0.conv2,64,64,"(3, 3)",0.8648959994316101,0.0064640045166015625,1.2114019478568943
resnet50,implicit gemm,224,layer1.0.conv3,64,256,"(1, 1)",1.3659679889678955,0.045040011405944824,1.9132199520327624
resnet50,implicit gemm,224,layer1.0.downsample.0,64,256,"(1, 1)",1.3870880007743835,0.09371203184127808,1.9428013392260826
resnet50,implicit gemm,224,layer1.1.conv1,256,64,"(1, 1)",1.1538879871368408,0.01468801498413086,1.616173685789802
resnet50,implicit gemm,224,layer1.1.conv2,64,64,"(3, 3)",0.833296000957489,0.001551985740661621,1.167141944655374
resnet50,implicit gemm,224,layer1.1.conv3,64,256,"(1, 1)",1.3124000430107117,0.0010719895362854004,1.8381909148793114
resnet50,implicit gemm,224,layer1.2.conv1,256,64,"(1, 1)",1.1158239841461182,0.013072013854980469,1.5628599840308681
resnet50,implicit gemm,224,layer1.2.conv2,64,64,"(3, 3)",0.8376799821853638,0.006287992000579834,1.1732822937867209
resnet50,implicit gemm,224,layer1.2.conv3,64,256,"(1, 1)",1.3047199845314026,0.014383971691131592,1.827433970914252
resnet50,implicit gemm,224,layer2.0.conv1,256,128,"(1, 1)",1.315887987613678,0.028464019298553467,1.8430762454726164
resnet50,implicit gemm,224,layer2.0.conv2,128,128,"(3, 3)",1.0051679611206055,0.038223981857299805,1.4078714976425655
resnet50,implicit gemm,224,layer2.0.conv3,128,512,"(1, 1)",1.1551679968833923,0.04137605428695679,1.6179665097839784
resnet50,implicit gemm,224,layer2.0.downsample.0,256,512,"(1, 1)",1.3017120361328125,0.011312007904052734,1.8232209388832337
resnet50,implicit gemm,224,layer2.1.conv1,512,128,"(1, 1)",1.0716960430145264,0.004271984100341797,1.5010529299147024
resnet50,implicit gemm,224,layer2.1.conv2,128,128,"(3, 3)",0.8103199899196625,0.001296013593673706,1.1349609835415568
resnet50,implicit gemm,224,layer2.1.conv3,128,512,"(1, 1)",1.095903992652893,0.000576019287109375,1.5349593849853826
resnet50,implicit gemm,224,layer2.2.conv1,512,128,"(1, 1)",1.096448004245758,0.028096020221710205,1.5357213456184373
resnet50,implicit gemm,224,layer2.2.conv2,128,128,"(3, 3)",0.8035520017147064,0.008608013391494751,1.1254815153743503
resnet50,implicit gemm,224,layer2.2.conv3,128,512,"(1, 1)",1.1025760173797607,0.00043201446533203125,1.544304443530674
resnet50,implicit gemm,224,layer2.3.conv1,512,128,"(1, 1)",1.0539199709892273,0.004288017749786377,1.4761551753975775
resnet50,implicit gemm,224,layer2.3.conv2,128,128,"(3, 3)",0.8015360236167908,0.0014719963073730469,1.1226578697611704
resnet50,implicit gemm,224,layer2.3.conv3,128,512,"(1, 1)",1.1052320003509521,0.00017595291137695312,1.5480245011409424
resnet50,implicit gemm,224,layer3.0.conv1,512,256,"(1, 1)",1.1500319838523865,0.015183985233306885,1.610772840031699
resnet50,implicit gemm,224,layer3.0.conv2,256,256,"(3, 3)",1.0134080052375793,0.004064023494720459,1.419412776016253
resnet50,implicit gemm,224,layer3.0.conv3,256,1024,"(1, 1)",1.0070559978485107,0.005679965019226074,1.4105159443405648
resnet50,implicit gemm,224,layer3.0.downsample.0,512,1024,"(1, 1)",1.1999359726905823,0.0033280253410339355,1.6806700176393512
resnet50,implicit gemm,224,layer3.1.conv1,1024,256,"(1, 1)",1.0272000432014465,0.01187199354171753,1.4387303606337385
resnet50,implicit gemm,224,layer3.1.conv2,256,256,"(3, 3)",1.0877439975738525,0.0066879987716674805,1.5235302259422738
resnet50,implicit gemm,224,layer3.1.conv3,256,1024,"(1, 1)",1.0125120282173157,0.013184010982513428,1.418157840962448
resnet50,implicit gemm,224,layer3.2.conv1,1024,256,"(1, 1)",0.9960640072822571,0.007839977741241455,1.3951201987346942
resnet50,implicit gemm,224,layer3.2.conv2,256,256,"(3, 3)",1.0754560232162476,0.0011199712753295898,1.5063192825666534
resnet50,implicit gemm,224,layer3.2.conv3,256,1024,"(1, 1)",1.0069440007209778,0.0005119442939758301,1.4103590774588393
resnet50,implicit gemm,224,layer3.3.conv1,1024,256,"(1, 1)",0.994592010974884,6.401538848876953e-05,1.3930584720124504
resnet50,implicit gemm,224,layer3.3.conv2,256,256,"(3, 3)",1.0749760270118713,0.0028479695320129395,1.5056469840043667
resnet50,implicit gemm,224,layer3.3.conv3,256,1024,"(1, 1)",1.011680006980896,0.0018559694290161133,1.416992484495174
resnet50,implicit gemm,224,layer3.4.conv1,1024,256,"(1, 1)",0.9963679909706116,0.010415971279144287,1.395545968344487
resnet50,implicit gemm,224,layer3.4.conv2,256,256,"(3, 3)",1.0734880566596985,0.0020959973335266113,1.5035628835065495
