model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
resnet50,implicit precomp gemm,224,conv1,3,64,"(7, 7)",0.9118239879608154,0.0016800165176391602,1.4620020235551756
resnet50,implicit precomp gemm,224,layer1.0.conv1,64,64,"(1, 1)",0.6408960223197937,0.0017600059509277344,1.0276010435034393
resnet50,implicit precomp gemm,224,layer1.0.conv2,64,64,"(3, 3)",0.6712960004806519,0.004639983177185059,1.07634381642237
resnet50,implicit precomp gemm,224,layer1.0.conv3,64,256,"(1, 1)",1.1865119934082031,0.009968042373657227,1.9024317831500437
resnet50,implicit precomp gemm,224,layer1.0.downsample.0,64,256,"(1, 1)",1.1153119802474976,0.0016800165176391602,1.7882709750417798
resnet50,implicit precomp gemm,224,layer1.1.conv1,256,64,"(1, 1)",0.9971200227737427,0.005344033241271973,1.598764136796587
resnet50,implicit precomp gemm,224,layer1.1.conv2,64,64,"(3, 3)",0.6402560174465179,0.004799991846084595,1.0265748713121299
resnet50,implicit precomp gemm,224,layer1.1.conv3,64,256,"(1, 1)",1.1173120141029358,0.0013440251350402832,1.791477793004936
resnet50,implicit precomp gemm,224,layer1.2.conv1,256,64,"(1, 1)",0.97884801030159,0.0029120147228240967,1.5694671238188358
resnet50,implicit precomp gemm,224,layer1.2.conv2,64,64,"(3, 3)",0.6367039978504181,0.00585600733757019,1.0208796275964875
resnet50,implicit precomp gemm,224,layer1.2.conv3,64,256,"(1, 1)",1.1126400232315063,0.0034559965133666992,1.7839868076851302
resnet50,implicit precomp gemm,224,layer2.0.conv1,256,128,"(1, 1)",1.1404640078544617,0.016400039196014404,1.82859927934548
resnet50,implicit precomp gemm,224,layer2.0.conv2,128,128,"(3, 3)",0.8478080034255981,0.013567984104156494,1.359359956482921
resnet50,implicit precomp gemm,224,layer2.0.conv3,128,512,"(1, 1)",0.9731520116329193,0.0029120147228240967,1.5603342629929349
resnet50,implicit precomp gemm,224,layer2.0.downsample.0,256,512,"(1, 1)",1.207855999469757,0.008495986461639404,1.9366543748615777
resnet50,implicit precomp gemm,224,layer2.1.conv1,512,128,"(1, 1)",0.9303520023822784,0.0164320170879364,1.4917095054094502
resnet50,implicit precomp gemm,224,layer2.1.conv2,128,128,"(3, 3)",0.6073600053787231,0.007679998874664307,0.9738300029548407
resnet50,implicit precomp gemm,224,layer2.1.conv3,128,512,"(1, 1)",0.9410879909992218,0.0018880069255828857,1.508923394592097
resnet50,implicit precomp gemm,224,layer2.2.conv1,512,128,"(1, 1)",0.9016159772872925,0.018703997135162354,1.4456346846189194
resnet50,implicit precomp gemm,224,layer2.2.conv2,128,128,"(3, 3)",0.6092959940433502,0.008464008569717407,0.9769341320221123
resnet50,implicit precomp gemm,224,layer2.2.conv3,128,512,"(1, 1)",0.9525439739227295,0.0027199983596801758,1.5272917095707785
resnet50,implicit precomp gemm,224,layer2.3.conv1,512,128,"(1, 1)",0.8959360122680664,0.008863985538482666,1.4365275318553667
resnet50,implicit precomp gemm,224,layer2.3.conv2,128,128,"(3, 3)",0.6113919913768768,0.0019200146198272705,0.980294816083337
resnet50,implicit precomp gemm,224,layer2.3.conv3,128,512,"(1, 1)",0.9381439983844757,0.0008960068225860596,1.504203050296576
resnet50,implicit precomp gemm,224,layer3.0.conv1,512,256,"(1, 1)",0.9742560088634491,0.006895989179611206,1.5621043921037554
resnet50,implicit precomp gemm,224,layer3.0.conv2,256,256,"(3, 3)",0.9180800020694733,0.004543989896774292,1.4720328029676608
resnet50,implicit precomp gemm,224,layer3.0.conv3,256,1024,"(1, 1)",0.8504479825496674,0.011631995439529419,1.3635928510683821
resnet50,implicit precomp gemm,224,layer3.0.downsample.0,512,1024,"(1, 1)",1.1083360314369202,0.005487978458404541,1.777085865402265
resnet50,implicit precomp gemm,224,layer3.1.conv1,1024,256,"(1, 1)",0.8530880212783813,0.011680006980895996,1.3678258412228477
resnet50,implicit precomp gemm,224,layer3.1.conv2,256,256,"(3, 3)",0.8781599998474121,0.006031990051269531,1.4080257963528175
resnet50,implicit precomp gemm,224,layer3.1.conv3,256,1024,"(1, 1)",0.8519839942455292,0.003760010004043579,1.3660556643275248
resnet50,implicit precomp gemm,224,layer3.2.conv1,1024,256,"(1, 1)",0.8322080075740814,0.011343985795974731,1.3343472064308246
resnet50,implicit precomp gemm,224,layer3.2.conv2,256,256,"(3, 3)",0.8831360042095184,0.0027839839458465576,1.4160042313826837
resnet50,implicit precomp gemm,224,layer3.2.conv3,256,1024,"(1, 1)",0.8425760269165039,0.007311999797821045,1.3509711003610336
resnet50,implicit precomp gemm,224,layer3.3.conv1,1024,256,"(1, 1)",0.8459999859333038,0.0005280077457427979,1.3564610140694089
resnet50,implicit precomp gemm,224,layer3.3.conv2,256,256,"(3, 3)",0.8711359798908234,0.00083199143409729,1.396763610310761
resnet50,implicit precomp gemm,224,layer3.3.conv3,256,1024,"(1, 1)",0.8422560095787048,0.0008479952812194824,1.3504579903731277
resnet50,implicit precomp gemm,224,layer3.4.conv1,1024,256,"(1, 1)",0.8351839780807495,0.002128005027770996,1.3391188234975344
resnet50,implicit precomp gemm,224,layer3.4.conv2,256,256,"(3, 3)",0.8755519986152649,0.007520020008087158,1.4038441745385455
resnet50,implicit precomp gemm,224,layer3.4.conv3,256,1024,"(1, 1)",0.8480640053749084,0.0027520060539245605,1.359770425359445
resnet50,implicit precomp gemm,224,layer3.5.conv1,1024,256,"(1, 1)",0.8511359989643097,0.00419202446937561,1.364696004093228
resnet50,implicit precomp gemm,224,layer3.5.conv2,256,256,"(3, 3)",0.8658400177955627,0.002351999282836914,1.388272160861994
resnet50,implicit precomp gemm,224,layer3.5.conv3,256,1024,"(1, 1)",0.8484480082988739,0.006815999746322632,1.3603861286742307
resnet50,implicit precomp gemm,224,layer4.0.conv1,1024,512,"(1, 1)",1.1476959586143494,0.014288008213043213,1.8401948578615186
resnet50,implicit precomp gemm,224,layer4.0.conv2,512,512,"(3, 3)",1.6071360111236572,0.013823986053466797,2.5768526946147343
resnet50,implicit precomp gemm,224,layer4.0.conv3,512,2048,"(1, 1)",1.1705600023269653,0.005247950553894043,1.8768546503388526
resnet50,implicit precomp gemm,224,layer4.0.downsample.0,1024,2048,"(1, 1)",1.5736960172653198,0.0027840137481689453,2.523235615733209
resnet50,implicit precomp gemm,224,layer4.1.conv1,2048,512,"(1, 1)",1.1873599886894226,0.002368032932281494,1.9037914433843406
resnet50,implicit precomp gemm,224,layer4.1.conv2,512,512,"(3, 3)",1.5860959887504578,0.001264035701751709,2.543117504828758
resnet50,implicit precomp gemm,224,layer4.1.conv3,512,2048,"(1, 1)",1.1479040384292603,0.0069119930267333984,1.8405284892580132
resnet50,implicit precomp gemm,224,layer4.2.conv1,2048,512,"(1, 1)",1.1697760224342346,0.004079997539520264,1.8755976312159381
resnet50,implicit precomp gemm,224,layer4.2.conv2,512,512,"(3, 3)",1.572272002696991,0.015407979488372803,2.520952376634482
resnet50,implicit precomp gemm,224,layer4.2.conv3,512,2048,"(1, 1)",1.1663520336151123,0.007215976715087891,1.8701076697230603
