model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,fft,224,features.0,3,64,"(3, 3)",2.4962559938430786,0.027743935585021973,2.372176341462787
vgg16,fft,224,features.2,64,64,"(3, 3)",6.304160118103027,0.33740806579589844,5.990803636262529
vgg16,fft,224,features.5,64,128,"(3, 3)",3.6982719898223877,0.012896060943603516,3.51444456826116
vgg16,fft,224,features.7,128,128,"(3, 3)",6.9081761837005615,0.020272016525268555,6.564796297354955
vgg16,fft,224,features.10,128,256,"(3, 3)",8.651552200317383,0.015007972717285156,8.221515540530474
vgg16,fft,224,features.12,256,256,"(3, 3)",9.089183807373047,0.016448020935058594,8.637394099097511
vgg16,fft,224,features.14,256,256,"(3, 3)",11.41206407546997,0.0896000862121582,10.844812580864268
vgg16,fft,224,features.17,256,512,"(3, 3)",6.014256000518799,0.03864002227783203,5.7153095800751235
vgg16,fft,224,features.19,512,512,"(3, 3)",5.603072166442871,0.07993602752685547,5.324564173517197
vgg16,fft,224,features.21,512,512,"(3, 3)",8.150303840637207,0.008031845092773438,7.745182382808233
vgg16,fft,224,features.24,512,512,"(3, 3)",6.550271987915039,0.015488147735595703,6.224682195337078
vgg16,fft,224,features.26,512,512,"(3, 3)",3.288800001144409,0.007584095001220703,3.125325917598171
vgg16,fft,224,features.28,512,512,"(3, 3)",3.2815200090408325,0.009359955787658691,3.1184077869750557
