model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,fft,224,features.0,3,64,"(3, 3)",8.008000373840332,0.0025920867919921875,3.6166727770095823
vgg16,fft,224,features.2,64,64,"(3, 3)",27.129375457763672,0.13155174255371094,12.252506130729868
vgg16,fft,224,features.5,64,128,"(3, 3)",15.709359645843506,0.12894392013549805,7.094856483895054
vgg16,fft,224,features.7,128,128,"(3, 3)",22.34111976623535,0.016895294189453125,10.089974512289542
vgg16,fft,224,features.10,128,256,"(3, 3)",12.023231983184814,0.00876760482788086,5.430081640268722
vgg16,fft,224,features.12,256,256,"(3, 3)",19.15071964263916,0.012160301208496094,8.649086308478825
vgg16,fft,224,features.14,256,256,"(3, 3)",19.11910343170166,0.013312339782714844,8.63480740187645
vgg16,fft,224,features.17,256,512,"(3, 3)",13.814288139343262,0.5636959075927734,6.238980708659654
vgg16,fft,224,features.19,512,512,"(3, 3)",17.203712463378906,0.06912040710449219,7.769754698445963
vgg16,fft,224,features.21,512,512,"(3, 3)",17.283071517944336,0.0010242462158203125,7.805595822179373
vgg16,fft,224,features.24,512,512,"(3, 3)",23.201279640197754,11.573760032653809,10.478450618034769
vgg16,fft,224,features.26,512,512,"(3, 3)",11.976191997528076,0.031232357025146484,5.408836856600704
vgg16,fft,224,features.28,512,512,"(3, 3)",11.925456047058105,0.018480300903320312,5.385922855312708
