model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,fft tiling,224,features.0,3,64,"(3, 3)",2.82532799243927,0.02411210536956787,4.292482713844543
vgg16,fft tiling,224,features.2,64,64,"(3, 3)",4.199903964996338,0.03142404556274414,6.380857450107697
vgg16,fft tiling,224,features.5,64,128,"(3, 3)",2.2146239280700684,0.007647991180419922,3.3646482653859895
vgg16,fft tiling,224,features.7,128,128,"(3, 3)",2.4067200422286987,0.01238405704498291,3.656497300835757
vgg16,fft tiling,224,features.10,128,256,"(3, 3)",1.616815984249115,0.01128000020980835,2.456406718947006
vgg16,fft tiling,224,features.12,256,256,"(3, 3)",2.1207200288772583,0.02401602268218994,3.2219813378199147
vgg16,fft tiling,224,features.14,256,256,"(3, 3)",2.270848035812378,0.001728057861328125,3.4500687939869303
vgg16,fft tiling,224,features.17,256,512,"(3, 3)",2.062608003616333,0.0164639949798584,3.133692521595197
vgg16,fft tiling,224,features.19,512,512,"(3, 3)",3.8014559745788574,0.02408003807067871,5.775500792116104
vgg16,fft tiling,224,features.21,512,512,"(3, 3)",5.27179217338562,0.006479978561401367,8.00936274860666
vgg16,fft tiling,224,features.24,512,512,"(3, 3)",4.451247930526733,0.006799936294555664,6.762720947073546
vgg16,fft tiling,224,features.26,512,512,"(3, 3)",4.998448133468628,0.014703989028930664,7.594074835339246
vgg16,fft tiling,224,features.28,512,512,"(3, 3)",5.004767894744873,0.013440132141113281,7.603676363411916
