model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,fft tiling,224,features.0,3,64,"(3, 3)",3.9080960750579834,0.08345603942871094,1.3034473810208063
vgg16,fft tiling,224,features.2,64,64,"(3, 3)",17.05527973175049,0.10798358917236328,5.688360590929839
vgg16,fft tiling,224,features.5,64,128,"(3, 3)",11.03872013092041,0.0,3.6816881080018953
vgg16,fft tiling,224,features.7,128,128,"(3, 3)",12.869679927825928,0.05227231979370117,4.292358804472805
vgg16,fft tiling,224,features.10,128,256,"(3, 3)",4.674047946929932,0.4080638885498047,1.5589114080572097
vgg16,fft tiling,224,features.12,256,256,"(3, 3)",7.009247779846191,0.008224010467529297,2.337758715778467
vgg16,fft tiling,224,features.14,256,256,"(3, 3)",8.621551990509033,0.0025763511657714844,2.875502328124568
vgg16,fft tiling,224,features.17,256,512,"(3, 3)",6.816768169403076,0.027647972106933594,2.273561971554808
vgg16,fft tiling,224,features.19,512,512,"(3, 3)",15.69536018371582,0.012800216674804688,5.234793549782191
vgg16,fft tiling,224,features.21,512,512,"(3, 3)",17.266176223754883,0.002559661865234375,5.758699823868355
vgg16,fft tiling,224,features.24,512,512,"(3, 3)",14.813616275787354,0.029263973236083984,4.940709994657881
vgg16,fft tiling,224,features.26,512,512,"(3, 3)",15.118336200714111,0.017407894134521484,5.0423416793612175
vgg16,fft tiling,224,features.28,512,512,"(3, 3)",15.07532787322998,0.008192062377929688,5.027997330925402
