model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,fft tiling,224,features.0,3,64,"(3, 3)",5.392895936965942,0.15206408500671387,3.4169540100422604
vgg16,fft tiling,224,features.2,64,64,"(3, 3)",16.19814395904541,0.26265621185302734,10.263189500230025
vgg16,fft tiling,224,features.5,64,128,"(3, 3)",6.7399680614471436,0.11059212684631348,4.270462690974046
vgg16,fft tiling,224,features.7,128,128,"(3, 3)",9.178112030029297,0.4884481430053711,5.8152775562863175
vgg16,fft tiling,224,features.10,128,256,"(3, 3)",4.7129600048065186,0.03942418098449707,2.986144694023627
vgg16,fft tiling,224,features.12,256,256,"(3, 3)",6.977535963058472,0.0747520923614502,4.420986380575379
vgg16,fft tiling,224,features.14,256,256,"(3, 3)",7.774719953536987,0.020992040634155273,4.9260843956020794
vgg16,fft tiling,224,features.17,256,512,"(3, 3)",6.892032146453857,0.009727954864501953,4.366810922262081
vgg16,fft tiling,224,features.19,512,512,"(3, 3)",13.07750415802002,0.0665597915649414,8.285943358890561
vgg16,fft tiling,224,features.21,512,512,"(3, 3)",12.411904335021973,0.1699838638305664,7.864217441895372
vgg16,fft tiling,224,features.24,512,512,"(3, 3)",11.4585599899292,0.03584003448486328,7.260175787654114
vgg16,fft tiling,224,features.26,512,512,"(3, 3)",11.320831775665283,0.11622381210327148,7.1729108043268415
vgg16,fft tiling,224,features.28,512,512,"(3, 3)",11.197952270507812,0.17766380310058594,7.095054004787696
