model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,fft,224,features.0,3,64,"(3, 3)",5.97760009765625,0.04351997375488281,2.289705076882172
vgg16,fft,224,features.2,64,64,"(3, 3)",22.416383743286133,0.025600433349609375,8.586540889957819
vgg16,fft,224,features.5,64,128,"(3, 3)",26.768895626068115,15.803904056549072,10.25375990634927
vgg16,fft,224,features.7,128,128,"(3, 3)",55.55814266204834,37.94636631011963,21.28141047195753
vgg16,fft,224,features.10,128,256,"(3, 3)",18.590720176696777,0.052224159240722656,7.121129830710587
vgg16,fft,224,features.12,256,256,"(3, 3)",37.912574768066406,0.39936065673828125,14.522318908244342
vgg16,fft,224,features.14,256,256,"(3, 3)",106.5528335571289,0.749053955078125,40.81480192152681
vgg16,fft,224,features.17,256,512,"(3, 3)",6.735872030258179,0.10444808006286621,2.5801592834820157
vgg16,fft,224,features.19,512,512,"(3, 3)",51.64851236343384,38.444032192230225,19.78383616166201
vgg16,fft,224,features.21,512,512,"(3, 3)",96.37068939208984,17.09465789794922,36.91455653753443
vgg16,fft,224,features.24,512,512,"(3, 3)",8.707583904266357,0.025087833404541016,3.3354186876424787
vgg16,fft,224,features.26,512,512,"(3, 3)",8.108543872833252,0.0015358924865722656,3.1059578707896023
vgg16,fft,224,features.28,512,512,"(3, 3)",8.10598373413086,0.007167816162109375,3.104977215930023
