model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,gemm,224,features.0,3,64,"(3, 3)",2.287200093269348,0.13574397563934326,3.4664380277483504
vgg16,gemm,224,features.2,64,64,"(3, 3)",5.2800798416137695,0.06712007522583008,8.002391048504572
vgg16,gemm,224,features.5,64,128,"(3, 3)",2.9584479331970215,0.00849604606628418,4.483768800520056
vgg16,gemm,224,features.7,128,128,"(3, 3)",4.153104066848755,0.03966403007507324,6.294367472651845
vgg16,gemm,224,features.10,128,256,"(3, 3)",2.405824065208435,0.020928025245666504,3.6462223188308265
vgg16,gemm,224,features.12,256,256,"(3, 3)",3.714463949203491,0.029504060745239258,5.629572648282934
vgg16,gemm,224,features.14,256,256,"(3, 3)",3.7093600034713745,0.020016074180603027,5.62183720282303
vgg16,gemm,224,features.17,256,512,"(3, 3)",2.388000011444092,0.0018880367279052734,3.6192085136289243
vgg16,gemm,224,features.19,512,512,"(3, 3)",4.035583972930908,0.014783859252929688,6.116256198618503
vgg16,gemm,224,features.21,512,512,"(3, 3)",4.050015926361084,0.010367870330810547,6.138128999486373
vgg16,gemm,224,features.24,512,512,"(3, 3)",2.2669440507888794,0.021695971488952637,3.4357383455681108
vgg16,gemm,224,features.26,512,512,"(3, 3)",2.2188000679016113,0.015727996826171875,3.3627722183023754
vgg16,gemm,224,features.28,512,512,"(3, 3)",2.203968048095703,0.0038080215454101562,3.3402930842577345
