model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,gemm,224,features.0,3,64,"(3, 3)",1.9978240132331848,0.005119979381561279,4.516038691115347
vgg16,gemm,224,features.2,64,64,"(3, 3)",4.059136152267456,0.003072023391723633,9.17559094030436
vgg16,gemm,224,features.5,64,128,"(3, 3)",2.3311359882354736,0.023040056228637695,5.269483321549228
vgg16,gemm,224,features.7,128,128,"(3, 3)",3.1457279920578003,0.06963193416595459,7.110851221007662
vgg16,gemm,224,features.10,128,256,"(3, 3)",1.814575970172882,0.06251198053359985,4.101810387195714
vgg16,gemm,224,features.12,256,256,"(3, 3)",2.3951200246810913,0.01739203929901123,5.414117875087562
vgg16,gemm,224,features.14,256,256,"(3, 3)",2.4094719886779785,0.001024007797241211,5.4465601844572165
vgg16,gemm,224,features.17,256,512,"(3, 3)",1.8150240182876587,0.005519986152648926,4.102823190429838
vgg16,gemm,224,features.19,512,512,"(3, 3)",2.529247999191284,0.0030400753021240234,5.717311308761774
vgg16,gemm,224,features.21,512,512,"(3, 3)",2.5323519706726074,0.003072023391723633,5.724327770278366
vgg16,gemm,224,features.24,512,512,"(3, 3)",1.841152012348175,0.010240018367767334,4.16188496529937
vgg16,gemm,224,features.26,512,512,"(3, 3)",1.8232320547103882,0.0005120038986206055,4.1213772821904735
vgg16,gemm,224,features.28,512,512,"(3, 3)",1.8205440044403076,0.003968000411987305,4.115301001725859
