model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,gemm,224,features.0,3,64,"(3, 3)",4.683775901794434,0.03174400329589844,6.0353754739039704
vgg16,gemm,224,features.2,64,64,"(3, 3)",8.166912078857422,0.04351997375488281,10.523642012715039
vgg16,gemm,224,features.5,64,128,"(3, 3)",3.7693440914154053,0.001024007797241211,4.857065615226745
vgg16,gemm,224,features.7,128,128,"(3, 3)",5.051904201507568,0.013823986053466797,6.509734742563134
vgg16,gemm,224,features.10,128,256,"(3, 3)",2.620927929878235,0.0015360116958618164,3.3772504232742544
vgg16,gemm,224,features.12,256,256,"(3, 3)",3.670527935028076,0.010751962661743164,4.72973403079781
vgg16,gemm,224,features.14,256,256,"(3, 3)",3.507200002670288,0.0071680545806884766,4.519274474699495
vgg16,gemm,224,features.17,256,512,"(3, 3)",2.8528640270233154,0.006144046783447266,3.676116436843804
vgg16,gemm,224,features.19,512,512,"(3, 3)",4.158464193344116,0.005120038986206055,5.358474301044486
vgg16,gemm,224,features.21,512,512,"(3, 3)",4.200976133346558,0.0076639652252197266,5.413253932994963
vgg16,gemm,224,features.24,512,512,"(3, 3)",3.3725439310073853,0.0015360116958618164,4.345760632584381
vgg16,gemm,224,features.26,512,512,"(3, 3)",3.3367040157318115,0.008703947067260742,4.2995783748982
vgg16,gemm,224,features.28,512,512,"(3, 3)",3.341823935508728,0.0015360116958618164,4.30617575250504
