model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,guess,224,features.0,3,64,"(3, 3)",2.953679919242859,0.35896003246307373,5.681636048361411
vgg16,guess,224,features.2,64,64,"(3, 3)",3.624783992767334,0.21585607528686523,6.972557610815698
vgg16,guess,224,features.5,64,128,"(3, 3)",2.0673279762268066,0.014719963073730469,3.9766682493230907
vgg16,guess,224,features.7,128,128,"(3, 3)",2.228608012199402,0.0008960962295532227,4.286903105948251
vgg16,guess,224,features.10,128,256,"(3, 3)",1.6157600283622742,0.0071520209312438965,3.1080417220691197
vgg16,guess,224,features.12,256,256,"(3, 3)",2.172544002532959,0.20572805404663086,4.179059566009706
vgg16,guess,224,features.14,256,256,"(3, 3)",1.8460479974746704,0.016288042068481445,3.5510187752998315
vgg16,guess,224,features.17,256,512,"(3, 3)",1.8103519678115845,0.0011680126190185547,3.4823546497133475
vgg16,guess,224,features.19,512,512,"(3, 3)",2.2097920179367065,0.004768013954162598,4.2507090584510205
vgg16,guess,224,features.21,512,512,"(3, 3)",2.1897759437561035,0.002671957015991211,4.212206562676075
vgg16,guess,224,features.24,512,512,"(3, 3)",1.8802559971809387,0.01283198595046997,3.616820558020856
vgg16,guess,224,features.26,512,512,"(3, 3)",1.7970719933509827,0.002415955066680908,3.4568095724945493
vgg16,guess,224,features.28,512,512,"(3, 3)",1.8105599880218506,0.004927992820739746,3.4827547929779366
