model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,guess,224,features.0,3,64,"(3, 3)",2.2298399209976196,0.04356801509857178,5.143439612672586
vgg16,guess,224,features.2,64,64,"(3, 3)",3.837951898574829,0.06348800659179688,8.85277621984184
vgg16,guess,224,features.5,64,128,"(3, 3)",2.417151927947998,0.009727954864501953,5.575501119602082
vgg16,guess,224,features.7,128,128,"(3, 3)",2.5968639850616455,0.0,5.990032272591606
vgg16,guess,224,features.10,128,256,"(3, 3)",1.6712160110473633,0.006096005439758301,3.85489494183419
vgg16,guess,224,features.12,256,256,"(3, 3)",2.2163679599761963,0.005552053451538086,5.112364638489251
vgg16,guess,224,features.14,256,256,"(3, 3)",2.2230559587478638,0.014288067817687988,5.127791448946708
vgg16,guess,224,features.17,256,512,"(3, 3)",2.0035520792007446,0.01577603816986084,4.621474857084431
vgg16,guess,224,features.19,512,512,"(3, 3)",2.5538079738616943,4.792213439941406e-05,5.89071752291647
vgg16,guess,224,features.21,512,512,"(3, 3)",2.6188799142837524,0.0005120038986206055,6.04081511193557
vgg16,guess,224,features.24,512,512,"(3, 3)",1.9736480116844177,0.00676804780960083,4.55249691656272
vgg16,guess,224,features.26,512,512,"(3, 3)",1.9420159459114075,0.007679998874664307,4.4795331048578975
vgg16,guess,224,features.28,512,512,"(3, 3)",1.936896026134491,0.003583967685699463,4.46772328929835
