model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,guess,224,features.0,3,64,"(3, 3)",4.250112056732178,0.027135848999023438,5.433907705132519
vgg16,guess,224,features.2,64,64,"(3, 3)",7.50438380241394,0.5186560153961182,9.59460090037302
vgg16,guess,224,features.5,64,128,"(3, 3)",3.710976004600525,0.013311982154846191,4.744604574135677
vgg16,guess,224,features.7,128,128,"(3, 3)",4.459519863128662,0.1689600944519043,5.701642456005808
vgg16,guess,224,features.10,128,256,"(3, 3)",2.8666880130767822,0.08345603942871094,3.6651546769912766
vgg16,guess,224,features.12,256,256,"(3, 3)",3.5481600761413574,0.03686404228210449,4.5364390678236335
vgg16,guess,224,features.14,256,256,"(3, 3)",3.5148799419403076,0.14796805381774902,4.493889324370051
vgg16,guess,224,features.17,256,512,"(3, 3)",2.95577609539032,0.03020799160003662,3.7790567130922317
vgg16,guess,224,features.19,512,512,"(3, 3)",4.186624050140381,0.01587200164794922,5.352736205746706
vgg16,guess,224,features.21,512,512,"(3, 3)",4.623871803283691,0.19814395904541016,5.911771803665539
vgg16,guess,224,features.24,512,512,"(3, 3)",3.4201440811157227,0.0010080337524414062,4.37276641814652
vgg16,guess,224,features.26,512,512,"(3, 3)",3.7053439617156982,0.005631923675537109,4.737403822527488
vgg16,guess,224,features.28,512,512,"(3, 3)",3.6618239879608154,0.02355194091796875,4.68176210824863
