model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,implicit gemm,224,features.0,3,64,"(3, 3)",2.2273600101470947,0.0010879039764404297,5.128452509433775
vgg16,implicit gemm,224,features.2,64,64,"(3, 3)",4.209263801574707,0.0671839714050293,9.691746914603607
vgg16,implicit gemm,224,features.5,64,128,"(3, 3)",2.414720058441162,0.006207942962646484,5.55984532669904
vgg16,implicit gemm,224,features.7,128,128,"(3, 3)",2.624000072479248,0.009727954864501953,6.041708432922753
vgg16,implicit gemm,224,features.10,128,256,"(3, 3)",1.7944959998130798,0.06111997365951538,4.131791659850487
vgg16,implicit gemm,224,features.12,256,256,"(3, 3)",2.2871038913726807,0.07731199264526367,5.266011618064102
vgg16,implicit gemm,224,features.14,256,256,"(3, 3)",2.169343948364258,0.014847993850708008,4.994871671005234
vgg16,implicit gemm,224,features.17,256,512,"(3, 3)",1.9491199851036072,0.015935957431793213,4.48781033746403
vgg16,implicit gemm,224,features.19,512,512,"(3, 3)",2.5353599786758423,0.0010880231857299805,5.837616364540641
vgg16,implicit gemm,224,features.21,512,512,"(3, 3)",2.5304960012435913,0.0062400102615356445,5.826417152399533
vgg16,implicit gemm,224,features.24,512,512,"(3, 3)",1.977295994758606,0.009104013442993164,4.5526850441853135
vgg16,implicit gemm,224,features.26,512,512,"(3, 3)",1.940991997718811,0.01587200164794922,4.469095806759381
vgg16,implicit gemm,224,features.28,512,512,"(3, 3)",1.9328320026397705,0.010784029960632324,4.450307578969789
