model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,implicit gemm,224,features.0,3,64,"(3, 3)",4.333568096160889,0.012288093566894531,5.701429408919648
vgg16,implicit gemm,224,features.2,64,64,"(3, 3)",7.139840126037598,0.013823986053466797,9.393482129803832
vgg16,implicit gemm,224,features.5,64,128,"(3, 3)",3.6188160181045532,0.026624083518981934,4.761070695847396
vgg16,implicit gemm,224,features.7,128,128,"(3, 3)",4.501503944396973,0.011263847351074219,5.92237306613212
vgg16,implicit gemm,224,features.10,128,256,"(3, 3)",2.8026880025863647,0.05632007122039795,3.687337419741544
vgg16,implicit gemm,224,features.12,256,256,"(3, 3)",3.4431999921798706,0.0025600194931030273,4.530022665063802
vgg16,implicit gemm,224,features.14,256,256,"(3, 3)",3.473919987678528,0.08755195140838623,4.57043921832694
vgg16,implicit gemm,224,features.17,256,512,"(3, 3)",2.907647967338562,0.06297600269317627,3.8254272839177843
vgg16,implicit gemm,224,features.19,512,512,"(3, 3)",4.287999868392944,0.05068802833557129,5.641477879800106
vgg16,implicit gemm,224,features.21,512,512,"(3, 3)",4.315648078918457,0.01587200164794922,5.677853060043335
vgg16,implicit gemm,224,features.24,512,512,"(3, 3)",3.447808027267456,0.02252793312072754,4.536085195104341
vgg16,implicit gemm,224,features.26,512,512,"(3, 3)",3.685887932777405,0.006656050682067871,4.849313404475216
vgg16,implicit gemm,224,features.28,512,512,"(3, 3)",3.6792320013046265,0.013311982154846191,4.840556573475776
