model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,implicit precomp gemm,224,features.0,3,64,"(3, 3)",2.229904055595398,0.0004960298538208008,4.532312068073539
vgg16,implicit precomp gemm,224,features.2,64,64,"(3, 3)",3.0543839931488037,0.030447959899902344,6.208079400520526
vgg16,implicit precomp gemm,224,features.5,64,128,"(3, 3)",1.910032033920288,0.0019040107727050781,3.8821675829602156
vgg16,implicit precomp gemm,224,features.7,128,128,"(3, 3)",2.053775906562805,0.005231976509094238,4.17432907172676
vgg16,implicit precomp gemm,224,features.10,128,256,"(3, 3)",1.5287200212478638,0.025776028633117676,3.1071454323882746
vgg16,implicit precomp gemm,224,features.12,256,256,"(3, 3)",1.9187999963760376,0.05323195457458496,3.8999885927704336
vgg16,implicit precomp gemm,224,features.14,256,256,"(3, 3)",1.7017120122909546,0.030416011810302734,3.458754142510703
vgg16,implicit precomp gemm,224,features.17,256,512,"(3, 3)",1.5975679755210876,0.010847985744476318,3.247079889761774
vgg16,implicit precomp gemm,224,features.19,512,512,"(3, 3)",2.0168960094451904,0.02486395835876465,4.099370150352519
vgg16,implicit precomp gemm,224,features.21,512,512,"(3, 3)",2.053584098815918,0.04219198226928711,4.173939219722237
vgg16,implicit precomp gemm,224,features.24,512,512,"(3, 3)",1.6742720007896423,9.60230827331543e-05,3.4029819244354873
vgg16,implicit precomp gemm,224,features.26,512,512,"(3, 3)",1.6548960208892822,0.011471986770629883,3.3635999665827296
vgg16,implicit precomp gemm,224,features.28,512,512,"(3, 3)",1.6046079993247986,0.0034560561180114746,3.2613888394069477
