model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,implicit precomp gemm,224,features.0,3,64,"(3, 3)",2.261423945426941,0.17553603649139404,5.477590968635822
vgg16,implicit precomp gemm,224,features.2,64,64,"(3, 3)",3.746816039085388,0.19660794734954834,9.075487919165582
vgg16,implicit precomp gemm,224,features.5,64,128,"(3, 3)",2.255952000617981,0.006064057350158691,5.464336896781209
vgg16,implicit precomp gemm,224,features.7,128,128,"(3, 3)",2.5465919971466064,0.020576000213623047,6.168321226357672
vgg16,implicit precomp gemm,224,features.10,128,256,"(3, 3)",1.5057920217514038,0.01894402503967285,3.647309384721395
vgg16,implicit precomp gemm,224,features.12,256,256,"(3, 3)",2.075648069381714,0.003072023391723633,5.0276071153766635
vgg16,implicit precomp gemm,224,features.14,256,256,"(3, 3)",2.1034239530563354,0.013183951377868652,5.094885490963716
vgg16,implicit precomp gemm,224,features.17,256,512,"(3, 3)",1.7930240035057068,0.0020479559898376465,4.343038866290895
vgg16,implicit precomp gemm,224,features.19,512,512,"(3, 3)",2.33734393119812,0.0065920352935791016,5.661483347258646
vgg16,implicit precomp gemm,224,features.21,512,512,"(3, 3)",2.3393280506134033,0.01894402503967285,5.666289254886815
vgg16,implicit precomp gemm,224,features.24,512,512,"(3, 3)",1.7637279629707336,0.0014240145683288574,4.27207838699834
vgg16,implicit precomp gemm,224,features.26,512,512,"(3, 3)",1.7802239656448364,0.0015360116958618164,4.312034785023124
vgg16,implicit precomp gemm,224,features.28,512,512,"(3, 3)",1.7459200024604797,0.0010239481925964355,4.228944182172197
