model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,implicit precomp gemm,224,features.0,3,64,"(3, 3)",4.033024072647095,0.03020787239074707,5.357191493033792
vgg16,implicit precomp gemm,224,features.2,64,64,"(3, 3)",7.187456130981445,0.039936065673828125,9.547321847790187
vgg16,implicit precomp gemm,224,features.5,64,128,"(3, 3)",3.548159956932068,0.010239958763122559,4.71313138597844
vgg16,implicit precomp gemm,224,features.7,128,128,"(3, 3)",4.341248035430908,0.005631923675537109,5.766614983107538
vgg16,implicit precomp gemm,224,features.10,128,256,"(3, 3)",2.5190399885177612,0.01126396656036377,3.346119277746288
vgg16,implicit precomp gemm,224,features.12,256,256,"(3, 3)",3.5619839429855347,0.004608035087585449,4.731494217231477
vgg16,implicit precomp gemm,224,features.14,256,256,"(3, 3)",3.3003519773483276,0.008191943168640137,4.383960328177004
vgg16,implicit precomp gemm,224,features.17,256,512,"(3, 3)",2.9644800424575806,0.014335989952087402,3.9378111755971847
vgg16,implicit precomp gemm,224,features.19,512,512,"(3, 3)",4.509696006774902,0.18329620361328125,5.990369670123464
vgg16,implicit precomp gemm,224,features.21,512,512,"(3, 3)",4.306944131851196,0.038912057876586914,5.721048039512663
vgg16,implicit precomp gemm,224,features.24,512,512,"(3, 3)",3.408895969390869,0.0,4.528142693646636
vgg16,implicit precomp gemm,224,features.26,512,512,"(3, 3)",3.355647921562195,0.01228797435760498,4.457411653189148
vgg16,implicit precomp gemm,224,features.28,512,512,"(3, 3)",3.3812479972839355,0.003072023391723633,4.491417031140565
