model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,winograd,224,features.0,3,64,"(3, 3)",2.1887999773025513,0.12953603267669678,5.3495697428531015
vgg16,winograd,224,features.2,64,64,"(3, 3)",2.890160083770752,0.031311988830566406,7.063739536033747
vgg16,winograd,224,features.5,64,128,"(3, 3)",1.740272045135498,0.003600001335144043,4.253338255450418
vgg16,winograd,224,features.7,128,128,"(3, 3)",2.029568076133728,0.013311982154846191,4.960396602583114
vgg16,winograd,224,features.10,128,256,"(3, 3)",1.4867680072784424,0.13115203380584717,3.633757871370517
vgg16,winograd,224,features.12,256,256,"(3, 3)",1.9645439982414246,0.007679998874664307,4.801473519954853
vgg16,winograd,224,features.14,256,256,"(3, 3)",1.9615840315818787,0.018832027912139893,4.794239168599789
vgg16,winograd,224,features.17,256,512,"(3, 3)",1.8201760053634644,0.019984006881713867,4.448628739917826
vgg16,winograd,224,features.19,512,512,"(3, 3)",2.53659188747406,0.014479994773864746,6.19959582963856
vgg16,winograd,224,features.21,512,512,"(3, 3)",2.5794559717178345,0.07884800434112549,6.304358444086406
vgg16,winograd,224,features.24,512,512,"(3, 3)",2.0356639623641968,4.8041343688964844e-05,4.975295345671817
vgg16,winograd,224,features.26,512,512,"(3, 3)",1.9978240132331848,0.009216010570526123,4.88281204475739
vgg16,winograd,224,features.28,512,512,"(3, 3)",1.9870720505714417,0.007679998874664307,4.856533547531512
