model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,winograd nonfused,224,features.0,3,64,"(3, 3)",2.7772639989852905,0.12452805042266846,5.0917267397743124
vgg16,winograd nonfused,224,features.2,64,64,"(3, 3)",4.204832077026367,0.08163213729858398,7.7089739868727944
vgg16,winograd nonfused,224,features.5,64,128,"(3, 3)",2.512784004211426,0.14766407012939453,4.606839504705023
vgg16,winograd nonfused,224,features.7,128,128,"(3, 3)",2.729744076728821,0.013296008110046387,5.004605580635799
vgg16,winograd nonfused,224,features.10,128,256,"(3, 3)",1.7737119793891907,0.02926403284072876,3.2518538811627753
vgg16,winograd nonfused,224,features.12,256,256,"(3, 3)",2.215440034866333,0.023823976516723633,4.061700749376685
vgg16,winograd nonfused,224,features.14,256,256,"(3, 3)",2.248319983482361,0.06355202198028564,4.121981555822094
vgg16,winograd nonfused,224,features.17,256,512,"(3, 3)",1.9012000560760498,0.009039998054504395,3.485585513915747
vgg16,winograd nonfused,224,features.19,512,512,"(3, 3)",2.534432053565979,0.007167935371398926,4.646528188172926
vgg16,winograd nonfused,224,features.21,512,512,"(3, 3)",2.5081599950790405,0.003071904182434082,4.5983620279678705
vgg16,winograd nonfused,224,features.24,512,512,"(3, 3)",1.928928017616272,0.011391997337341309,3.5364208695986656
vgg16,winograd nonfused,224,features.26,512,512,"(3, 3)",1.877631962299347,0.013791978359222412,3.4423766964132727
vgg16,winograd nonfused,224,features.28,512,512,"(3, 3)",1.859328031539917,0.023072004318237305,3.408818988638708
