model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,winograd nonfused,224,features.0,3,64,"(3, 3)",4.844032049179077,0.008703947067260742,4.84938119723126
vgg16,winograd nonfused,224,features.2,64,64,"(3, 3)",15.343056201934814,0.05079984664916992,15.359999169769022
vgg16,winograd nonfused,224,features.5,64,128,"(3, 3)",11.693664073944092,0.021919727325439453,11.706577105849943
vgg16,winograd nonfused,224,features.7,128,128,"(3, 3)",44.989505767822266,33.55142593383789,45.039186596665544
vgg16,winograd nonfused,224,features.10,128,256,"(3, 3)",48.41927886009216,40.852014780044556,48.472747104846334
vgg16,winograd nonfused,224,features.12,256,256,"(3, 3)",93.90739250183105,87.36300849914551,94.01109217610795
vgg16,winograd nonfused,224,features.14,256,256,"(3, 3)",6.380127906799316,0.026207923889160156,6.3871733285510395
vgg16,winograd nonfused,224,features.17,256,512,"(3, 3)",4.378223896026611,0.028048038482666016,4.383058663341873
vgg16,winograd nonfused,224,features.19,512,512,"(3, 3)",4.774399995803833,0.2790400981903076,4.77967225085471
vgg16,winograd nonfused,224,features.21,512,512,"(3, 3)",5.337631940841675,0.2124478816986084,5.343526159378991
vgg16,winograd nonfused,224,features.24,512,512,"(3, 3)",3.1287360191345215,0.046688079833984375,3.1321910070480268
vgg16,winograd nonfused,224,features.26,512,512,"(3, 3)",2.884079933166504,0.006608009338378906,2.8872647532503124
vgg16,winograd nonfused,224,features.28,512,512,"(3, 3)",2.92249596118927,0.010239958763122559,2.9257232031685954
