model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,winograd nonfused,224,features.0,3,64,"(3, 3)",5.7093119621276855,0.0015358924865722656,4.442841742699863
vgg16,winograd nonfused,224,features.2,64,64,"(3, 3)",15.39737606048584,0.03020763397216797,11.98184747012501
vgg16,winograd nonfused,224,features.5,64,128,"(3, 3)",6.81113600730896,0.3916800022125244,5.30025326505386
vgg16,winograd nonfused,224,features.7,128,128,"(3, 3)",9.516544342041016,0.024064064025878906,7.405533403944069
vgg16,winograd nonfused,224,features.10,128,256,"(3, 3)",4.3673601150512695,0.029695987701416016,3.398568856153583
vgg16,winograd nonfused,224,features.12,256,256,"(3, 3)",6.826495885848999,0.00665593147277832,5.312205932904761
vgg16,winograd nonfused,224,features.14,256,256,"(3, 3)",6.3549439907073975,0.006143808364868164,4.945256209806502
vgg16,winograd nonfused,224,features.17,256,512,"(3, 3)",5.594624042510986,0.034304141998291016,4.3535945129046665
vgg16,winograd nonfused,224,features.19,512,512,"(3, 3)",9.92409610748291,0.09062385559082031,7.722679849580135
vgg16,winograd nonfused,224,features.21,512,512,"(3, 3)",9.307136058807373,0.10035181045532227,7.242577189922296
vgg16,winograd nonfused,224,features.24,512,512,"(3, 3)",7.423487901687622,0.04044795036315918,5.776769975931397
vgg16,winograd nonfused,224,features.26,512,512,"(3, 3)",5.946880102157593,0.6927359104156494,4.627711242958717
vgg16,winograd nonfused,224,features.28,512,512,"(3, 3)",4.564479827880859,0.01587200164794922,3.5519624164070214
