model,algorithm,input_size,layer,in_channels,out_channels,kernel_size,mean_ms,std_ms,percentage
vgg16,winograd,224,features.0,3,64,"(3, 3)",4.1451520919799805,0.10547208786010742,5.767819554603229
vgg16,winograd,224,features.2,64,64,"(3, 3)",7.041536092758179,0.07833600044250488,9.79802638577132
vgg16,winograd,224,features.5,64,128,"(3, 3)",3.3367040157318115,0.01587200164794922,4.642895180395714
vgg16,winograd,224,features.7,128,128,"(3, 3)",4.442111968994141,0.029695987701416016,6.1810277910124025
vgg16,winograd,224,features.10,128,256,"(3, 3)",2.663424015045166,0.005120038986206055,3.7060519795883873
vgg16,winograd,224,features.12,256,256,"(3, 3)",3.19487988948822,0.015359997749328613,4.4455523687181895
vgg16,winograd,224,features.14,256,256,"(3, 3)",3.101696014404297,0.01024007797241211,4.315890593961445
vgg16,winograd,224,features.17,256,512,"(3, 3)",2.7263998985290527,0.01792001724243164,3.7936804969905737
vgg16,winograd,224,features.19,512,512,"(3, 3)",3.991039991378784,0.03225588798522949,5.553378499673451
vgg16,winograd,224,features.21,512,512,"(3, 3)",4.0714240074157715,0.0010237693786621094,5.66522976333944
vgg16,winograd,224,features.24,512,512,"(3, 3)",3.21996808052063,0.013823986053466797,4.480461620686609
vgg16,winograd,224,features.26,512,512,"(3, 3)",3.423232078552246,0.001024007797241211,4.763295648625396
vgg16,winograd,224,features.28,512,512,"(3, 3)",3.445248007774353,0.0035840272903442383,4.793929966561696
